level	guardFightMoney
等级	每次挑战守护神获得的金币奖励上限
1	15200
2	15200
3	15200
4	15200
5	15200
6	15200
7	15200
8	15200
9	15200
10	15200
11	15200
12	15200
13	15200
14	15200
15	15200
16	15200
17	15200
18	15200
19	15200
20	15200
21	15200
22	15200
23	15200
24	15200
25	15200
26	15200
27	15200
28	15200
29	15200
30	15200
31	16100
32	17000
33	17900
34	18800
35	19700
36	19760
37	20780
38	21800
39	22820
40	23840
41	24320
42	25420
43	26520
44	27620
45	28880
46	30880
47	32880
48	33440
49	35440
50	38000
51	47120
52	51680
53	56240
54	65360
55	74480
56	83600
57	92720
58	101840
59	115520
60	129200
61	142880
62	156560
63	161120
64	163120
65	165120
66	167120
67	169120
68	171120
69	173120
70	175120
71	177120
72	179120
73	181120
74	183120
75	185120
76	187120
77	189120
78	191120
79	193120
80	195120
81	197120
82	199120
83	201120
84	203120
85	205120
86	207120
87	209120
88	211120
89	213120
90	215120
91	217120
92	219120
93	221120
94	223120
95	225120
96	227120
97	229120
98	231120
99	233120
100	235120
101	237120
102	239120
103	241120
104	243120
105	245120
106	247120
107	249120
108	251120
109	253120
110	255120
111	257120
112	259120
113	261120
114	263120
115	265120
116	267120
117	269120
118	271120
119	273120
120	275120
121	277120
122	279120
123	281120
124	283120
125	285120
126	287120
127	289120
128	291120
129	293120
130	295120
131	297120
132	299120
133	301120
134	303120
135	305120
136	307120
137	309120
138	311120
139	313120
140	315120
141	317120
142	319120
143	321120
144	323120
145	325120
146	327120
147	329120
148	331120
149	333120
150	335120
151	337120
152	339120
153	341120
154	343120
155	345120
156	347120
157	349120
158	351120
159	353120
160	355120
