value	name	zs
消息值	消息名	注释
1889	AFLatteryMasterRecord	中秋搏饼大奖记录
1888	AFLatteryResultMsg	中秋搏饼结果
1537	ActiveCDKEY	请求激活CDKEY
3048	Anti_Notify_S	防沉迷_通知
3058	Anti_OnVerify	防沉迷_请求认证
3175	ArtifactCuiLianhole	淬炼光环强化
1121	ArtifactForing_OnStrengthen1	强化神器
1122	ArtifactForing_UpGradeEquipment	请求进阶神器
3162	Artifact_CuiLian	请求神器淬炼
3163	Artifact_CuiLianSuite	神器淬炼组合
3164	Artifact_CuiLian_OK	神器淬炼成功
1091	Artifact_HeroPutOn	英雄穿上神器
1085	Artifact_HeroPutOn_OK	英雄成功穿上一件神器
1118	Artifact_HeroTakeOff	英雄脱下神器
1088	Artifact_RolePutOn	角色穿上神器
1084	Artifact_RolePutOn_OK	角色成功穿上一件神器
1090	Artifact_RoleTakeOff	角色脱下神器
1120	Artifact_UpGradeOK	进阶成功
1119	Artifact_UpdateStrengthenLevel	更新神器强化等级
1559	AsteroidFieldsOneKeyChallenge	魔域星宫一键挑战
1563	AsteroidFieldsRequestBuyXiongdongli	魔域星宫请求购买行动力
1558	AsteroidFieldsRequestChallenge	魔域星宫请求挑战关卡
1557	AsteroidFieldsRequestEnterAsteroidField	魔域星宫请求进入魔域
1573	AsteroidFieldsRequestOpen	魔域星宫打开面板
1561	AsteroidFieldsResetchallenge	魔域星宫重置关卡
1571	AsteroidFields_SyRoleData	魔域星宫同步玩家数据
1044	Auto_Find_Path	通知客户端自动寻路
1886	AutumnFestivalClose	关闭某中秋活动
1897	AutumnFestivalDailyState	中秋登陆礼包活动状态
1898	AutumnFestivalLatteryState	中秋搏饼活动状态
1885	AutumnFestivalOpen	开启某中秋活动
1072	Award_Get	客户端请求领取奖励
1070	Award_Has_Award	通知客户端有活动奖励可以领取
1071	Award_Open_Main_Panel	客户端请求打开奖励主面板
1041	Award_Show_Main_Panel	通知客户端显示玩法奖励主面板
2837	BadDragon_Blood_for_client	同步恶龙攻击次数和奖励字典
1545	BallFame_ASCheers	一球成名全服喝彩
1548	BallFame_ClosePanel	一球成名关闭面板
1544	BallFame_Goals	一球成名进球
1543	BallFame_Msg	一球成名进球信息
1547	BallFame_OpenPanel	一球成名打开面板
1546	BallFame_UnionCheers	一球成名公会喝彩
2998	BaoXiang_Reset_for_client	同步蓝钻宝箱重置状态
2999	BaoXiang_for_client	同步本次开启的宝箱
2121	BlessRoulette_DrawResult_SB	祝福轮盘抽奖结果
2120	BlessRoulette_MasterRecord_S	祝福轮盘本服大奖记录
2119	BlessRoulette_MineRecord_S	祝福轮盘我的抽奖记录
2125	BlessRoulette_OnBatchDraw	祝福轮盘批量抽奖
2123	BlessRoulette_OnClosePanel	祝福轮盘关闭面板
2122	BlessRoulette_OnOpenPanel	祝福轮盘打开面板
2124	BlessRoulette_OnSingleDraw	祝福轮盘单次摇奖
1784	BraveHeroBossData	勇者英雄坛boss数据
1799	BraveHeroClose	勇者英雄坛活动关闭
1810	BraveHeroFightWin	勇者英雄坛挑战boss胜利
1798	BraveHeroOpen	勇者英雄坛活动开启
1781	BraveHeroPartData	勇者英雄坛今日前十数据
1792	BraveHeroScoreData	勇者英雄坛个人积分奖励领取数据
1793	BraveHeroShopData	勇者英雄坛英雄徽章商店兑换数据
1782	BraveHeroTAllData	勇者英雄坛今日所有数据
1783	BraveHeroYAllData	勇者英雄坛昨日所有数据
1791	BraveHero_BuyCnt	请求购买次数
1794	BraveHero_Exchange	请求英雄徽章商店兑换
1787	BraveHero_FastFight	请求快速挑战
1786	BraveHero_Fight	请求挑战boss
1785	BraveHero_OpenPanel	请求打开面板
1804	BraveHero_OpenShop	请求请求打开英雄徽章商店
1788	BraveHero_ScoreReward	请求领取个人积分奖励
1789	BraveHero_WatchToday	请求查看今日排名
1790	BraveHero_WatchYesterday	请求查看昨日排名
3368	BuyChongZhiAward	充值天数累计奖励
3455	BuyPigShopItem	金猪兑换
3409	BuyShouChongAward	首冲购买
3374	BuyShouChongState	首冲购买状态
3621	CFActData	收集大作战活动开启
3614	CFBuyReward	收集大作战抽取奖励
3622	CFBuyRewardEx	收集大作战单次抽取奖励
3615	CFCollectData	收集大作战收集数据
3616	CFExchangeData	收集大作战兑换数据
3619	CFPoolData	收集大作战奖池数据
3620	CFRewardRecordData	收集大作战抽奖记录数据
3629	CFRewardRecordDataEx	收集大作战抽奖记录数据ex
3617	CF_Buy	请求收集大作战抽取
3624	CF_ClosePanel	请求收集大作战关闭面板
3618	CF_Exchange	请求收集大作战兑换
3623	CF_OpenPanel	请求收集大作战打开面板
3094	CTT_OnOpenPanel	客户端请求打开虚空幻境大厅面板
3095	CTT_RequestCTTStart	客户端请求开始虚空幻境
3359	CTT_RequestCTT_ApplyTeam	客户端申请入队
3099	CTT_RequestCTT_AutoJoin	客户端请求虚空幻境自动组队
3108	CTT_RequestCTT_Exchange	客户端请求虚空幻境兑换
3120	CTT_RequestCTT_ExchangePanel	客户端请求打开虚空幻境兑换界面
3138	CTT_RequestCTT_ExitMirror	客户端请求退出虚空幻境
3101	CTT_RequestCTT_ExitScene	客户端请求退出神界
3098	CTT_RequestCTT_FastJoin	客户端请求虚空幻境快速组队
3109	CTT_RequestCTT_Fresh	客户端请求虚空幻境兑换商店刷新
3112	CTT_RequestCTT_HeroStation	修改虚空幻境战斗时上阵的英雄
3097	CTT_RequestCTT_Invite	客户端请求虚空幻境邀请好友
3111	CTT_RequestCTT_NoReward	客户端请求虚空幻境无奖励模式
3096	CTT_RequestCTT_WorldCall	客户端请求虚空幻境世界邀请
3076	CTT_S_FightRound	同步虚空幻境战斗总回合数
3089	CTT_S_FinishTower	通知客户端虚空幻境已全部爬完
3077	CTT_S_NowLayer	同步组虚空幻境层数
3090	CTT_S_Show_Invite_Data	通知客户端虚空幻境有人邀请你
3358	CTT_Syn_ApplyData	通知客户端申请入队信息
3107	CTT_Syn_ExchangeData	同步虚空幻境兑换商店数据
3078	CTT_Syn_OpenData	打开虚空幻境界面同步数据
3110	CTT_Syn_RankData	同步虚空幻境排行榜数据
3100	CTT_TPCrossScene	客户端请求进入神界
1113	Camp_Choose	客户端请求选择阵营
1092	Camp_Open_Panel	客户端请求打开阵营面板
1089	Camp_Show_Panel	通知客户端显示阵营面板
3418	CardAtlasAll_SyncData	卡牌图鉴所有图鉴同步数据
3417	CardAtlasSuit_SyncData	卡牌图鉴组同步数据
3413	CardAtlas_Act	请求激活图鉴
3416	CardAtlas_Split	请求拆解图鉴
3412	CardAtlas_SyncData	卡牌图鉴同步数据
3414	CardAtlas_UpGrade	请求图鉴升阶
3415	CardAtlas_UpLevel	请求图鉴升级
1058	CardData	月卡数据
1128	CardFail	月卡时效
1769	CardUnionMembers	月卡赠送公会成员
1059	Cards_Buy	请求购买月卡
1765	Cards_Give	请求赠送
1770	Cards_OpenGive	请求打开赠送
1060	Cards_Renewals	请求续费
1081	Cards_ReviveFanquan	请求领取返券
3405	CatchFish	捕鱼达人捕鱼
3419	CatchFishYestDay	昨天捕鱼排行榜
3402	CatchingFishBoxData	捕鱼积分宝箱状态
3398	CatchingFishBoxIndex	捕鱼积分宝箱状态
3401	CatchingFishCalculusRecord	捕鱼积分排行榜
3408	CatchingFishItemRecord	捕鱼跨服珍稀物品记录
3399	CatchingFishPoolValue	捕鱼奖池神石数
3397	CatchingFishStart	捕鱼活动开启
1505	Change_Name_Suc	改名成功后同步
3518	ChaosDivinity_ActiveID	混沌神域激活章节
3481	ChaosDivinity_BossList	混沌神域Boos清单
3523	ChaosDivinity_Create_Substitute_Team	请求混沌神域替身组队
3549	ChaosDivinity_DismissSubTeam	混沌神域替身队伍解散
3526	ChaosDivinity_Dismiss_Substitute_Team	请求混沌神域解散替身队伍
3495	ChaosDivinity_FastJoin	请求混沌神域快速组队
3529	ChaosDivinity_FightEnd	请求结束战斗
3483	ChaosDivinity_InviteInfo	混沌神域好友邀请
3524	ChaosDivinity_Invite_Substitute	请求混沌神域邀请替身
3525	ChaosDivinity_Kick_Substitute	请求混沌神域踢掉替身
3494	ChaosDivinity_PassiveSkillInfo	混沌神域被动技能
3577	ChaosDivinity_Rank	混沌神域排行榜
3488	ChaosDivinity_Request	请求混沌神域无奖励模式
3485	ChaosDivinity_RequestClosePane	请求关闭混沌神域面板
3484	ChaosDivinity_RequestOpenPane	请求打开混沌神域面板
3579	ChaosDivinity_RequestRank	混沌神域请求排行榜
3580	ChaosDivinity_RequestReward	混沌神域请求领取奖励
3487	ChaosDivinity_RequestRoleInvite	请求混沌神域好友邀请
3490	ChaosDivinity_RequestSelectPassiveSkill	请求选择被动技能
3489	ChaosDivinity_RequestStart	请求混沌神域开始
