value	name	zs
事务值	事务名	注释
2	TraTrade	商店购物(已经停用了，请不要使用这个日志)
72	TraFly	飞鞋传送
127	TraBuyTiLi	购买体力
129	TraMainTask	完成主线任务
131	TraUseMail	接收邮件
226	Tra_Version	角色版本修复
233	QGoods_Deliver	Q点发货
333	TraInit	角色初始化
351	QQHZDayAward	黄钻用户每日礼包
352	QQHZNovice	黄钻用户新手礼包
353	QQHZLevel	黄钻用户等级礼包
378	IFAS_Reward_Log	好友邀请和分享抽奖奖励
473	TraChat	世界聊天，喇叭
475	TraCDKEY	激活一个CDKEY
493	TraStrengthenEquipment1	强化装备
494	TraUpGradeEquipment	装备升阶
495	GodcastEquipment	装备神铸
496	QuickCD	装备强化CD加速冷却
499	TraMountEvolve	坐骑培养
505	TraCreateUnion	创建公会
509	TraJoinUnion	加入公会
510	TraQuitUnion	退出公会
511	TraBeKickedUnion	被踢出公会
512	TraUnionRMBContribute	公会RMB贡献
513	TraUseItem	使用物品
514	TraOpen_PackageGrid	开启背包格子
516	TraSellItem	出售物品
520	Tra_FB_CleanFBCD	清除副本挂机CD
521	Tra_FB_BuyAddTime	增加副本参与次数
525	TraHeroZhaoMu	招募英雄
526	TraHeroFire	英雄离队
527	TraUseHeroExpItem	使用英雄经验丹
528	TraUpgradeHero	英雄进阶
530	TraLogin	登录
540	TraMountActivate	坐骑激活
547	Tra_FB_GetZJBxReward	领取章节宝箱奖励
549	TraUpgradeRole	主角进阶
552	MosaicGem_log	镶嵌宝石
553	GemSynthetic_log	宝石合成
554	GetoffGem_log	下宝石
555	GemSealing_log	宝石封灵
556	GemLevelup_log	宝石升级
559	GoldCost	炼金消耗
560	HelpGoldMoney	协助炼金获取
561	GoldHarvest	炼金收获
562	Tra_EvilHole_BoxReward	领取恶魔深渊宝箱奖励
565	Tra_EvilHole_SaoDangReward	领取恶魔深渊扫荡奖励
566	PurgatoryRatingReward_Log	心魔炼狱领取评级奖励
567	PurgatoryMonsterReward_Log	心魔炼狱领取击杀怪物奖励
568	DragonTreasureReward	巨龙宝藏寻宝奖励
569	DragonTreasureEvent	巨龙宝藏特殊事件奖励
570	DragonTreasureDig	巨龙宝藏挖宝奖励
571	GTExchange_Log	地精宝库兑换物品
573	Tra_FB_EvilHoleFinish	恶魔深渊副本通关奖励
581	TraStrengthenArtifact	强化神器
582	TraUpGradeEquipment_log	神器升阶
583	TraTarot_ZhanBu	塔罗牌占卜
586	TraTarot_Sell	塔罗牌出售
587	TraTarot_OneKeySell	塔罗牌一键出售
588	TraTarot_Mix	塔罗牌融合
591	TraTarot_ActiveByRMB	塔罗牌高级占卜
592	TraTarot_ExchangeCard	塔罗牌兑换
593	PurgatoryBuyLife_Log	心魔炼狱买活
594	Artifact_MosaicGem_log	符石镶嵌
595	Artifact_GemSynthetic_log	符石合成
596	Artifact_GetoffGem_log	下符石
597	Artifact_GemSealing_log	符石封印
598	Artifact_GemLevelup_log	封印升级
599	LegionSevenReward	七日登录奖励
600	LegionReward	登录奖励
601	Card_Log	月卡日志
602	DailyReward_Log	每日必做日志
603	GTRob_Log	地精宝库劫宝奖励
611	TraUnionTreasureGetReward	公会夺宝领取宝箱奖励
614	TraUnionGodWinReward	公会魔神挑战胜利奖励
615	TraUnionTransferLeader	公会转让会长
616	TraUnionTreasureOpenBox	公会夺宝开启宝箱
617	TraUnionTreasureRobReward	公会夺宝夺取宝箱奖励
618	Tra_FB_GetZJBx3StarReward	领取章节3星宝箱奖励
619	Tra_FB_GuaJiReward	副本挂机奖励
620	TraUnionGetAchievementBox	公会领取成就宝箱
621	TraUnionGetDayBox	公会领取每日宝箱
623	HeroAltar_Log	英雄祭坛点将日志
624	HeroAltarChange_Log	英雄祭坛兑换日志
625	QandA_Reward_Log	答题奖励
626	TraFiveGiftGetReward	五重礼领取奖励
627	TraFiveGiftLuckyDraw	五重礼抽奖
629	TraOnLineReward	领取在线奖励
631	Tra_Day_Task_Finish	完成一个日常任务
632	Tra_Day_Task_Fast_Finish	快速完成一个日常任务
633	Tra_Day_Task_FinishAll	快速完成全部日常任务
634	Tra_TiLi_Task_Finish	完成一个体力任务
635	Tra_TiLi_Task_Fast_Finish	快速完成一个体力任务
636	Tra_TiLi_Task_FinishAll	快速完成全部体力任务
637	Tra_SubTaskReward	支线任务奖励
638	Tra_FB_Join	进入副本
639	Tra_EvilHole_Join	进入恶魔深渊
640	Tra_EvilHole_SaoDang	扫荡恶魔深渊
641	Tra_EvilHole_Cancle_SaoDang	取消扫荡恶魔深渊
642	Tra_EvilHole_fast_SaoDang	快速扫荡恶魔深渊
643	Tra_FB_FightReward	副本战斗奖励
644	Tra_FB_Finish	副本通关
655	TraWingTrain	翅膀培养
