activeID	index	reward	num	type
活动ID	序号	奖励的物品（用于展示）	奖励物品的个数	物品类型（1，物品 1，命魂 ，3英雄，4天赋卡）
9	1	13	1	4
9	2	113	1	4
9	3	26341	100	1
9	4	26043	30	1
9	5	26144	10	1
9	6	25924	1	1
9	7	25775	1	1
9	8	25776	1	1
9	9	25923	1	1
9	10	25926	1	1
55	1	13	1	4
55	2	113	1	4
55	3	40	1	2
55	4	41	1	2
55	5	28032	1	1
55	6	27710	1	1
55	7	25775	1	1
55	8	25776	1	1
55	9	25923	1	1
55	10	25924	1	1
56	1	13	1	4
56	2	113	1	4
56	3	40	1	2
56	4	41	1	2
56	5	28032	1	1
56	6	27710	1	1
56	7	25775	1	1
56	8	25776	1	1
56	9	25923	1	1
56	10	25924	1	1
