index	fightID	maxHp	name	haftBody	background	winScore
boss索引	bossFightID	最大血量	名字	半身像	背景图片	通关积分[1回合,2回合,3回合,4回合,未通关]
1	14001	432000	亡灵使者 Lv1	4023	YZYXT_BG1	[80,60,40,20,10]
2	14002	460000	炼狱领主 Lv2	5009	YZYXT_BG2	[80,60,40,20,10]
3	14003	560000	震怒雷神 Lv3	4016	YZYXT_BG3	[80,60,40,20,10]
4	14004	760000	烈焰女神 Lv4	5011	YZYXT_BG4	[80,60,40,20,10]
5	14005	960000	亡灵使者 Lv5	4023	YZYXT_BG1	[80,60,40,20,10]
6	14006	1160000	炼狱领主 Lv6	5009	YZYXT_BG2	[80,60,40,20,10]
7	14007	1460000	震怒雷神 Lv7	4016	YZYXT_BG3	[80,60,40,20,10]
8	14008	1760000	烈焰女神 Lv8	5011	YZYXT_BG4	[80,60,40,20,10]
9	14009	2060000	亡灵使者 Lv9	4023	YZYXT_BG1	[80,60,40,20,10]
10	14010	2460000	炼狱领主 Lv10	5009	YZYXT_BG2	[80,60,40,20,10]
11	14011	2860000	震怒雷神 Lv11	4016	YZYXT_BG3	[80,60,40,20,10]
12	14012	3260000	烈焰女神 Lv12	5011	YZYXT_BG4	[80,60,40,20,10]
13	14013	3760000	亡灵使者 Lv13	4023	YZYXT_BG1	[80,60,40,20,10]
14	14014	4260000	炼狱领主 Lv14	5009	YZYXT_BG2	[80,60,40,20,10]
15	14015	4760000	震怒雷神 Lv15	4016	YZYXT_BG3	[80,60,40,20,10]
16	14016	5360000	烈焰女神 Lv16	5011	YZYXT_BG4	[80,60,40,20,10]
17	14017	5960000	亡灵使者 Lv17	4023	YZYXT_BG1	[80,60,40,20,10]
18	14018	6560000	炼狱领主 Lv18	5009	YZYXT_BG2	[80,60,40,20,10]
19	14019	7260000	震怒雷神 Lv19	4016	YZYXT_BG3	[80,60,40,20,10]
20	14020	7960000	烈焰女神 Lv20	5011	YZYXT_BG4	[80,60,40,20,10]
21	14021	8660000	亡灵使者 Lv21	4023	YZYXT_BG1	[80,60,40,20,10]
22	14022	9460000	炼狱领主 Lv22	5009	YZYXT_BG2	[80,60,40,20,10]
23	14023	10260000	震怒雷神 Lv23	4016	YZYXT_BG3	[80,60,40,20,10]
24	14024	11060000	烈焰女神 Lv24	5011	YZYXT_BG4	[80,60,40,20,10]
25	14025	11960000	亡灵使者 Lv25	4023	YZYXT_BG1	[80,60,40,20,10]
26	14026	12860000	炼狱领主 Lv26	5009	YZYXT_BG2	[80,60,40,20,10]
27	14027	13760000	震怒雷神 Lv27	4016	YZYXT_BG3	[80,60,40,20,10]
28	14028	14760000	烈焰女神 Lv28	5011	YZYXT_BG4	[80,60,40,20,10]
29	14029	15760000	亡灵使者 Lv29	4023	YZYXT_BG1	[80,60,40,20,10]
30	14030	16760000	炼狱领主 Lv30	5009	YZYXT_BG2	[80,60,40,20,10]
31	14031	17860000	震怒雷神 Lv31	4016	YZYXT_BG3	[80,60,40,20,10]
32	14032	18960000	烈焰女神 Lv32	5011	YZYXT_BG4	[80,60,40,20,10]
33	14033	20060000	亡灵使者 Lv33	4023	YZYXT_BG1	[80,60,40,20,10]
34	14034	21260000	炼狱领主 Lv34	5009	YZYXT_BG2	[80,60,40,20,10]
35	14035	22460000	震怒雷神 Lv35	4016	YZYXT_BG3	[80,60,40,20,10]
36	14036	23660000	烈焰女神 Lv36	5011	YZYXT_BG4	[80,60,40,20,10]
37	14037	24960000	亡灵使者 Lv37	4023	YZYXT_BG1	[80,60,40,20,10]
38	14038	26260000	炼狱领主 Lv38	5009	YZYXT_BG2	[80,60,40,20,10]
39	14039	27560000	震怒雷神 Lv39	4016	YZYXT_BG3	[80,60,40,20,10]
40	14040	28960000	烈焰女神 Lv40	5011	YZYXT_BG4	[80,60,40,20,10]
41	14041	30360000	亡灵使者 Lv41	4023	YZYXT_BG1	[80,60,40,20,10]
42	14042	31760000	炼狱领主 Lv42	5009	YZYXT_BG2	[80,60,40,20,10]
43	14043	33260000	震怒雷神 Lv43	4016	YZYXT_BG3	[80,60,40,20,10]
44	14044	34760000	烈焰女神 Lv44	5011	YZYXT_BG4	[80,60,40,20,10]
45	14045	36260000	亡灵使者 Lv45	4023	YZYXT_BG1	[80,60,40,20,10]
46	14046	37860000	炼狱领主 Lv46	5009	YZYXT_BG2	[80,60,40,20,10]
47	14047	39460000	震怒雷神 Lv47	4016	YZYXT_BG3	[80,60,40,20,10]
48	14048	41060000	烈焰女神 Lv48	5011	YZYXT_BG4	[80,60,40,20,10]
49	14049	42760000	亡灵使者 Lv49	4023	YZYXT_BG1	[80,60,40,20,10]
50	14050	44460000	炼狱领主 Lv50	5009	YZYXT_BG2	[80,60,40,20,10]
51	14051	46160000	震怒雷神 Lv51	4016	YZYXT_BG3	[80,60,40,20,10]
52	14052	47960000	烈焰女神 Lv52	5011	YZYXT_BG4	[80,60,40,20,10]
53	14053	49760000	亡灵使者 Lv53	4023	YZYXT_BG1	[80,60,40,20,10]
54	14054	51560000	炼狱领主 Lv54	5009	YZYXT_BG2	[80,60,40,20,10]
55	14055	53460000	震怒雷神 Lv55	4016	YZYXT_BG3	[80,60,40,20,10]
56	14056	55360000	烈焰女神 Lv56	5011	YZYXT_BG4	[80,60,40,20,10]
57	14057	57260000	亡灵使者 Lv57	4023	YZYXT_BG1	[80,60,40,20,10]
58	14058	59260000	炼狱领主 Lv58	5009	YZYXT_BG2	[80,60,40,20,10]
59	14059	61260000	震怒雷神 Lv59	4016	YZYXT_BG3	[80,60,40,20,10]
