index	serverType	rankInterval	reward
排名索引	服务器类型	排名区间	奖励
1	1	1,1	[(26305,40),(26341,150),(26480,250)]
2	1	2,2	[(26305,28),(26341,64),(26480,160)]
3	1	3,3	[(26305,21),(26341,48),(26480,105)]
4	1	4,6	[(26305,15),(26341,32),(26480,82)]
5	1	7,10	[(26305,10),(26341,16),(26480,64)]
6	1	11,20	[(26305,7),(26480,50)]
7	1	21,30	[(26305,5),(26480,43)]
8	1	31,40	[(26305,3),(26480,35)]
9	1	41,50	[(26305,2),(26480,28)]
10	1	51,60	[(26305,1),(26480,24)]
11	1	61,70	[(26480,20)]
12	1	71,80	[(26480,16)]
13	1	81,90	[(26480,12)]
14	1	91,100	[(26480,10)]
1	2	1,1	[(26305,40),(26341,150),(26480,250)]
2	2	2,2	[(26305,28),(26341,64),(26480,160)]
3	2	3,3	[(26305,21),(26341,48),(26480,105)]
4	2	4,6	[(26305,15),(26341,32),(26480,82)]
5	2	7,10	[(26305,10),(26341,16),(26480,64)]
6	2	11,20	[(26305,7),(26480,50)]
7	2	21,30	[(26305,5),(26480,43)]
8	2	31,40	[(26305,3),(26480,35)]
9	2	41,50	[(26305,2),(26480,28)]
10	2	51,60	[(26305,1),(26480,24)]
11	2	61,70	[(26480,20)]
12	2	71,80	[(26480,16)]
13	2	81,90	[(26480,12)]
14	2	91,100	[(26480,10)]
1	3	1,1	[(26305,40),(26341,150),(26480,250)]
2	3	2,2	[(26305,28),(26341,64),(26480,160)]
3	3	3,3	[(26305,21),(26341,48),(26480,105)]
4	3	4,6	[(26305,15),(26341,32),(26480,82)]
5	3	7,10	[(26305,10),(26341,16),(26480,64)]
6	3	11,20	[(26305,7),(26480,50)]
7	3	21,30	[(26305,5),(26480,43)]
8	3	31,40	[(26305,3),(26480,35)]
9	3	41,50	[(26305,2),(26480,28)]
10	3	51,60	[(26305,1),(26480,24)]
11	3	61,70	[(26480,20)]
12	3	71,80	[(26480,16)]
13	3	81,90	[(26480,12)]
14	3	91,100	[(26480,10)]
1	4	1,1	[(26305,40),(26341,150),(26480,250)]
2	4	2,2	[(26305,28),(26341,64),(26480,160)]
3	4	3,3	[(26305,21),(26341,48),(26480,105)]
4	4	4,6	[(26305,15),(26341,32),(26480,82)]
5	4	7,10	[(26305,10),(26341,16),(26480,64)]
6	4	11,20	[(26305,7),(26480,50)]
7	4	21,30	[(26305,5),(26480,43)]
8	4	31,40	[(26305,3),(26480,35)]
9	4	41,50	[(26305,2),(26480,28)]
10	4	51,60	[(26305,1),(26480,24)]
11	4	61,70	[(26480,20)]
12	4	71,80	[(26480,16)]
13	4	81,90	[(26480,12)]
14	4	91,100	[(26480,10)]
1	5	1,1	[(26305,40),(26341,150),(26480,250)]
2	5	2,2	[(26305,28),(26341,64),(26480,160)]
3	5	3,3	[(26305,21),(26341,48),(26480,105)]
4	5	4,6	[(26305,15),(26341,32),(26480,82)]
5	5	7,10	[(26305,10),(26341,16),(26480,64)]
6	5	11,20	[(26305,7),(26480,50)]
7	5	21,30	[(26305,5),(26480,43)]
8	5	31,40	[(26305,3),(26480,35)]
9	5	41,50	[(26305,2),(26480,28)]
10	5	51,60	[(26305,1),(26480,24)]
11	5	61,70	[(26480,20)]
12	5	71,80	[(26480,16)]
13	5	81,90	[(26480,12)]
14	5	91,100	[(26480,10)]
