index	serverType	rankInterval	reward
排名索引	服务器类型	排名区间	奖励
1	1	1,1	[(26031,20),(26449,10),(26480,150)]
2	1	2,2	[(26031,18),(26449,8),(26480,100)]
3	1	3,3	[(26031,15),(26449,5),(26480,65)]
4	1	4,6	[(26031,12),(26449,3),(26480,45)]
5	1	7,10	[(26031,10),(26449,1),(26480,30)]
6	1	11,20	[(26031,7),(26480,28)]
7	1	21,30	[(26031,5),(26480,25)]
8	1	31,40	[(26031,3),(26480,23)]
9	1	41,50	[(26031,2),(26480,20)]
10	1	51,60	[(26031,1),(26480,18)]
11	1	61,70	[(26480,15)]
12	1	71,80	[(26480,13)]
13	1	81,90	[(26480,10)]
14	1	91,100	[(26480,8)]
1	2	1,1	[(26031,20),(26449,10),(26480,150)]
2	2	2,2	[(26031,18),(26449,8),(26480,100)]
3	2	3,3	[(26031,15),(26449,5),(26480,65)]
4	2	4,6	[(26031,12),(26449,3),(26480,45)]
5	2	7,10	[(26031,10),(26449,1),(26480,30)]
6	2	11,20	[(26031,7),(26480,28)]
7	2	21,30	[(26031,5),(26480,25)]
8	2	31,40	[(26031,3),(26480,23)]
9	2	41,50	[(26031,2),(26480,20)]
10	2	51,60	[(26031,1),(26480,18)]
11	2	61,70	[(26480,15)]
12	2	71,80	[(26480,13)]
13	2	81,90	[(26480,10)]
14	2	91,100	[(26480,8)]
1	3	1,1	[(26031,20),(26449,10),(26480,150)]
2	3	2,2	[(26031,18),(26449,8),(26480,100)]
3	3	3,3	[(26031,15),(26449,5),(26480,65)]
4	3	4,6	[(26031,12),(26449,3),(26480,45)]
5	3	7,10	[(26031,10),(26449,1),(26480,30)]
6	3	11,20	[(26031,7),(26480,28)]
7	3	21,30	[(26031,5),(26480,25)]
8	3	31,40	[(26031,3),(26480,23)]
9	3	41,50	[(26031,2),(26480,20)]
10	3	51,60	[(26031,1),(26480,18)]
11	3	61,70	[(26480,15)]
12	3	71,80	[(26480,13)]
13	3	81,90	[(26480,10)]
14	3	91,100	[(26480,8)]
1	4	1,1	[(26031,20),(26449,10),(26480,150)]
2	4	2,2	[(26031,18),(26449,8),(26480,100)]
3	4	3,3	[(26031,15),(26449,5),(26480,65)]
4	4	4,6	[(26031,12),(26449,3),(26480,45)]
5	4	7,10	[(26031,10),(26449,1),(26480,30)]
6	4	11,20	[(26031,7),(26480,28)]
7	4	21,30	[(26031,5),(26480,25)]
8	4	31,40	[(26031,3),(26480,23)]
9	4	41,50	[(26031,2),(26480,20)]
10	4	51,60	[(26031,1),(26480,18)]
11	4	61,70	[(26480,15)]
12	4	71,80	[(26480,13)]
13	4	81,90	[(26480,10)]
14	4	91,100	[(26480,8)]
