index	levelShow	level	needScore	money	reward	rewardShow
个人积分索引	等级区间（客户端用）	等级	需要积分	奖励金币	奖励	奖励预览（客户端用）
1	60,79	60	50	200000	[(25638,15)]	[(25828,200000),(25638,15)]
2	60,79	60	105	220000	[(25638,19)]	[(25828,220000),(25638,19)]
3	60,79	60	285	240000	[(25638,23),(25662,3)]	[(25828,240000),(25638,23),(25662,3)]
4	60,79	60	465	260000	[(25638,27),(25662,6)]	[(25828,260000),(25638,27),(25662,6)]
5	60,79	60	680	280000	[(25638,31),(25662,9)]	[(25828,280000),(25638,31),(25662,9)]
6	60,79	60	900	300000	[(25638,35),(25662,12),(25667,2)]	[(25828,300000),(25638,35),(25662,12),(25667,2)]
7	60,79	60	1295	320000	[(25638,39),(25662,15),(25667,5)]	[(25828,320000),(25638,39),(25662,15),(25667,5)]
8	60,79	60	1800	340000	[(25638,43),(25662,18),(25667,8)]	[(25828,340000),(25638,43),(25662,18),(25667,8)]
9	60,79	60	2160	360000	[(25638,47),(25662,21),(25667,11),(25672,2)]	[(25828,360000),(25638,47),(25662,21),(25667,11),(25672,2)]
10	60,79	60	2520	390000	[(25638,51),(25662,24),(25667,13),(25672,3)]	[(25828,390000),(25638,51),(25662,24),(25667,13),(25672,3)]
11	60,79	60	2880	0	[(25662,27),(25667,15),(25672,4),(26032,1)]	[(25662,27),(25667,15),(25672,4),(26032,1)]
12	60,79	60	3240	0	[(25662,30),(25667,17),(25672,5),(26032,2)]	[(25662,30),(25667,17),(25672,5),(26032,2)]
13	60,79	60	3600	0	[(25662,30),(25667,19),(25672,6),(26032,3)]	[(25662,30),(25667,19),(25672,6),(26032,3)]
14	60,79	60	4320	0	[(25667,21),(25672,7),(26032,4),(26266,1)]	[(25667,21),(25672,7),(26032,4),(26266,1)]
15	60,79	60	5040	0	[(25667,23),(25672,8),(26032,5),(26266,2)]	[(25667,23),(25672,8),(26032,5),(26266,2)]
16	60,79	60	5760	0	[(25667,25),(25672,9),(26032,6),(26266,3)]	[(25667,25),(25672,9),(26032,6),(26266,3)]
17	60,79	60	6840	0	[(25672,10),(26032,7),(26266,4),(26144,3)]	[(25672,10),(26032,7),(26266,4),(26144,3)]
18	60,79	60	7920	0	[(25672,10),(26032,8),(26266,5),(25837,3)]	[(25672,10),(26032,8),(26266,5),(25837,3)]
19	60,79	60	9000	0	[(25672,10),(26032,9),(26266,6),(26144,5)]	[(25672,10),(26032,9),(26266,6),(26144,5)]
20	60,79	60	10080	0	[(25672,10),(26032,10),(26266,7),(25837,5)]	[(25672,10),(26032,10),(26266,7),(25837,5)]
21	60,79	60	11160	0	[(26032,11),(26266,8),(26144,4),(25837,4)]	[(26032,11),(26266,8),(26144,4),(25837,4)]
22	60,79	60	12240	0	[(26032,12),(26266,9),(26144,5),(25837,5)]	[(26032,12),(26266,9),(26144,5),(25837,5)]
23	60,79	60	13680	0	[(26032,13),(26266,10),(26144,8),(25837,8)]	[(26032,13),(26266,10),(26144,8),(25837,8)]
24	60,79	60	15120	0	[(26032,14),(26266,12),(26144,7),(25837,7)]	[(26032,14),(26266,12),(26144,7),(25837,7)]
25	60,79	60	16560	0	[(26032,15),(26266,14),(26144,8),(25837,8)]	[(26032,15),(26266,14),(26144,8),(25837,8)]
26	60,79	60	18000	0	[(26144,10),(25837,10),(26044,3),(26267,3)]	[(26144,10),(25837,10),(26044,3),(26267,3)]
27	60,79	60	19800	0	[(26144,12),(25837,12),(26044,6),(26267,6)]	[(26144,12),(25837,12),(26044,6),(26267,6)]
28	60,79	60	21600	0	[(26144,15),(25837,15),(26044,9),(26267,9)]	[(26144,15),(25837,15),(26044,9),(26267,9)]
29	60,79	60	27000	0	[(26144,20),(25837,20),(26044,12),(26267,12)]	[(26144,20),(25837,20),(26044,12),(26267,12)]
30	60,79	60	32400	0	[(26144,25),(25837,25),(26044,16),(26267,16)]	[(26144,25),(25837,25),(26044,16),(26267,16)]
1	80,99	80	85	300000	[(25640,9)]	[(25828,300000),(25640,9)]
2	80,99	80	175	330000	[(25640,12)]	[(25828,330000),(25640,12)]
3	80,99	80	470	360000	[(25640,15),(25663,5)]	[(25828,360000),(25640,15),(25663,5)]
4	80,99	80	765	390000	[(25640,18),(25663,8)]	[(25828,390000),(25640,18),(25663,8)]
5	80,99	80	1120	420000	[(25640,21),(25663,11)]	[(25828,420000),(25640,21),(25663,11)]
6	80,99	80	1475	450000	[(25640,24),(25663,14),(25668,4)]	[(25828,450000),(25640,24),(25663,14),(25668,4)]
7	80,99	80	2120	480000	[(25640,27),(25663,17),(25668,7)]	[(25828,480000),(25640,27),(25663,17),(25668,7)]
8	80,99	80	2950	510000	[(25640,30),(25663,20),(25668,10)]	[(25828,510000),(25640,30),(25663,20),(25668,10)]
9	80,99	80	3540	540000	[(25640,33),(25663,23),(25668,13),(25673,3)]	[(25828,540000),(25640,33),(25663,23),(25668,13),(25673,3)]
10	80,99	80	4130	585000	[(25640,36),(25663,26),(25668,15),(25673,4)]	[(25828,585000),(25640,36),(25663,26),(25668,15),(25673,4)]
11	80,99	80	4720	0	[(25663,29),(25668,17),(25673,5),(26032,1)]	[(25663,29),(25668,17),(25673,5),(26032,1)]
12	80,99	80	5310	0	[(25663,32),(25668,19),(25673,6),(26032,2)]	[(25663,32),(25668,19),(25673,6),(26032,2)]
13	80,99	80	5900	0	[(25663,32),(25668,21),(25673,7),(26032,3)]	[(25663,32),(25668,21),(25673,7),(26032,3)]
14	80,99	80	7080	0	[(25668,23),(25673,8),(26032,4),(26266,1)]	[(25668,23),(25673,8),(26032,4),(26266,1)]
15	80,99	80	8260	0	[(25668,25),(25673,9),(26032,5),(26266,2)]	[(25668,25),(25673,9),(26032,5),(26266,2)]
16	80,99	80	9440	0	[(25668,27),(25673,10),(26032,6),(26266,3)]	[(25668,27),(25673,10),(26032,6),(26266,3)]
17	80,99	80	11210	0	[(25673,11),(26032,7),(26266,4),(26144,3)]	[(25673,11),(26032,7),(26266,4),(26144,3)]
18	80,99	80	12980	0	[(25673,12),(26032,8),(26266,5),(25837,3)]	[(25673,12),(26032,8),(26266,5),(25837,3)]
19	80,99	80	14750	0	[(25673,12),(26032,9),(26266,6),(26144,5)]	[(25673,12),(26032,9),(26266,6),(26144,5)]
20	80,99	80	16520	0	[(25673,12),(26032,10),(26266,7),(25837,5)]	[(25673,12),(26032,10),(26266,7),(25837,5)]
21	80,99	80	18290	0	[(26032,11),(26266,8),(26144,4),(25837,4)]	[(26032,11),(26266,8),(26144,4),(25837,4)]
22	80,99	80	20060	0	[(26032,12),(26266,9),(26144,5),(25837,5)]	[(26032,12),(26266,9),(26144,5),(25837,5)]
23	80,99	80	22420	0	[(26032,13),(26266,10),(26144,8),(25837,8)]	[(26032,13),(26266,10),(26144,8),(25837,8)]
24	80,99	80	24780	0	[(26032,14),(26266,12),(26144,7),(25837,7)]	[(26032,14),(26266,12),(26144,7),(25837,7)]
25	80,99	80	27140	0	[(26032,15),(26266,14),(26144,8),(25837,8)]	[(26032,15),(26266,14),(26144,8),(25837,8)]
26	80,99	80	29500	0	[(26144,10),(25837,10),(26044,3),(26267,3)]	[(26144,10),(25837,10),(26044,3),(26267,3)]
27	80,99	80	32450	0	[(26144,12),(25837,12),(26044,6),(26267,6)]	[(26144,12),(25837,12),(26044,6),(26267,6)]
