coding	needCoding	needItemCnt	needLevel	needWorldLevel	limitCnt
物品coding	兑换需要coding	兑换需要物品数量	兑换需要等级	兑换需要世界等级	限购次数(0-不限购)
37003	26480	150	60	1	0
26305	26480	2	80	1	0
26323	26480	5	80	1	0
26121	26480	6	60	1	0
26122	26480	2	60	1	0
26123	26480	12	60	1	0
35718	26480	330	60	1	1
35719	26480	330	60	1	1
35720	26480	330	60	1	1
35721	26480	220	60	1	1
35722	26480	220	60	1	1
35723	26480	220	60	1	1
35818	26480	500	80	1	1
35819	26480	520	80	1	1
35820	26480	540	80	1	1
35821	26480	560	80	1	1
35822	26480	580	80	1	1
35823	26480	600	80	1	1
