special	name	b_idx	cd_idx	cd	item
特征码	名字	是否只能用一次	冷却下标（变量名）	冷却时间（秒）	获取物品
a1	贵宾礼包	guibinlibao			(26159,1)
a2	特权礼包	tequanlibao			(26160,1)
a3	白金礼包	baijinlibao			(26232,1)
a4	钻石礼包	zuanshilibao			(26233,1)
a5	豪华大礼包	haohuadalibao			(26234,1)
a6	黄金暑期特权礼包	huangjinshuqitequanlibao			(26353,1)
a7	水晶暑期特权礼包	shuijingshuqitequanlibao			(26354,1)
a8	钻石暑期特权礼包	zuanshishuqitequanlibao			(26355,1)
a9	爱玩精英礼包	aiwanjingyinglibao			(26471,1)
a10	幸运大礼包	xingyundalibao			(26616,1)
a11	音乐节专属礼包	yinyuejiezhuanshulibao			(26617,1)
a12	超值好礼	chaozhihaoli			(26630,1)
a13	全民国庆礼包	quanminzhongqiulibao			(26631,1)
a14	给力国庆礼包	geilizhongqiulibao			(26632,1)
a15	勇者礼包	yongzhelibao			(26645,1)
a16	英雄礼包	yingxionglibao			(26646,1)
a17	辉煌礼包	huihuanglibao			(26647,1)
a18	尊贵礼包	zunguilibao			(26648,1)
a19	白银新手卡	baiyinxinshouka			(26905,1)
a20	黄金新手卡	huangjinxinshouka			(26926,1)
a21	至尊卡	zhizunka			(26927,1)
a22	金翎奖初级礼包	jinlingjianglibao1			(26973,1)
a23	金翎奖中级礼包	jinlingjianglibao2			(26974,1)
a24	金翎奖高级礼包	jinlingjianglibao3			(26975,1)
a25	金翎奖超级礼包	jinlingjianglibao4			(26976,1)
a26	欢乐礼包	huanlelibao			(27026,1)
a27	畅爽礼包	changshuanglibao			(27027,1)
a28	达人特权礼包	darentequanlibao			(27033,1)
a29	精英豪华大礼包	jingyinghaohuadalibao			(27040,1)
a30	挖掘机黄金新手礼包	wajuejihuangjinlibao			(27095,1)
a31	媒体专属初级礼包	meitizhuanshuchujilibao			(27155,1)
a32	媒体专属中级礼包	meitizhuanshuzhongjilibao			(27156,1)
a33	媒体专属高级礼包	meitizhuanshugaojilibao			(27157,1)
a34	265G龙虎榜高级礼包	longhubanglibao1			(27522,1)
a35	265G龙虎榜中级礼包	longhubanglibao2			(27523,1)
a36	265G龙虎榜初级礼包	longhubanglibao3			(27524,1)
a37	风云榜礼包	fengyunbanglibao			(27525,1)
a38	圣诞初级礼盒	shengdanchujilihe			(27560,1)
a39	圣诞中级礼盒	shengdanzhongjilihe			(27561,1)
a40	圣诞高级礼盒	shengdangaojilihe			(27562,1)
a41	微信长期关注礼盒	changqiguanzhulihe			(27563,1)
a42	龙骑达人特权礼包	longqishidarentequanlibao			(27564,1)
a43	圣诞活动礼包	shengdanhuodonglibao			(27578,1)
a44	元旦活动礼包	yuandanhuodonglibao			(27593,1)
a45	每日抽奖一星礼包	meirichoujianglibao1			(27649,1)
a46	每日抽奖二星礼包	meirichoujianglibao2			(27650,1)
a47	每日抽奖三星礼包	meirichoujianglibao3			(27651,1)
a48	初级礼包	chujilibao1			(27670,1)
a49	中级礼包	zhongjilibao1			(27671,1)
a50	骨灰礼包	guhuilibao1			(27672,1)
a51	管家礼包	guanjialibao			(27698,1)
a52	初级新春大礼包	chujixinchundalibao			(27825,1)
a53	中级新春大礼包	zhongjixinchundalibao			(27826,1)
a54	高级新春大礼包	gaojixinchundalibao			(27827,1)
a55	龙骑春节达人礼包	chunjiedarenlibao			(27841,1)
a56	龙骑签到5日礼包	qiandaolibao5			(27842,1)
a57	龙骑签到10日礼包	qiandaolibao10			(27843,1)
a58	龙骑签到15日礼包	qiandaolibao15			(27844,1)
a59	龙骑签到20日礼包	qiandaolibao20			(27845,1)
a60	微信新春礼包	weixinxinchunlibao			(27846,1)
a61	元宵节媒体礼包	yuanxiaojiemeitilibao			(27931,1)
a62	畅爽精英礼包	changshuangjingying			(28037,1)
a63	畅爽黄金礼包	changshuanghuangjin			(28038,1)
a64	愚人节快乐礼包	yurenjiekuailelibao			(28041,1)
a65	龙骑士豪华礼包	longqishihaohualibao			(28243,1)
a66	龙骑士访客精英礼包	longqishifangkejingying			(28244,1)
a67	龙骑士访客黄金礼包	longqishifangkehuangjin			(28245,1)
a68	管家特权礼包				(28259,1)
a69	玩童礼包	wantonglibao			(28373,1)
a70	儿童不宜礼包	ertongbuyilibao			(28374,1)
a71	微信精英礼包	weixinjingyinglibao			(28389,1)
a72	微信高级礼包	weixingaojilingbao			(28390,1)
a73	微信四级物攻宝石				(25748,1)
a74	微信五级生命宝石				(25756,1)
a75	闪耀公测礼包	shanyaogongcelibao			(28404,1)
a76	热血公测礼包	rexuegongcelibao			(28405,1)
