atlasLevel	needGrade	nextLevel	upLevelNeedChip	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
图鉴强化等级	需要图鉴品阶	下一级	强化到下一级需要碎片	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
0	1	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	2	30	450	0	0	150	150	150	150	150	150	150	150	150	150	0	0
2	1	3	40	900	0	0	300	300	300	300	300	300	300	300	300	300	0	0
3	1	4	50	1350	0	0	450	450	450	450	450	450	450	450	450	450	0	0
4	1	5	60	1800	0	0	600	600	600	600	600	600	600	600	600	600	0	0
5	1	6	70	2250	0	0	750	750	750	750	750	750	750	750	750	750	0	0
6	1	7	80	2700	0	0	900	900	900	900	900	900	900	900	900	900	0	0
7	1	8	90	3150	0	0	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	0	0
8	1	9	100	3600	0	0	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0	0
9	1	10	110	4050	0	0	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	0	0
10	1	11	120	4500	0	0	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	0	0
11	2	12	130	4950	0	0	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	0	0
12	2	13	140	5400	0	0	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	0	0
13	2	14	150	5850	0	0	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	0	0
14	2	15	160	6300	0	0	2100	2100	2100	2100	2100	2100	2100	2100	2100	2100	0	0
15	2	16	170	6750	0	0	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	0	0
16	2	17	180	7200	0	0	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	0	0
17	2	18	190	7650	0	0	2550	2550	2550	2550	2550	2550	2550	2550	2550	2550	0	0
18	2	19	200	8100	0	0	2700	2700	2700	2700	2700	2700	2700	2700	2700	2700	0	0
19	2	20	210	8550	0	0	2850	2850	2850	2850	2850	2850	2850	2850	2850	2850	0	0
20	2	21	230	9000	0	0	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	0	0
21	3	22	250	9450	0	0	3150	3150	3150	3150	3150	3150	3150	3150	3150	3150	0	0
22	3	23	270	9900	0	0	3300	3300	3300	3300	3300	3300	3300	3300	3300	3300	0	0
23	3	24	290	10350	0	0	3450	3450	3450	3450	3450	3450	3450	3450	3450	3450	0	0
24	3	25	310	10800	0	0	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	0	0
25	3	26	330	11250	0	0	3750	3750	3750	3750	3750	3750	3750	3750	3750	3750	0	0
26	3	27	350	11700	0	0	3900	3900	3900	3900	3900	3900	3900	3900	3900	3900	0	0
27	3	28	370	12150	0	0	4050	4050	4050	4050	4050	4050	4050	4050	4050	4050	0	0
28	3	29	390	12600	0	0	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	0	0
29	3	30	410	13050	0	0	4350	4350	4350	4350	4350	4350	4350	4350	4350	4350	0	0
30	3	31	430	13500	0	0	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	0	0
31	4	32	450	13950	0	0	4650	4650	4650	4650	4650	4650	4650	4650	4650	4650	0	0
32	4	33	470	14400	0	0	4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	0	0
33	4	34	490	14850	0	0	4950	4950	4950	4950	4950	4950	4950	4950	4950	4950	0	0
34	4	35	510	15300	0	0	5100	5100	5100	5100	5100	5100	5100	5100	5100	5100	0	0
35	4	36	530	15750	0	0	5250	5250	5250	5250	5250	5250	5250	5250	5250	5250	0	0
36	4	37	550	16200	0	0	5400	5400	5400	5400	5400	5400	5400	5400	5400	5400	0	0
37	4	38	570	16650	0	0	5550	5550	5550	5550	5550	5550	5550	5550	5550	5550	0	0
38	4	39	590	17100	0	0	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700	0	0
39	4	40	610	17550	0	0	5850	5850	5850	5850	5850	5850	5850	5850	5850	5850	0	0
40	4	41	630	18000	0	0	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	0	0
41	5	42	660	18450	0	0	6150	6150	6150	6150	6150	6150	6150	6150	6150	6150	0	0
42	5	43	690	18900	0	0	6300	6300	6300	6300	6300	6300	6300	6300	6300	6300	0	0
43	5	44	720	19350	0	0	6450	6450	6450	6450	6450	6450	6450	6450	6450	6450	0	0
44	5	45	750	19800	0	0	6600	6600	6600	6600	6600	6600	6600	6600	6600	6600	0	0
45	5	46	780	20250	0	0	6750	6750	6750	6750	6750	6750	6750	6750	6750	6750	0	0
46	5	47	810	20700	0	0	6900	6900	6900	6900	6900	6900	6900	6900	6900	6900	0	0
47	5	48	840	21150	0	0	7050	7050	7050	7050	7050	7050	7050	7050	7050	7050	0	0
48	5	49	870	21600	0	0	7200	7200	7200	7200	7200	7200	7200	7200	7200	7200	0	0
49	5	50	900	22050	0	0	7350	7350	7350	7350	7350	7350	7350	7350	7350	7350	0	0
50	5	-1	0	22500	0	0	7500	7500	7500	7500	7500	7500	7500	7500	7500	7500	0	0
