activeID	awardid	awardrate	awarditems	addTarot	talentcard	rewards_client	leixin
活动ID	奖励ID	奖励概率	奖励物品列表	增加命魂	奖励的天赋卡	客户端预览(客户端仅展示十个，天赋卡后面的数字是等级)	客户端预览类型（命魂1；道具2；天赋卡3）
7	1	50	[(26226,1)]			[(7,1)]	3
7	2	120	[(26225,1)]			[(107,1)]	3
7	3	300	[(26224,1)]			[(19,1)]	3
7	4	800	[(26026,1)]			[(119,1)]	3
7	5	40	[(26230,1)]			[(26230,1)]	
7	6	80	[(26229,1)]			[(26226,1)]	
7	7	200	[(26228,1)]			[(26229,1)]	
7	8	600	[(26227,1)]			[(26225,1)]	
7	9	1000	[(26341,30)]			[(26228,1)]	
7	10	500	[(26341,50)]			[(26341,50)]	
7	11	25			7		
7	12	2			107		
7	13	20			19		
7	14	2			119		
7	15	500	[(26042,1)]				
7	16	800	[(25837,10)]				
7	17	800	[(26144,10)]				
7	18	800	[(26272,10)]				
7	19	800	[(25970,10)]				
7	20	600	[(25970,20)]				
7	21	800	[(26043,10)]				
7	22	600	[(26043,20)]				
7	23	800	[(26485,1)]				
7	24	800	[(26449,1)]				
53	1	50	[(26928,1)]			[(7,1)]	3
53	2	100	[(26226,1)]			[(107,1)]	3
53	3	200	[(26225,1)]			[(19,1)]	3
53	4	400	[(26224,1)]			[(119,1)]	3
53	5	1000	[(26026,1)]			[(26928,1)]	
53	6	40	[(26930,1)]			[(26226,1)]	
53	7	80	[(26230,1)]			[(26930,1)]	
53	8	150	[(26229,1)]			[(26230,1)]	
53	9	320	[(26228,1)]			[(28032,1)]	
53	10	800	[(26227,1)]			[(27710,1)]	
53	11	1000	[(26341,30)]				
53	12	500	[(26341,50)]				
53	13	200	[(26341,100)]				
53	14	25			7		
53	15	2			107		
53	16	20			19		
53	17	2			119		
53	18	500	[(26042,1)]				
53	19	800	[(25837,10)]				
53	20	800	[(26144,10)]				
53	21	800	[(26272,10)]				
53	22	800	[(25970,10)]				
53	23	600	[(25970,20)]				
53	24	800	[(26043,10)]				
53	25	600	[(26043,20)]				
53	26	800	[(26485,1)]				
53	27	800	[(26449,1)]				
53	28	300	[(28030,1)]				
53	29	150	[(28031,1)]				
53	30	50	[(28032,1)]				
53	31	100	[(27709,1)]				
53	32	30	[(27710,1)]				
54	1	20	[(26929,1)]			[(7,1)]	3
54	2	50	[(26928,1)]			[(107,1)]	3
54	3	100	[(26226,1)]			[(19,1)]	3
54	4	250	[(26225,1)]			[(119,1)]	3
54	5	500	[(26224,1)]			[(26929,1)]	
54	6	1000	[(26026,1)]			[(26928,1)]	
54	7	15	[(26931,1)]			[(26931,1)]	
54	8	40	[(26930,1)]			[(26930,1)]	
54	9	80	[(26230,1)]			[(28032,1)]	
54	10	200	[(26229,1)]			[(27710,1)]	
54	11	400	[(26228,1)]				
54	12	800	[(26227,1)]				
54	13	1000	[(26341,30)]				
54	14	500	[(26341,50)]				
54	15	200	[(26341,100)]				
54	16	25			7		
54	17	2			107		
54	18	20			19		
54	19	2			119		
54	20	500	[(26042,1)]				
54	21	800	[(25837,10)]				
54	22	800	[(26144,10)]				
54	23	800	[(26272,10)]				
54	24	800	[(25970,10)]				
54	25	600	[(25970,20)]				
54	26	800	[(26043,10)]				
54	27	600	[(26043,20)]				
54	28	800	[(26485,1)]				
54	29	800	[(26449,1)]				
54	30	300	[(28030,1)]				
54	31	150	[(28031,1)]				
54	32	50	[(28032,1)]				
54	33	100	[(27709,1)]				
54	34	30	[(27710,1)]				
