rank	rankPreview	rankImg	rewardItems	money	bindRMB	rewardItemsPreview
排名	排名预览	是否显示	奖励	金币奖励	魔晶	奖励道具预览（客户端用）
1	1	SDJNH_TextDYM	[(27568,600),(26450,100),(26344,100),(25794,1)]	0	0	[(27568,600),(26450,100),(26344,100),(25794,1)]
2	2	SDJNH_TextDRM	[(27568,400),(26450,80),(26344,80),(25785,1)]	0	0	[(27568,400),(26450,80),(26344,80),(25785,1)]
3	3	SDJNH_TextDSM	[(27568,300),(26450,70),(26344,70),(25776,1)]	0	0	[(27568,300),(26450,70),(26344,70),(25776,1)]
4	4	SDJNH_TextD4M	[(27568,250),(26450,60),(26344,60),(25767,1)]	0	0	[(27568,250),(26450,60),(26344,60),(25767,1)]
5	5	SDJNH_TextD5M	[(27568,200),(26450,50),(26344,50),(25767,1)]	0	0	[(27568,200),(26450,50),(26344,50),(25767,1)]
6	6	SDJNH_Text6	[(27568,150),(26450,40),(26344,40),(25758,1)]	0	0	[(27568,150),(26450,40),(26344,40),(25758,1)]
7	0	0	[(27568,150),(26450,40),(26344,40),(25758,1)]	0	0	[(27568,150),(26450,40),(26344,40),(25758,1)]
8	0	0	[(27568,150),(26450,40),(26344,40),(25758,1)]	0	0	[(27568,150),(26450,40),(26344,40),(25758,1)]
9	0	0	[(27568,150),(26450,40),(26344,40),(25758,1)]	0	0	[(27568,150),(26450,40),(26344,40),(25758,1)]
10	0	0	[(27568,150),(26450,40),(26344,40),(25758,1)]	0	0	[(27568,150),(26450,40),(26344,40),(25758,1)]
11	7	SDJNH_Text11	[(27568,100),(26450,30),(26344,30),(25758,1)]	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]
12	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]
13	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]
14	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]
15	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]
16	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]
17	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]
18	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]
19	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]
20	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]	0	0	[(27568,100),(26450,30),(26344,30),(25758,1)]
21	8	SDJNH_Text21	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
22	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
23	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
24	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
25	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
26	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
27	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
28	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
29	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
30	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
31	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
32	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
33	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
34	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
35	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
36	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
37	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
38	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
39	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
40	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
41	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
42	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
43	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
44	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
45	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
46	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
47	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
48	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
49	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
50	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]	0	0	[(27568,70),(26450,20),(26344,20),(25749,1)]
51	9	SDJNH_Text51	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
52	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
53	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
54	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
55	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
56	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
57	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
58	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
59	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
60	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
61	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
62	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
63	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
64	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
65	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
66	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
67	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
68	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
69	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
70	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
71	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
72	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
73	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
74	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
75	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
76	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
77	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
78	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
79	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
80	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
81	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
82	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
83	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
84	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
85	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
86	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
87	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
88	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
89	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
90	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
91	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
92	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
93	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
94	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
95	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
96	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
97	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
98	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
99	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
100	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
