rewardId	rangeId	levelRange	itemIndex	item	isPrecious	rateValue	previewItem
奖励ID	等级区段ID	等级区段	转盘index	奖励物品(coding,cnt)	是否珍贵物品(0-否 1-是)	抽奖概率	奖励预览
1	1	[1,179]	1	(27566,1)	0	1000	(27566,1)
2	1	[1,179]	3	(27566,2)	0	1000	(27566,2)
3	1	[1,179]	5	(27566,3)	0	600	(27566,3)
4	1	[1,179]	7	(27566,5)	0	300	(27566,5)
5	1	[1,179]	9	(27566,10)	1	100	(27566,10)
6	1	[1,179]	11	(27566,20)	1	50	(27566,20)
7	1	[1,179]	2	(25600,12)	0	1500	(25600,12)
8	1	[1,179]	4	(25600,15)	0	1000	(25600,15)
9	1	[1,179]	6	(25600,20)	0	720	(25600,20)
10	1	[1,179]	8	(25600,30)	0	500	(25600,30)
11	1	[1,179]	10	(25600,40)	0	240	(25600,40)
12	1	[1,179]	12	(25600,50)	0	120	(25600,50)
