rewardId	rangeId	levelRange	itemIndex	item	isPrecious	rateValue	previewItem
奖励ID	等级区段ID	等级区段	转盘index	奖励物品(coding,cnt)	是否珍贵物品(0-否 1-是)	抽奖概率	奖励预览
1	1	[1,179]	1	(27167,1)	0	1000	(27167,1)
2	1	[1,179]	3	(27167,2)	0	300	(27167,2)
3	1	[1,179]	5	(27167,3)	0	150	(27167,3)
4	1	[1,179]	7	(27167,5)	0	80	(27167,5)
5	1	[1,179]	9	(27167,10)	1	40	(27167,10)
6	1	[1,179]	11	(27167,20)	1	15	(27167,20)
7	1	[1,179]	2	(25837,10)	0	1500	(25837,10)
8	1	[1,179]	4	(25837,12)	0	1200	(25837,12)
9	1	[1,179]	6	(25837,15)	0	800	(25837,15)
10	1	[1,179]	8	(25837,20)	0	500	(25837,20)
11	1	[1,179]	10	(25837,30)	0	240	(25837,30)
12	1	[1,179]	12	(25837,50)	0	100	(25837,50)
