activeID	activeType	needLevel	name	startDate	endDate	kaifuDay	startDays	circularDays	startType
唯一编号	活动类型	需要等级	活动名称	活动开启日期（活动开启后不可删除。活动尚未开启或者结束后可删除，删除则不再开启这个活动。默认读表时间，维护重启服务器当天。）	此列已废（策划看而已）	开服天数区间(大于等于和小于等于)	每次开启持续天数	结束后等待开启天数	开启类型，0=即使活动开启当天不满足开服天数条件，跨天或重启后，若满足开服天数要求就开启；1=开启当天满足开服天数条件的才开启，跨天或重启后即使满足开服天数要求仍然不开启
1	1	70	冲向云霄	(2016,3,18,0,0,0)	(2015,1,5,0,0,0)	(30,99999)	7	9999	0
2	2	70	宠物灵树	(2016,3,11,0,0,0)	(2014,12,12,0,0,0)	(15,99999)	7	9999	0
7	4	45	狂欢充值	(2016,2,26,0,0,0)		(10,59)	7	9999	0
53	4	45	狂欢充值	(2016,2,26,0,0,0)		(60,119)	7	9999	0
54	4	45	狂欢充值	(2016,2,26,0,0,0)		(120,99999)	7	9999	0
8	10	70	宠物大转盘	(2015,12,1,0,0,0)	(2015,1,29,0,0,0)	(30,99999)	3	9999	0
9	11	45	一球成名	(2016,2,19,0,0,0)	(2014,8,7,0,0,0)	(10,59)	7	99999	0
55	11	45	一球成名	(2016,2,19,0,0,0)	(2014,8,7,0,0,0)	(60,119)	7	99999	0
56	11	45	一球成名	(2016,2,19,0,0,0)	(2014,8,7,0,0,0)	(120,99999)	7	99999	0
10	3	50	神秘商店	(2016,3,11,0,0,0)	(2015,4,23,0,0,0)	(6,99999)	3	9999	0
47	12	30	砸龙蛋	(2016,2,12,0,0,0)	(2015,3,12,0,0,0)	(1,99999)	7	99999	0
48	13	80	勇闯十二宫	(2016,2,8,0,0,0)	(2015,4,23,0,0,0)	(30,99999)	4	99999	0
49	14	45	黄金宝箱	(2016,2,12,0,0,0)	(2015,5,10,0,0,0)	(10,59)	7	99999	0
57	14	45	黄金宝箱	(2016,2,12,0,0,0)	(2015,5,10,0,0,0)	(60,119)	7	99999	0
58	14	45	黄金宝箱	(2016,2,12,0,0,0)	(2015,5,10,0,0,0)	(120,99999)	7	99999	0
50	15	60	英雄徽章商店	(2016,2,19,0,0,0)	(2015,2,15,0,0,0)	(1,99999)	10	99999	0
