activeID	activeType	needLevel	name	startDate	endDate	kaifuDay	startDays	circularDays	startType
唯一編號	活動類型	需要等級	活動名稱	活動開啟日期（活動開啟後不可刪除。活動尚未開啟或者結束後可刪除，刪除則不再開啟這個活動。默認讀表時間，維護重啟伺服器當天。）	此列已廢（策劃看而已）	開服天數區間(大於等於和小於等於)	每次開啟持續天數	結束後等待開啟天數	開啟類型，0=即使活動開啟當天不滿足開服天數條件，跨天或重啟後，若滿足開服天數要求就開啟；1=開啟當天滿足開服天數條件的才開啟，跨天或重啟後即使滿足開服天數要求仍然不開啟
521	521	30	充值好禮	(2010,10,23,0,0,0)		(1,99999)	7	9999	0
522	522	30	消費好禮	(2010,10,23,0,0,0)		(1,99999)	7	9999	0
62	62	30	國慶活動-節日登陸禮包	(2014,10,1,0,0,0)	(2014,10,20,0,0,0)	(1,99999)	19	9999	0
64	64	30	萬聖節活動	(2014,10,20,0,0,0)	(2014,11,1,0,0,0)	(1,99999)	12	9999	0
73	73	30	感恩節—充值豪禮	(2014,11,21,0,0,0)	(2014,12,01,0,0,0)	(1,99999)	10	9999	0
74	74	30	感恩節—線上好禮	(2014,11,21,0,0,0)	(2014,11,28,0,0,0)	(1,99999)	7	9999	0
75	75	30	感恩節—感恩切	(2014,11,21,0,0,0)	(2014,11,28,0,0,0)	(1,99999)	7	9999	0
67	67	30	雙十一-祝福輪盤	(2014,11,7,0,0,0)	(2014,11,14,0,0,0)	(1,99999)	7	9999	0
68	68	30	雙十一-秒殺匯	(2014,11,7,0,0,0)	(2014,11,14,0,0,0)	(1,99999)	7	9999	0
69	69	30	雙十一-狂歡兌不停	(2014,11,7,0,0,0)	(2014,11,16,0,0,0)	(1,99999)	9	9999	0
238	238	70	寵物聖誕大禮	(2014,12,1,0,0,0)	(2014,12,3,0,0,0)	(1,99999)	2	9999	0
235	235	60	星靈升星大禮	(2014,12,10,0,0,0)	(2014,12,11,0,0,0)	(1,99999)	1	9999	0
236	236	60	星靈升星大禮	(2014,12,11,0,0,0)	(2014,12,12,0,0,0)	(1,99999)	1	9999	0
237	237	60	星靈升星大禮	(2014,12,12,0,0,0)	(2014,12,13,0,0,0)	(1,99999)	1	9999	0
80	80	30	聖誕嘉年華-聖誕許願樹	(2014,12,19,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	7	9999	0
81	81	30	聖誕嘉年華-羽翼轉轉樂	(2014,12,19,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	7	9999	0
82	82	30	聖誕嘉年華-坐騎轉轉樂	(2014,12,19,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	7	9999	0
83	83	30	聖誕嘉年華-聖誕時裝秀	(2014,12,19,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	7	9999	0
84	84	30	聖誕嘉年華-精彩兌不停	(2014,12,19,0,0,0)	(2014,12,29,0,0,0)	(1,99999)	9	9999	0
517	517	30	登錄有禮	(2014,12,30,0,0,0)		(1,99999)	7	9999	0
85	85	30	元旦大狂歡-迎新送好禮	(2014,12,31,0,0,0)	(2015,1,4,0,0,0)	(1,99999)	4	9999	0
86	86	30	元旦大狂歡-跨年購物節	(2014,12,31,0,0,0)	(2015,1,4,0,0,0)	(1,99999)	4	9999	0
87	87	30	元旦大狂歡-充值開寶箱	(2014,12,31,0,0,0)	(2015,1,4,0,0,0)	(1,99999)	4	9999	0
88	88	30	元旦大狂歡-金幣祈福禮	(2014,12,31,0,0,0)	(2015,1,4,0,0,0)	(1,99999)	4	9999	0
78	78	30	返利領不停	(2014,12,8,0,0,0)	(2014,12,13,0,0,0)	(1,99999)	5	9999	0
234	234	60	星靈升星大禮	(2014,12,9,0,0,0)	(2014,12,10,0,0,0)	(1,99999)	1	9999	0
59	18	30	國慶活動-節日有禮 神石回贈	(2014,9,26,0,0,0)		(1,99999)	24	9999	0
60	19	30	國慶活動-擊殺節日boss	(2014,9,29,0,0,0)	(2014,10,8,0,0,0)	(1,99999)	9	9999	0
61	61	30	國慶活動-天天掛機	(2014,9,29,0,0,0)	(2014,10,8,0,0,0)	(1,99999)	9	9999	0
63	63	30	國慶活動-節日獎勵兌換	(2014,9,29,0,0,0)	(2014,10,20,0,0,0)	(1,99999)	21	9999	0
76	76	30	2015狂歡派對-幸運摩天輪	(2015,1,23,0,0,0)	(2015,1,28,0,0,0)	(1,99999)	5	9999	0
77	77	30	2015狂歡派對-好禮在一起	(2015,1,23,0,0,0)	(2015,1,28,0,0,0)	(1,99999)	5	9999	0
79	79	30	2015狂歡派對-好運幣專場	(2015,1,23,0,0,0)	(2015,1,28,0,0,0)	(1,99999)	5	9999	0
91	91	30	2015狂歡派對-好禮兌不停	(2015,1,23,0,0,0)	(2015,1,30,0,0,0)	(1,99999)	7	9999	0
331	331	120	魔法陣投資	(2015,1,4,0,0,0)		(27,99999)	5	9999	0
89	89	30	新年樂翻天-新年折扣匯	(2015,1,9,0,0,0)	(2015,1,16,0,0,0)	(1,99999)	7	9999	0
90	90	30	新年樂翻天-新年衝衝沖	(2015,1,9,0,0,0)	(2015,1,16,0,0,0)	(1,99999)	7	9999	0
507	507	30	歡樂粽子	(2015,10,1,0,0,0)		(1,99999)	3	9999	0
561	561	30	搶紅包	(2015,10,10,0,0,0)		(1,99999)	3	9999	0
523	523	30	歡樂砸陶罐	(2015,10,28,0,0,0)		(1,99999)	7	9999	0
524	524	30	連充豪禮	(2015,10,28,0,0,0)		(1,99999)	7	9999	0
518	518	30	你消費我買單	(2015,10,7,0,0,0)		(1,99999)	15	9999	0
519	519	30	神樹探秘	(2015,10,7,0,0,0)		(1,99999)	7	9999	0
580	580	30	雙十一商城滿返	(2015,11,11,0,0,0)		(1,99999)	7	9999	0
581	581	30	雙十一充值大放送	(2015,11,11,0,0,0)		(1,99999)	7	9999	0
582	582	30	雙十一返利兌不停	(2015,11,11,0,0,0)		(1,99999)	7	9999	0
584	584	30	雙十一轉盤	(2015,11,11,0,0,0)		(1,99999)	7	9999	0
525	525	30	感恩活動積分兌換	(2015,11,25,0,0,0)		(1,99999)	7	9999	0
526	526	30	感恩活動買二送一	(2015,11,25,0,0,0)		(1,99999)	7	9999	0
52	17	60	深海尋寶	(2015,12,16,0,0,0)		(1,99999)	5	9999	0
529	529	30	消費積分兌換	(2015,12,16,0,0,0)		(8,99999)	7	9999	1
533	533	30	超值團購	(2015,12,16,0,0,0)		(8,99999)	7	9999	1
324	324	75	符文投資	(2015,12,2,0,0,0)		(1,99999)	5	9999	0
514	514	30	七月賣場	(2015,12,30,0,0,0)		(1,99999)	7	9999	0
515	515	30	幸運轉盤	(2015,12,30,0,0,0)		(1,99999)	7	9999	0
534	534	30	聖誕大兌換	(2015,12,30,0,0,0)		(8,99999)	8	9999	1
97	97	30	情人節-情人目標	(2015,2,13,0,0,0)		(1,99999)	5	9999	0
246	246	30	情人節大禮	(2015,2,13,0,0,0)	(2015,2,14,0,0,0)	(1,99999)	1	9999	0
247	247	30	情人節大禮	(2015,2,14,0,0,0)	(2015,2,15,0,0,0)	(1,99999)	1	9999	0
248	248	30	情人節大禮	(2015,2,15,0,0,0)	(2015,2,16,0,0,0)	(1,99999)	1	9999	0
249	249	30	情人節大禮	(2015,2,16,0,0,0)	(2015,2,17,0,0,0)	(1,99999)	1	9999	0
250	250	30	情人節大禮	(2015,2,17,0,0,0)	(2015,2,18,0,0,0)	(1,99999)	1	9999	0
239	239	40	羊年好禮	(2015,2,18,0,0,0)	(2015,2,19,0,0,0)	(1,99999)	1	9999	0
301	301	30	春節活動-普天同慶	(2015,2,18,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	7	9999	0
302	302	30	春節活動-天降財神	(2015,2,18,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	3	9999	0
303	303	30	春節活動-年獸來了	(2015,2,18,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	7	9999	0
304	304	30	春節活動-新春折扣匯	(2015,2,18,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	7	9999	0
305	305	30	春節活動-靚麗時裝秀	(2015,2,18,0,0,0)	(2014,12,29,0,0,0)	(1,99999)	9	9999	0
240	240	40	羊年好禮	(2015,2,19,0,0,0)	(2015,2,20,0,0,0)	(1,99999)	1	9999	0
241	241	40	羊年好禮	(2015,2,20,0,0,0)	(2015,2,21,0,0,0)	(1,99999)	1	9999	0
242	242	40	羊年好禮	(2015,2,21,0,0,0)	(2015,2,22,0,0,0)	(1,99999)	1	9999	0
243	243	40	羊年好禮	(2015,2,22,0,0,0)	(2015,2,23,0,0,0)	(1,99999)	1	9999	0
244	244	40	羊年好禮	(2015,2,23,0,0,0)	(2015,2,24,0,0,0)	(1,99999)	1	9999	0
245	245	40	羊年好禮	(2015,2,24,0,0,0)	(2015,2,25,0,0,0)	(1,99999)	1	9999	0
93	93	30	情人節-送人玫瑰	(2015,3,13,0,0,0)		(1,99999)	5	9999	0
94	94	30	情人節-玫瑰返利	(2015,3,13,0,0,0)		(1,99999)	5	9999	0
95	95	30	情人節-魅力派對	(2015,3,13,0,0,0)		(1,99999)	5	9999	0
96	96	30	情人節-情侶酷炫時裝	(2015,3,13,0,0,0)		(1,99999)	5	9999	0
98	98	30	情人節-魅力大兌換	(2015,3,13,0,0,0)		(1,99999)	7	9999	0
306	306	30	歡樂花燈	(2015,3,2,0,0,0)	(2015,3,7,0,0,0)	(1,99999)	5	9999	0
307	307	30	花燈返利	(2015,3,2,0,0,0)	(2015,3,7,0,0,0)	(1,99999)	5	9999	0
308	308	30	猜燈謎	(2015,3,2,0,0,0)	(2015,3,7,0,0,0)	(1,99999)	5	9999	0
309	309	30	元宵商店	(2015,3,2,0,0,0)	(2015,3,9,0,0,0)	(1,99999)	7	9999	0
218	218	50	占卜特惠大禮	(2015,3,23,0,0,0)		(1,30)	2	9999	0
219	219	50	占卜特惠大禮	(2015,3,23,0,0,0)		(31,90)	2	9999	0
220	220	50	占卜特惠大禮	(2015,3,23,0,0,0)		(91,99999)	2	9999	0
224	224	65	羽翼特惠大禮	(2015,3,24,0,0,0)		(1,30)	2	9999	0
225	225	65	羽翼特惠大禮	(2015,3,24,0,0,0)		(31,90)	2	9999	0
226	226	65	羽翼特惠大禮	(2015,3,24,0,0,0)		(91,99999)	2	9999	0
212	212	60	寶石特惠大禮	(2015,4,18,0,0,0)		(1,30)	2	9999	0
213	213	60	寶石特惠大禮	(2015,4,18,0,0,0)		(31,90)	2	9999	0
214	214	60	寶石特惠大禮	(2015,4,18,0,0,0)		(91,99999)	2	9999	0
227	227	70	寵物特惠大禮	(2015,4,2,0,0,0)		(1,30)	2	9999	0
228	228	70	寵物特惠大禮	(2015,4,2,0,0,0)		(31,90)	2	9999	0
229	229	70	寵物特惠大禮	(2015,4,2,0,0,0)		(91,99999)	2	9999	0
230	230	36	婚戒特惠大禮	(2015,4,2,0,0,0)		(1,30)	2	9999	0
231	231	36	婚戒特惠大禮	(2015,4,2,0,0,0)		(31,90)	2	9999	0
232	232	36	婚戒特惠大禮	(2015,4,2,0,0,0)		(91,99999)	2	9999	0
201	201	30	坐騎成長大禮	(2015,4,24,0,0,0)		(1,60)	2	9999	0
202	202	30	坐騎培養大禮	(2015,4,2,0,0,0)		(61,99999)	2	9999	0
206	206	60	符文超級大禮	(2015,4,29,0,0,0)	(2015,1,29,0,0,0)	(1,99999)	2	9999	0
312	312	30	清明踏青	(2015,4,3,0,0,0)		(1,99999)	7	9999	0
313	313	30	清明幸運輪盤	(2015,4,3,0,0,0)		(1,99999)	7	9999	0
314	314	30	清明好禮兌不停	(2015,4,3,0,0,0)		(1,99999)	9	9999	0
315	315	30	清明全民煉金	(2015,4,3,0,0,0)		(1,99999)	7	9999	0
316	316	30	清明7天充值	(2015,4,3,0,0,0)		(1,99999)	7	9999	0
317	317	30	清明7天消費	(2015,4,3,0,0,0)		(1,99999)	7	9999	0
112	112	70	專題活動-寵物	(2015,4,30,0,0,0)		(1,99999)	1	9999	0
113	113	36	專題活動-婚戒	(2015,4,30,0,0,0)		(1,99999)	1	9999	0
341	341	30	五一登錄	(2015,4,30,0,0,0)		(1,99999)	7	9999	0
342	342	30	五一消費送驚喜	(2015,4,30,0,0,0)		(1,99999)	7	9999	0
343	343	30	五一勇者鬥惡龍	(2015,4,30,0,0,0)		(1,99999)	7	9999	0
344	344	30	五一神龍寶庫	(2015,4,30,0,0,0)		(1,99999)	9	9999	0
204	204	30	許願幸福大禮	(2015,4,5,0,0,0)		(1,99999)	2	9999	0
101	101	30	專題活動-坐騎升階	(2015,5,1,0,0,0)		(1,10)	2	9999	0
102	102	30	專題活動-坐騎升階	(2015,5,1,0,0,0)		(11,20)	2	9999	0
103	103	30	專題活動-坐騎升階	(2015,5,1,0,0,0)		(21,30)	2	9999	0
104	104	30	專題活動-坐騎升階	(2015,5,1,0,0,0)		(31,40)	2	9999	0
105	105	30	專題活動-坐騎升階	(2015,5,1,0,0,0)		(41,60)	2	9999	0
106	106	30	專題活動-坐騎培養	(2015,5,1,0,0,0)		(61,99999)	2	9999	0
210	210	30	坐騎特惠大禮	(2015,5,1,0,0,0)		(1,60)	2	9999	0
211	211	30	坐騎特惠大禮	(2015,5,1,0,0,0)		(61,99999)	2	9999	0
107	107	30	專題活動-寶石合成	(2015,5,2,0,0,0)		(1,99999)	2	9999	0
203	203	60	寶石優惠大禮	(2015,5,2,0,0,0)		(1,99999)	7	9999	0
346	346	30	頁游節BUFF加成	(2015,5,20,0,0,0)		(1,99999)	3	9999	0
47	12	30	砸龍蛋	(2015,5,24,0,0,0)		(1,99999)	5	9999	0
114	114	60	專題活動-星靈	(2015,5,24,0,0,0)		(8,99999)	1	9999	0
345	345	30	頁遊節折扣匯	(2015,5,24,0,0,0)		(1,99999)	4	9999	0
108	108	30	專題活動-許願	(2015,5,3,0,0,0)		(1,99999)	2	9999	0
215	215	30	許願特惠大禮	(2015,5,3,0,0,0)		(1,30)	2	9999	0
216	216	30	許願特惠大禮	(2015,5,3,0,0,0)		(31,90)	2	9999	0
217	217	30	許願特惠大禮	(2015,5,3,0,0,0)		(91,99999)	2	9999	0
109	109	50	專題活動-占卜	(2015,5,4,0,0,0)		(1,99999)	2	9999	0
205	205	50	占卜好運大禮	(2015,5,4,0,0,0)		(1,99999)	2	9999	0
110	110	65	專題活動-羽翼	(2015,5,5,0,0,0)		(1,99999)	2	9999	0
207	207	65	羽翼培養大禮	(2015,5,5,0,0,0)		(1,99999)	2	9999	0
111	111	60	專題活動-符文	(2015,5,6,0,0,0)		(1,99999)	2	9999	0
221	221	60	符文特惠大禮	(2015,5,6,0,0,0)		(1,30)	2	9999	0
222	222	60	符文特惠大禮	(2015,5,6,0,0,0)		(31,90)	2	9999	0
223	223	60	符文特惠大禮	(2015,5,6,0,0,0)		(91,99999)	2	9999	0
233	233	60	星靈升星大禮	(2015,5,6,0,0,0)		(8,99999)	2	9999	0
208	208	70	寵物育成大禮	(2015,5,7,0,0,0)		(1,99999)	1	9999	0
209	209	36	婚戒永恆大禮	(2015,5,7,0,0,0)		(1,99999)	1	9999	0
501	501	30	王者公測——線上有豪禮	(2015,6,23,0,0,0)		(1,99999)	7	9999	0
502	502	30	王者公測——兌換由我定	(2015,6,23,0,0,0)		(1,99999)	8	9999	0
503	503	30	王者公測——最炫時裝秀	(2015,6,23,0,0,0)		(1,99999)	7	9999	0
504	504	30	王者公測——公測折扣匯	(2015,6,23,0,0,0)		(1,99999)	7	9999	0
505	505	30	王者公測——獎勵狂翻倍	(2015,6,23,0,0,0)		(1,99999)	7	9999	0
506	506	30	王者公測——充值返利	(2015,6,23,0,0,0)		(1,99999)	7	9999	0
347	347	30	空間十周年回歸禮包	(2015,6,9,0,0,0)		(1,99999)	7	9999	0
348	348	30	空間累計充值	(2015,6,9,0,0,0)		(1,99999)	7	9999	0
349	349	30	周年紀念幣	(2015,6,9,0,0,0)		(1,99999)	7	9999	0
350	350	30	首充拿大禮	(2015,6,9,0,0,0)		(1,99999)	7	9999	0
351	351	30	天天領好禮	(2015,6,9,0,0,0)		(1,99999)	7	9999	0
352	352	30	空間十周年	(2015,6,9,0,0,0)		(1,99999)	7	9999	0
512	512	30	限時兌換	(2015,7,13,0,0,0)		(1,99999)	9	9999	0
99	99	1	黃鑽活動	(2015,8,18,0,0,0)		(1,99999)	7	9999	0
563	563	30	中秋活躍大禮	(2015,9,30,0,0,0)		(1,99999)	6	9999	0
564	564	30	中秋首充	(2015,9,30,0,0,0)		(1,99999)	6	9999	0
565	565	30	中秋賞月	(2015,9,30,0,0,0)		(1,99999)	6	9999	0
328	328	30	投資總覽	(2015,9,9,0,0,0)		(1,99999)	5	9999	0
530	530	30	充值送紅包	(2016,1,13,0,0,0)		(8,99999)	7	9999	1
531	531	30	幸運紅包	(2016,1,13,0,0,0)		(8,99999)	7	9999	1
325	325	80	雕紋投資	(2016,1,20,0,0,0)		(1,99999)	5	9999	0
327	327	60	星靈投資	(2016,1,20,0,0,0)		(1,99999)	5	9999	0
