rank	levelRange	rewardItems	rewardMoney	rewardItemShow
排名	等级区间	奖励物品	奖励金币	客户端展示奖励
1	1	[(26044,3),(25661,200),(25666,100),(25671,50)]	1000000	[(26044,3),(25828,1000000),(25661,200),(25666,100),(25671,50)]
2	1	[(26044,2),(25661,160),(25666,80),(25671,40)]	850000	[(26044,2),(25828,850000),(25661,160),(25666,80),(25671,40)]
3	1	[(26044,1),(25661,120),(25666,60),(25671,30)]	750000	[(26044,1),(25828,750000),(25661,120),(25666,60),(25671,30)]
4	1	[(25661,80),(25666,40),(25671,20)]	700000	[(25828,700000),(25661,80),(25666,40),(25671,20)]
5	1	[(25661,40),(25666,20),(25671,10)]	650000	[(25828,650000),(25661,40),(25666,20),(25671,10)]
1	2	[(26044,3),(25662,200),(25667,100),(25672,50)]	2000000	[(26044,3),(25828,2000000),(25662,200),(25667,100),(25672,50)]
2	2	[(26044,2),(25662,160),(25667,80),(25672,40)]	1700000	[(26044,2),(25828,1700000),(25662,160),(25667,80),(25672,40)]
3	2	[(26044,1),(25662,120),(25667,60),(25672,30)]	1500000	[(26044,1),(25828,1500000),(25662,120),(25667,60),(25672,30)]
4	2	[(25662,80),(25667,40),(25672,20)]	1400000	[(25828,1400000),(25662,80),(25667,40),(25672,20)]
5	2	[(25662,40),(25667,20),(25672,10)]	1300000	[(25828,1300000),(25662,40),(25667,20),(25672,10)]
1	3	[(26267,3),(25663,200),(25668,100),(25673,50)]	3000000	[(26267,3),(25828,3000000),(25663,200),(25668,100),(25673,50)]
2	3	[(26267,2),(25663,160),(25668,80),(25673,40)]	2550000	[(26267,2),(25828,2550000),(25663,160),(25668,80),(25673,40)]
3	3	[(26267,1),(25663,120),(25668,60),(25673,30)]	2250000	[(26267,1),(25828,2250000),(25663,120),(25668,60),(25673,30)]
4	3	[(25663,80),(25668,40),(25673,20)]	2100000	[(25828,2100000),(25663,80),(25668,40),(25673,20)]
5	3	[(25663,40),(25668,20),(25673,10)]	1950000	[(25828,1950000),(25663,40),(25668,20),(25673,10)]
1	4	[(26267,3),(25664,200),(25669,100),(25674,50)]	4000000	[(26267,3),(25828,4000000),(25664,200),(25669,100),(25674,50)]
2	4	[(26267,2),(25664,160),(25669,80),(25674,40)]	3400000	[(26267,2),(25828,3400000),(25664,160),(25669,80),(25674,40)]
3	4	[(26267,1),(25664,120),(25669,60),(25674,30)]	3000000	[(26267,1),(25828,3000000),(25664,120),(25669,60),(25674,30)]
4	4	[(25664,80),(25669,40),(25674,20)]	2800000	[(25828,2800000),(25664,80),(25669,40),(25674,20)]
5	4	[(25664,40),(25669,20),(25674,10)]	2600000	[(25828,2600000),(25664,40),(25669,20),(25674,10)]
1	5	[(26267,3),(25665,200),(25670,100),(25675,50)]	6000000	[(26267,3),(25828,6000000),(25665,200),(25670,100),(25675,50)]
2	5	[(26267,2),(25665,160),(25670,80),(25675,40)]	5100000	[(26267,2),(25828,5100000),(25665,160),(25670,80),(25675,40)]
3	5	[(26267,1),(25665,120),(25670,60),(25675,30)]	4500000	[(26267,1),(25828,4500000),(25665,120),(25670,60),(25675,30)]
4	5	[(25665,80),(25670,40),(25675,20)]	4200000	[(25828,4200000),(25665,80),(25670,40),(25675,20)]
5	5	[(25665,40),(25670,20),(25675,10)]	3900000	[(25828,3900000),(25665,40),(25670,20),(25675,10)]
1	6	[(26267,3),(27048,200),(27049,100),(27050,50)]	8000000	[(26267,3),(25828,8000000),(27048,200),(27049,100),(27050,50)]
2	6	[(26267,2),(27048,160),(27049,80),(27050,40)]	6800000	[(26267,2),(25828,6800000),(27048,160),(27049,80),(27050,40)]
3	6	[(26267,1),(27048,120),(27049,60),(27050,30)]	6000000	[(26267,1),(25828,6000000),(27048,120),(27049,60),(27050,30)]
4	6	[(27048,80),(27049,40),(27050,20)]	5600000	[(25828,5600000),(27048,80),(27049,40),(27050,20)]
5	6	[(27048,40),(27049,20),(27050,10)]	5200000	[(25828,5200000),(27048,40),(27049,20),(27050,10)]
1	7	[(26267,3),(27904,200),(27905,100),(27906,50)]	9000000	[(26267,3),(25828,9000000),(27904,200),(27905,100),(27906,50)]
2	7	[(26267,2),(27904,160),(27905,80),(27906,40)]	7650000	[(26267,2),(25828,7650000),(27904,160),(27905,80),(27906,40)]
3	7	[(26267,1),(27904,120),(27905,60),(27906,30)]	6750000	[(26267,1),(25828,6750000),(27904,120),(27905,60),(27906,30)]
4	7	[(27904,80),(27905,40),(27906,20)]	6300000	[(25828,6300000),(27904,80),(27905,40),(27906,20)]
5	7	[(27904,40),(27905,20),(27906,10)]	5850000	[(25828,5850000),(27904,40),(27905,20),(27906,10)]
