messageId	desc	EspDesc
消息id	描述	西班牙翻译
yzyxt0012	今日购买次数已达上限	Has usado intentos de compras de hoy.
wfzjjy	等级已满，无法增加经验	Has alcanzado el Nvl más alto por lo que no puedes obtener EXP.
ywdb16	最多只能夺取10个宝箱，你获得的宝箱已达到上限。	Has adquirido 10 Cofres, no puedes obtener más.
gbtm04	已领取全部奖励	Has recibido todas las recompensas.
qmzzl04	已领取全部宝箱	Has recibido todos los cofres
zxhd6	当前临时属性将会在<font color='#FF0000'>{0}</font>后消失。	Tus aperturas temporales caducarán después <font color='#FF0000'>{0}</font>.
ghfb8	你的队伍已解散。	Tu equipo ha disuelto.
newKF027	战队人数不满三人，无法进行匹配	Tu equipo no tiene 3 miembros y no puede comenzar el juego.
lianyu6	当前贵族等级剩余复活次数：{0}。是否消耗魔晶{1}（魔晶不足时则消耗神石）来复活吗？	Tu intento de reactivación restante(s): {0} ¿Estás seguro que quieres gastar {1} Balens o Diamantes ( usa Diamantes primero) para revivir?
xingyubaodian14	最高历史记录为第{0}关	Tu nvl record es {0}.
kfboss18	您所在的队伍类型不是合服Boss，请重新组队！	Tu fiesta no es una para Servidor Merger Boss. Por favor crea una nueva fiesta!
kfboss12	您所在的队伍类型不是开服Boss，请重新组队！	Tu fiesta no es una para Servidor Boss. Por favor crea una nueva fiesta!
qyfb21	您的爱人不在，一个人也可以去闯关哟	Tu compañero no está respondiendo. Puedes entrar por tu cuenta.
qyfb3	您的恋人邀请你加入TA的队伍。	Tu compañero te invitó a unirte a una fiesta.
buff2	您的等级低于世界等级，获得经验额外加成{0}	Tu nvl está por debajo del nvl medio de la parte superior 20 para que disfrute de un impulso EXP {0}.
slxt020	等级不足开启神龙系统	Tu nivel no es suficiente para desbloquear el Sistema Despertar Dragon
zdfb21	等级不足	Tu nivel no es suficiente para la mazmorra.
friend2	您的好友{0}下线了！	Tu amigo {0} está fuera de línea!
friend1	您的好友{0}上线了！	Tu amigo {0} está en línea!
wed53	你的未婚夫<font color='#00EE00'>{0}</font>已成功预约了{1}({2})。	Tu prometido <font color='#00EE00'>{0}</font>  ha hecho el {1}({2}) nombramiento.
ghfb3	您当前的行动力为{0}#H是否使用{1}神石或魔晶购买1次行动力？	Tu actual número de intentos es {0}#H. ¿Estás seguro que quieres gastar {1} Balens o Diamantes para comprar 1 intento?
fund006	已存{0}天	Tus Balens han sido depositados para {0} día(s)
emsy4	您的背包已满，请先整理后再领取。	Tu Mochila está llena. Por favor recíbelos después de limpiar tu Mochila.
lz3	您的3366成长等级是：#C(#EE7600)LV{0}#n	Tu 3366 aumento nvl： #C(#EE7600)LV{0}#n
daily33661	您的3366成长等级是<font color='#ff6501'>{0}</font>，等级越高礼包越丰厚！	Tu 3366 aumento nvl es  <font color='#ff6501'>{0}</font>. El nvl más alto, más recompensas.
qhbact004	30级才可参与抢红包活动，赶紧去升级吧！	Necesitarás lograr nivel 30 para acceder al evento.
qmzzl05	您将使用{0}充值神石转动{1}次	Tu usarás {0} Balens comprados para jugar {1} vez.
gbtm02	您将使用{0}充值神石+{1}个放大镜探索古堡{2}次	Tu usarás {0} Balens comprados + {1} Lupa para explorar castillo antiguo {2} veces.
