messageId	desc	PLdesc
消息id	描述	波兰描述
fanchenmi	#C(#ff0000)抵制不良游戏， 拒绝盗版游戏。#H注意自我保护， 预防受骗上当。#H适度游戏益脑， 沉迷游戏伤身。#H合理安排时间， 享受健康生活。	#C(#ff0000)Unikaj pirackich gier.#H Uważaj na różne formy oszustwa. #H Graj z umiarem, pamiętaj o ryzyku uzależnienia.#H Pamiętaj o zdrowiu, nie poświęcaj całego czasu tylko na granie.
cffy2	#C(#ff0000)无法发送空白内容	#C(#ff0000)Pole tekstowe nie może być puste.
cffy	#C(#ff0000)不能连续发送相同的内容	#C(#ff0000)Nie można wysłać dwa razy tej samej wiadomości
worldChatWarn	#C(#ff0000)你未满{0}级或者贵族等级未达到1级，无法在世界频道发送信息，请努力升级或者提升贵族等级。	#C(#ff0000)Aby korzystać z kanału świat w czacie, musisz osiągnąć poziom {0} lub zostać VIP 1. Osiągnij wyższy poziom lub zostań VIP 1.
unionWarn	#C(#ff0000)您还没加入公会，无法使用公会频道	#C(#ff0000)Nie należysz do żadnej Gildii. Nie możesz prowadzić rozmowy w kanale Gildia.
groupChatWarn	#C(#ff0000)您还没有队伍，无法使用队伍频道	#C(#ff0000)Nie należysz do żadnej drużyny. Nie możesz prowadzić rozmowy w kanale drużyna.
vip0	#C(#FFFFFF)	#C(#FFFFFF)
vip1	#C(#F9AF34)	#C(#F9AF34)
vip2	#C(#F9AF34)	#C(#F9AF34)
vip3	#C(#F9AF34)	#C(#F9AF34)
vip4	#C(#F9AF34)	#C(#F9AF34)
vip5	#C(#F9AF34)	#C(#F9AF34)
vip6	#C(#F9AF34)	#C(#F9AF34)
vip7	#C(#F9AF34)	#C(#F9AF34)
vip8	#C(#F9AF34)	#C(#F9AF34)
vip9	#C(#F9AF34)	#C(#F9AF34)
vip10	#C(#F9AF34)	#C(#F9AF34)
ltxingbie1	#B#C(#389aff)♂#n#n	#B#C(#389aff)♂#n#n
ltxingbie2	#B#C(#ff2c2c)♀#n#n	#B#C(#ff2c2c)♀#n#n
chat1	喇叭不足	Zbyt mało Megafonów!
chat2	#C(#f7f7f)--------------------------历史记录----------------------------------	#C(#f7f7f)--------------------------Chat Log----------------------------------
chat3	私聊	Prywatna wiadomość
chat4	加为好友	Dodaj znajomego
