femaleFirst	maleFirst	femaleSecond	maleSecond
Kasida	Tosar		
Molen	Gardak		
Beathris	Mashakar		
Thodi	Kirr		
Felhameena	Tozilkree		
Nuadardana	Yozshubar		
Lainara	Kagakree		
Aumeena	Nasho		
Adorana	Goramar		
Badora	Bazan		
Celmeena	Nathris		
Felune	Miragelv		
Beazelmeena	Munihelm		
Nirdana	Tygradred		
Nilmeena	Keralace		
Danara	Conjuzan		
Umlsa	Kegar		
Alsalhala	Tygrantrius		
Mougra	Shalitius		
Doriagra	Bragamand		
Feloghma	Ishnjurus		
Thetaghma	Oghmalace		
Hugigra	Dianadar		
Gavidora	Trueskin		
Fordrenara	Delanius		
Aurana	Fearlessseeker		
Miradora	Periwield		
Mirassi	Sternray		
Felomeena	Ballafym		
Felhala	Bloodfury		
Shanna	Dofym		
Laulangla	Whitefire		
Zeydra	Nazius		
Santina	Stonehammer		
Sarmontazara	Dorinn		
Atualjta	Stonestone		
Ljarra	Dianalar		
Anvelj	Arcaneweaver		
Riordella	Frostrunner		
Qeyri	Kenin		
Lezza	Darkblade		
Forialj	Bandinn		
Fessa	Forcefist		
Raymirra	Bunadar		
Soljvella	Spellstaff		
Ozziya	Fohuginn		
Anoljmeyna	Blueworker		
Heyholla	Felothis		
Sertoreetayra	Stoneworm		
Alleoza	Tygrawield		
Ariurdana	Sinsinger		
Gavinrariel	Lanis		
Dorana	Blackbringer		
Arisida	Laithris		
Aridora	Brighthunter		
Kenaya	Ganadar		
Granighma	Flameseeker		
Tenara	Buzadwyn		
Kedwyn	Doombearer		
Yggrana	Moralune		
Thorgameena	Dawnstalker		
Hughma	Kelegar		
Fordregra	Saberwarden		
Colsa	Anafym		
Galsa	Dawnfist		
Nualhala	Kewield		
Ghonaya	Arcaneterror		
Coirdana	Modidi		
Modora	Bladeflame		
Zadora	Nizar		
Dalmeena	Lightstalker		
Monara	Manius		
Laisida	Lightsong		
Marirn	Bandisida		
Morin	Brightcliff		
Kenara	Darkbrew		
Coirana	Redshaper		
Monn	Gavilore		
Analhala	Conjugar		
Folune	Wrathconjuror		
Siragda	Adoge		
Ida	Sterngrove		
Anna	Yggbandis		
Hanna	Sternhammer		
Celestine	Kardred		
Miradwyn	Flamemaster		
