messageId	desc	RussiaDesc
消息id	描述	俄罗斯翻译
fanchenmi	#C(#ff0000)抵制不良游戏， 拒绝盗版游戏。#H注意自我保护， 预防受骗上当。#H适度游戏益脑， 沉迷游戏伤身。#H合理安排时间， 享受健康生活。	#C(#ff0000)Добро пожаловать в Dragon Knight!#n #H#C(#f5f5f5)Добро пожаловать в Dragon Knight! Вас ждут бои и путешествия, враги и союзники, схватки с драконами и богами, борьба за вершины рейтинга в многичесленных ивентах игры. Но даже в пылу сражений не стоит забывать об уважении к соперникам и правилах хорошего тона. Успехов и побед!#n
cffy2	#C(#ff0000)无法发送空白内容	#C(#ff0000)Нельзя отправить пустое сообщение!
cffy	#C(#ff0000)不能连续发送相同的内容	#C(#ff0000)Вы не можете отсылать однотипные сообщения друг за другом!
worldChatWarn	#C(#ff0000)你未满{0}级或者贵族等级未达到1级，无法在世界频道发送信息，请努力升级或者提升贵族等级。	#C(#ff0000)Вы должны достигнуть {0} ур. или быть VIP 1, чтобы иметь доступ к мировому чату! Пожалуйста, повысьте свой уровень или купите VIP.
unionWarn	#C(#ff0000)您还没加入公会，无法使用公会频道	#C(#ff0000)Вы не состоите в гильдии и не можете использовать чат гильдии!
groupChatWarn	#C(#ff0000)您还没有队伍，无法使用队伍频道	#C(#ff0000)Вы не состоите в команде и не можете использовать чат команды!
vip0	#C(#FFFFFF)	#C(#FFFFFF)
vip1	#C(#F9AF34)	#C(#F9AF34)
vip2	#C(#F9AF34)	#C(#F9AF34)
vip3	#C(#F9AF34)	#C(#F9AF34)
vip4	#C(#F9AF34)	#C(#F9AF34)
vip5	#C(#F9AF34)	#C(#F9AF34)
vip6	#C(#F9AF34)	#C(#F9AF34)
vip7	#C(#F9AF34)	#C(#F9AF34)
vip8	#C(#F9AF34)	#C(#F9AF34)
vip9	#C(#F9AF34)	#C(#F9AF34)
vip10	#C(#F9AF34)	#C(#F9AF34)
ltxingbie1	#B#C(#389aff)♂#n#n	#B#C(#389aff)♂#n#n
ltxingbie2	#B#C(#ff2c2c)♀#n#n	#B#C(#ff2c2c)♀#n#n
chat1	喇叭不足	Не хватает горнов!
chat2	#C(#f7f7f)--------------------------历史记录----------------------------------	#C(#f7f7f)--------------------------Лог чата----------------------------------
chat3	私聊	ЛС
chat4	加为好友	В друзья
chat5	查看信息	Описание
chat6	加入队伍	В команду
chat7	复制名字	Копир. имя
chat8	加入黑名单	Игнорировать
chat9	点击清除	Удалить
chat10	邀请入队	В команду
chat11	删除好友	Удалить друга
chat12	世界	Мир
chat13	公会	Гильдия
chat14	道具喇叭不足，是否购买喇叭?	Не хватает горнов! Подтвердить покупку горнов?
chat16	喇叭	Горн
chat17	点击锁定消息滚动	Нажмите, чтобы заблокировать сообщение
chat18	点击解锁消息滚动	Нажмите, чтобы разблокировать сообщение
chat19	[贵族{0}]特权	[VIP{0}] бонусы
chat20	[半年皇室契约]特权	[Полугодовой духовный договор] Бонусы
chat21	[1个月皇室契约]特权	[Месячный духовный договор] Бонусы
chat22	[7天皇室契约]特权	[Недельный духовный договор] Бонусы
chat23	公会邀请	Приглашение в гильдию
chat24	#C(#fbfe00){0}#n等级不足#C(#fbfe00){1}#n，无法加入公会	#C(#fbfe00){0}#n не достиг #C(#fbfe00){1}#n ур. и не может присоединиться к гильдии.
chat25	点击扩大	Нажмите, чтобы увеличить
chat26	点击缩小	Нажмите, чтобы уменьшить
chat27	点击常态	Нажмите, чтобы восстановить
chat28	点击收起聊天窗口	Нажмите, чтобы скрыть
chat29	点击展开聊天窗口	Нажмите, чтобы показать
chat30	队伍	Отряд
chat31	#C(#ff0000)#S(16)温馨提示：#n#n#H#C(#fbfe00)切勿相信任何出售神石、送首充、送贵族、进YY等信息！#n	#C(#ff0000)#S(16)Полезный совет: #n#n#H#C(#fbfe00)Никому не сообщайте ваш логин и пароль. Администрация никогда не спрашивает подобную информацию. Не доверяйте игрокам, которые представляются админстрацией и просят у Вас личные данные! #n
chat32	#C(#ff0000)此场景无法使用区域聊天	#C(#ff0000)На этой локации невозможно использовать местный чат
chat33	区域	Локация
chat34	战场	0
enNone	占位	Захватить место
attack	攻击	Атака
maxhp	生命	ХП
attackspeed	攻击速度	Скорость атаки
anger	怒气	Ярость
attack_p	物攻	Физ.атака
defense_p	物防	Физ.защита
attack_m	法攻	Маг.атака
defense_m	法防	Маг.защита
crit	暴击	Крит
critpress	免暴	А.Крит
antibroken	破防	Пробой
notbroken	免破	А.Пробой
parry	格挡	Блок
puncture	破挡	А.Блок
damageupgrade	增伤	Повысить урон
damagereduce	免伤	Понизить урон
zdl	战斗力	Боевой рейтинг
PropertyEnum0	占位	Захватить место
PropertyEnum1	生命	ХП
PropertyEnum2	速度	Скорость атаки
PropertyEnum3	主角初始怒气	Нач. ярость
PropertyEnum4	物攻	ФАТК
PropertyEnum5	物防	ФЗАЩ
PropertyEnum6	法攻	МАТК
PropertyEnum7	法防	МЗАЩ
PropertyEnum8	暴击	Крит
PropertyEnum9	免暴	А.Крит
PropertyEnum10	破防	Пробой
PropertyEnum11	免破	А.Пробой
PropertyEnum12	格挡	Блок
PropertyEnum13	破挡	А.Блок
PropertyEnum14	增伤	Повысить урон
PropertyEnum15	免伤	Понизить урон
PropertyEnum16	战斗力	Боевой рейтинг
PropertyEnum-16	攻击加成	Повысить атаку
recruit1	需要等级：	Требуемый ур.:
recruit2	需要声望：	Требуемый престиж:
recruit3	冷却后可再次招募	КД найма
recruit4	当前：{0}/{1}页	Тек. стр.: {0}/{1}
recruit6	英雄列表已满，请先解雇多余英雄	Нанято макс. кол-во рекрутов. Пожалуйста, увольте нескольких.
recruit7	道具不足	Недостаточно предметов.
recruit8	进化后开启	Разблокируется после улучшения
recruit9	进化后升级	Уровень повысится после улучшения
recruit10	主动技能	Активный навык
recruit11	被动技能	Пассивный навык
pack1	装备	Экипировка
pack2	#C(#ffffff)出售{0}个#C({1}){2}#n,将得到{3}金币	#C(#ffffff)Продать {0} #C({1}){2}#n, чтобы получить {3} золота?
pack3	#C(#FFFFFF)背包空间不足#n	#C(#FFFFFF)Недостаточно места в инвентаре!#n
pack4	背包容量：	Ячеек:
pack5	剩余可扩展次数{0}	Осталось расширений инвентаря: {0}
pack6	是否消耗{0}神石或魔晶，扩展5个背包格子?	Вы уверены, что хотите потратить {0} баленов или сапфиров, чтобы приобрести 5 доп. ячеек?
pack7	#C(#ffffff)出售{0}个#C({1}){2}#n,将得到{3}个魂石	#C(#ffffff)Продать {0} #C({1}){2}#n, чтобы получить {3} пылающих кристаллов?
pack8	#C(#ffffff)出售{0}个#C({1}){2}#n,将得到{3}{4}	#C(#ffffff)Продав {0} шт. #C({1}) {2}#n, получите {3} {4}
qhdj	强化等级：{0}	Уровень зачарования: {0}
money	金币	Золота
fb_tip1	达到{0}级才能开启该章节	Глава откроется, когда вы достигнете ур. {0}.
fb_tip2	是否使用{0}魔晶（魔晶不足时，消耗神石），购买1次挑战次数	Вы уверены, что хотите потратить {0} сапфиров или баленов, чтобы купить одну попытку вызова на бой (сначала тратятся сапфиры)?
fb_tip3	您的神石不足	Недостаточно баленов!
propsType1	消耗品	Расходуемый
propsType2	武器	Оружие
propsType3	防具	Броня
propsType4	饰品	Украшение
propsType5	宝石	Гем
propsType6	长弓	Лук
propsType7	匕首	Кинжал
propsType8	战斧	Топор
propsType9	圣枪	Копье
propsType10	战锤	Молот
propsType11	弯刀	Мачете
propsType12	符文	Руна
ji	级	Ур.
ygq	已过期	Срок истек
xiaoshi	小时	Час
fenzhong	分钟	Минута
formation1	{0}已经在出阵位上，不能再出阵同样的英雄	{0} уже в группе.
formation2	已助阵的英雄将无法出阵	Рекрутов из подкрепления нельзя использовать в группе.
formation3	开启声望：	Требуемый престиж:
formation4	该英雄已参与助阵	Этот рекрут уже в подкреплении.
formation5	助阵位已满	В подкреплении нет свободных мест!
formation6	当前位置不能放置高于{0}星的英雄	Вы не можете использовать рекрута с {0} звездами в этой позиции.
formation7	{0}已助阵，该类型的英雄不能再助阵	{0} уже в подкреплении. Одинаковые рекруты не могут быть использованы в подкреплении.
formation8	当前助阵位未开启	Текущая позиция подкрепления заблокирована.
formation9	{0}已经在助阵位上，不能再出阵同类型的英雄	{0} уже в подкреплении. Одинаковые рекруты не могут быть использованы в группе.
formation10	防御	Защитник
formation11	辅助	Помощник
formation13	等级不足{0}级，尚未达到开启条件	{0} ур. не достигнут. Невозможно разблокировать.
formation14	31级开启助阵位	Подкрепление разблокируются на 31 ур.
formation15	{0}已出阵，该类型的英雄不能再助阵	{0} уже в группе. Рекруты одного типа не могут быть использованы в подкреплении.
formation16	（主动技能）	(Активный навык)
formation17	（被动技能）	(Пассивный навык)
formation21	烈火重生，龙骑归来	Легендарный рыцарь возродился и вернулся.
formation22	英雄星级高于对应主助阵位英雄星级，助阵失败	Если уровень звезд рекрута превышает уровень звезд рекрута, занимающего позицию основной поддержки, то поддержка потерпит поражение
formation23	英雄星级低于对应副助阵位英雄星级，助阵失败	Если уровень звезд рекрута меньше, чем уровень звезд рекрута, занимающего позицию второстепенной поддержки, то поддержка потерпит поражение
formation24	<font color='#FFFF00'>{0}(+{1})</font>	<font color='#FFFF00'>{0}(+{1})</font>
formation27	消耗1个一级魔石进行镶嵌	Потратить сапфир 1 уровня, чтобы провести инкрустацию
formation28	消耗1个{0}或多个低级魔石进行升级	Потратить 1 {0} или несколько сапфиров низкого уровня, чтобы повысить уровень
