id	title	shuoming
序列	标题	更新说明
1	Dragon Knight	#B#C(#472C08)#S(14)#n#n#n#H#S(14)#C(#472C08)
2		#H
3		Прочитайте это объявление, чтобы быть в курсе расписания ивентов до 19 марта#H
4		#H
5		#H
6		#B#C(#472C08)#S(14)Уважаемые игроки!#n#n#n#H#S(14)#C(#472C08)
7		#H
8		1.Сразу после технических работ 4 марта и до 9 марта в игре пройдет особый праздничный ивент, посвященный годовщине игры. Вы будете получать подарки за нахождение в сети и за выполнение ежедневных ивентов, кроме того будет открыт особый ивентовый магазин.#H
9		2.С 7 по 13 марта пройдет еще один ивент, посвященный замечательному событию - Международному женскому дню! Во время праздничного периода игроки получат бонус к алхимии в размере 50%, смогут испытать свою удачу, переворачивая карточки и играя в рулетку.#H
10		3.С 4 по 8 марта будет действовать акция на пополнение счета “Золотой Сундук”#H
11		4.С 4 по 8 марта также будет доступен ивент “Битва Зодиака”. Не упустите возможность дешево получить карту таланта!#H
12		5.С 6 по 10 марта игроки 120 уровня и выше смогут получить предметы для своего Магического строя в Колесе Призывателя.#H
13		6.С 7 по 13 марта игроки смогут посоревноваться друг с другом в ивенте “Международный женский рейтинг”, победителей в котором определяется по рейтингу цветов из Подземелья влюбленных и из игрового Магазина.#H
14		7.С 11 по 15  марта пройдет кросс-серверный ивент “Алтарь отважного героя”. Побеждайте монстров, зарабатывайте очки - обменивайте их на награды! Лучших из лучших ждет ивентовый магазин с уникальными предметами.#H
15		8.С 13 по 14 марта особенно выгодно будет уделить внимание рунам, ведь в этот период будет действовать акция на их покупку!#H
16		9.С 15 по 19 марта не забывайте проходить Подземелье и Зал героев, ведь в этот период в качестве наград вы будете получать из них особые золотоискатели, которые принесут вам множество полезных предметов из ивента “Таинственные сокровища богов”.#H
17		#H
18		#H
19		#H
20		#H
21		Желаем вам насыщенных и увлекательных новогодних праздников в игре Dragon Knight!#H
22		#H
23		#H
24		#H
25		#H
26		#H
27		#H
