id	bigType	smallType	monType	monWaiGuan	monIcon	camp	one	two	three	four	five	six	seven	eight
1	1	1	1	20007	mountP1	1	100	200	300	400	500	600	700	800
2	1	1	2	20008	mountP1	2	200	200	200	200	200	200	200	200
3	1	1	3	20007	mountP2	1	400	400	400	400	400	400	400	400
4	1	1	4	20008	mountP2	2	500	500	500	500	500	500	500	500
5	1	1	5	20008	mountP3	1	600	600	600	600	600	600	600	600
6	1	1	6	20008	mountP1	2	700	700	700	700	700	700	700	700
7	1	1	7	20008	mountP3	2	800	800	800	800	800	800	800	800
8	1	1	8	20007	mountP3	2	900	900	900	900	900	900	900	900
9	1	1	9	20007	mountP1	1	1000	1000	1000	1000	1000	1000	1000	1000
10	1	1	10	20007	mountP3	2	1100	1100	1100	1100	1100	1100	1100	1100
11	1	1	11	20007	mountP1	1	1200	200	300	400	500	600	700	800
12	1	1	12	20008	mountP1	2	1300	200	200	200	200	200	200	200
13	1	1	13	20007	mountP2	1	1400	400	400	400	400	400	400	400
14	1	1	14	20008	mountP2	2	1500	500	500	500	500	500	500	500
15	1	1	15	20008	mountP3	1	1600	600	600	600	600	600	600	600
16	1	1	16	20008	mountP1	2	1700	700	700	700	700	700	700	700
17	1	1	17	20008	mountP3	2	1800	800	800	800	800	800	800	800
18	1	1	18	20007	mountP3	2	1900	900	900	900	900	900	900	900
19	1	1	19	20007	mountP1	1	2000	1000	1000	1000	1000	1000	1000	1000
20	1	1	20	20007	mountP3	2	2100	1100	1100	1100	1100	1100	1100	1100
