Index	Name	BtnName	OpenString	Level	Coding	Type
序号	名字	按钮名字	打开命令	等级	所需物品（宝石镶嵌=1,符文镶嵌=2,雕纹镶嵌=3,英雄进化=4）	类型（和ZdlCanUp表类型对应）
1	坐骑培养	坐骑培养	ZQPY	20	25600	zuoqiPY
2	坐骑进化	坐骑进化	ZQJH	40	27566	zuoqiJH
3	宝石镶嵌	宝石镶嵌	BS	35	1	baoshiXQ
4	宝石封印	宝石封印	BSFY	60	25831	baoshiFY
5	符文镶嵌	符文镶嵌	FW	60	2	fuwenXQ
6	符文封印	符文封印	FWFY	60	25970	fuwenFY
7	占卜	占卜	OPEN_TAROT_PANEL	50	26042	zhanbu
8	占卜封印	占卜封印	OPEN_AURA_PANEL	70	26043	zhanbuFY
9	宠物培养	宠物培养	PET	70	26144	chongwuPY
10	婚戒锻造	婚戒锻造	JHXTHJ	36	26344	hunjieDZ
11	羽翼培养	羽翼培养	OPEN_WING	65	25837	yuyiPY
12	羽翼进阶	羽翼进阶	OPEN_WING_STEP	75	27167	yuyiJJ
13	星灵升级	星灵升级	OPEN_XL_PANEL	60	26933	xinglingSJ
14	星灵升星	星灵升星	OPEN_XL_SHENGXING	60	26934	xinglingSX
15	时装升星	时装升星	OPEN_CLOTHES_PANEL	85	26677	shizhuangSX
16	时装进阶	时装进阶	OPEN_CLOTHES_PANEL	85	26676	shizhuangJJ
17	神龙进化	神龙进化	open_traindragonmain	45	26925,26924	shenlongJH
18	雕纹镶嵌	雕纹镶嵌	OPEN_DW	80	3	diaowenXQ
19	英雄进化	英雄进化	YXJINJIE	20	4	yingxiongJH
