lv	yingxing	zuoqi	zhuangbei	baoshi	zhanbo	shenqi	fuwen	chibang	chongwu	hunjie	shengqi	shenlong	shuzhuang
玩家等级	英雄初始星级	坐骑初始星级	装备初始星级	宝石初始星级	占卜初始星级	神器初始星级	符文初始星级	翅膀初始星级	宠物初始星级	婚戒初始星级	圣器初始星级	神龙初始星级	时装初始星级
1	5	0	5	0	0	0	0	0	0	0	0	0	0
2	5	0	5	0	0	0	0	0	0	0	0	0	0
3	5	0	5	0	0	0	0	0	0	0	0	0	0
4	5	0	5	0	0	0	0	0	0	0	0	0	0
5	5	0	5	0	0	0	0	0	0	0	0	0	0
6	5	0	5	0	0	0	0	0	0	0	0	0	0
7	5	0	5	0	0	0	0	0	0	0	0	0	0
8	5	0	5	0	0	0	0	0	0	0	0	0	0
9	5	5	5	0	0	0	0	0	0	0	0	0	0
10	5	5	5	0	0	0	0	0	0	0	0	0	0
11	5	5	5	0	0	0	0	0	0	0	0	0	0
12	5	5	5	0	0	0	0	0	0	0	0	0	0
13	5	5	5	0	0	0	0	0	0	0	0	0	0
14	5	5	5	0	0	0	0	0	0	0	0	0	0
15	5	5	5	0	0	0	0	0	0	0	0	0	0
16	5	5	5	0	0	0	0	0	0	0	0	0	0
17	5	5	5	0	0	0	0	0	0	0	0	0	0
18	5	5	5	0	0	0	0	0	0	0	0	0	0
19	5	5	5	0	0	0	0	0	0	0	0	0	0
20	5	5	5	0	0	0	0	0	0	0	0	0	0
21	5	5	5	0	0	0	0	0	0	0	0	0	0
22	5	5	5	0	0	0	0	0	0	0	0	0	0
23	5	5	5	0	0	0	0	0	0	0	0	0	0
24	5	5	5	0	0	0	0	0	0	0	0	0	0
25	5	5	5	0	0	0	0	0	0	0	0	0	0
26	5	5	5	0	0	0	0	0	0	0	0	0	0
27	5	5	5	0	0	0	0	0	0	0	0	0	0
28	5	5	5	0	0	0	0	0	0	0	0	0	0
29	5	5	5	0	0	0	0	0	0	0	0	0	0
30	5	5	5	0	0	0	0	0	0	0	0	0	0
31	5	5	5	0	0	0	0	0	0	0	0	0	0
32	5	5	5	0	0	0	0	0	0	0	0	0	0
33	5	5	5	0	0	0	0	0	0	0	0	0	0
34	5	5	5	0	0	0	0	0	0	0	0	0	0
35	5	5	5	0	0	0	0	0	0	0	0	0	0
36	5	5	5	5	0	0	0	0	0	5	0	0	0
37	5	5	5	5	0	0	0	0	0	5	0	0	0
38	5	5	5	5	0	0	0	0	0	5	0	0	0
39	5	5	5	5	0	0	0	0	0	5	0	0	0
40	5	5	5	5	0	0	0	0	0	5	0	0	0
41	5	4	5	5	0	0	0	0	0	5	0	0	0
42	5	4	5	5	0	0	0	0	0	5	0	0	0
43	5	4	5	5	0	0	0	0	0	5	0	0	0
44	5	4	5	5	0	0	0	0	0	5	0	0	0
45	5	4	5	5	0	0	0	0	0	5	0	5	0
46	5	4	5	5	0	0	0	0	0	5	0	5	0
47	5	4	5	5	0	0	0	0	0	5	0	5	0
48	5	4	5	5	0	0	0	0	0	5	0	5	0
49	5	4	5	5	0	0	0	0	0	5	0	5	0
50	5	4	5	5	5	0	0	0	0	5	0	5	0
51	5	3	5	5	5	0	0	0	0	5	0	5	0
52	5	3	5	5	5	0	0	0	0	5	0	5	0
53	5	3	5	5	5	0	0	0	0	5	0	5	0
54	5	3	5	5	5	0	0	0	0	5	0	5	0
55	5	3	5	5	5	0	0	0	0	5	0	5	0
56	5	3	5	5	5	0	0	0	0	5	0	5	0
57	5	3	5	5	5	0	0	0	0	5	0	5	0
58	5	3	5	5	5	0	0	0	0	5	0	5	0
59	5	3	5	5	5	0	0	0	0	5	0	5	0
60	5	3	5	5	5	5	5	0	0	5	0	5	0
61	5	3	5	4	5	5	5	0	0	4	0	5	0
62	5	3	5	4	5	5	5	0	0	4	0	5	0
63	5	3	5	4	5	5	5	0	0	4	0	5	0
64	5	3	5	4	5	5	5	0	0	4	0	5	0
65	5	3	5	4	5	5	5	0	0	4	0	5	0
66	5	3	5	4	5	5	5	5	0	4	0	5	0
67	5	3	5	4	5	5	5	5	0	4	0	5	0
68	5	3	5	4	5	5	5	5	0	4	0	5	0
69	5	3	5	4	5	5	5	5	0	4	0	5	0
70	5	3	5	4	5	5	5	5	5	4	0	5	0
71	5	2	5	4	5	5	5	5	5	4	0	5	0
72	5	2	5	4	5	5	5	5	5	4	0	5	0
73	5	2	5	4	5	5	5	5	5	4	0	5	0
74	5	2	5	4	5	5	5	5	5	4	0	5	0
75	5	2	5	4	5	5	5	5	5	4	0	5	0
76	5	2	5	4	5	5	5	5	5	4	0	5	0
77	5	2	5	4	5	5	5	5	5	4	0	5	0
78	5	2	5	4	5	5	5	5	5	4	0	5	0
79	5	2	5	4	5	5	5	5	5	4	0	5	0
80	5	2	5	4	5	5	5	5	5	4	5	5	0
81	5	2	5	4	5	5	5	5	5	3	5	4	0
82	5	2	5	4	5	5	5	5	5	3	5	4	0
83	5	2	5	4	5	5	5	5	5	3	5	4	0
84	5	2	5	4	5	5	5	5	5	3	5	4	0
85	5	2	5	4	5	5	5	5	5	3	5	4	5
86	5	2	5	4	5	5	5	5	5	3	5	4	5
87	5	2	5	4	5	5	5	5	5	3	5	4	5
88	5	2	5	4	5	5	5	5	5	3	5	4	5
89	5	2	5	4	5	5	5	5	5	3	5	4	5
90	5	2	5	4	5	5	5	5	5	3	5	4	5
91	5	2	5	3	4	5	4	4	5	3	5	4	5
92	5	2	5	3	4	5	4	4	5	3	5	4	5
93	5	2	5	3	4	5	4	4	5	3	5	4	5
94	5	2	5	3	4	5	4	4	5	3	5	4	5
95	5	2	5	3	4	5	4	4	5	3	5	4	5
96	5	2	5	3	4	5	4	4	5	3	5	4	5
97	5	2	5	3	4	5	4	4	5	3	5	4	5
98	5	2	5	3	4	5	4	4	5	3	5	4	5
99	5	2	5	3	4	5	4	4	5	3	5	4	5
100	5	2	5	3	3	4	4	4	5	3	5	4	5
101	5	1	5	3	3	4	4	4	4	2	5	3	5
102	5	1	5	3	3	4	4	4	4	2	5	3	5
103	5	1	5	3	3	4	4	4	4	2	5	3	5
104	5	1	5	3	3	4	4	4	4	2	5	3	5
105	5	1	5	3	3	4	4	4	4	2	5	3	5
106	5	1	5	3	3	4	4	4	4	2	5	3	5
107	5	1	5	3	3	4	4	4	4	2	5	3	5
108	5	1	5	3	3	4	4	4	4	2	5	3	5
109	5	1	5	3	3	4	4	4	4	2	5	3	5
110	5	1	5	3	3	4	4	4	4	2	5	3	5
111	5	1	5	3	3	4	4	4	4	2	5	3	5
112	5	1	5	3	3	4	4	4	4	2	5	3	5
113	5	1	5	3	3	4	4	4	4	2	5	3	5
114	5	1	5	3	3	4	4	4	4	2	5	3	5
115	5	1	5	3	3	4	4	4	4	2	5	3	5
116	5	1	5	3	3	4	4	4	4	2	5	3	5
117	5	1	5	3	3	4	4	4	4	2	5	3	5
118	5	1	5	3	3	4	4	4	4	2	5	2	5
119	5	1	5	3	3	4	4	4	4	2	5	2	5
120	5	1	5	3	3	4	4	4	4	2	5	2	5
121	5	1	5	2	3	4	3	3	3	1	4	2	4
122	5	1	5	2	3	4	3	3	3	1	4	2	4
123	5	1	5	2	3	4	3	3	3	1	4	2	4
124	5	1	5	2	3	4	3	3	3	1	4	2	4
125	5	1	5	2	3	4	3	3	3	1	4	2	4
126	5	1	5	2	3	4	3	3	3	1	4	2	4
127	5	1	5	2	3	4	3	3	3	1	4	2	4
128	5	1	5	2	3	4	3	3	3	1	4	2	4
129	5	1	5	2	3	4	3	3	3	1	4	2	4
130	5	1	5	2	3	4	3	3	3	1	4	2	4
131	5	1	5	2	2	3	3	3	3	1	4	2	4
132	5	1	5	2	2	3	3	3	3	1	4	2	4
133	5	1	5	2	2	3	3	3	3	1	4	2	4
134	5	1	5	2	2	3	3	3	3	1	4	2	4
135	5	1	5	2	2	3	3	3	3	1	4	2	4
136	5	1	5	2	2	3	3	3	3	1	4	2	4
137	5	1	5	2	2	3	3	3	3	1	4	2	4
138	5	1	5	2	2	3	3	3	3	1	4	2	4
139	5	1	5	2	2	3	3	3	3	1	4	2	4
140	5	1	5	2	2	3	3	3	2	1	4	2	4
141	5	1	5	2	2	3	3	2	2	1	4	2	3
142	5	1	5	2	2	3	3	2	2	1	4	2	3
143	5	1	5	2	2	3	3	2	2	1	4	2	3
144	5	1	5	2	2	3	3	2	2	1	4	2	3
145	5	1	5	2	2	3	3	2	2	1	4	2	3
146	5	1	5	2	2	3	3	2	2	1	4	2	3
147	5	1	5	2	2	3	3	2	2	1	4	2	3
148	5	1	5	2	2	3	3	2	2	1	4	2	3
149	5	1	5	2	2	3	3	2	2	1	4	2	3
150	5	1	5	2	2	3	3	2	2	1	4	2	3
151	5	1	5	1	1	3	2	2	2	1	3	2	3
