key	string
天拓	□
天 拓	□
天  拓	□
天   拓	□
天！拓	□
天&拓	□
天@拓	□
天#拓	□
天￥拓	□
天%拓	□
天……拓	□
天*拓	□
天-拓	□
天0拓	□
天=拓	□
天+拓	□
天~拓	□
天/拓	□
天【拓	□
天】拓	□
天；拓	□
天：拓	□
天‘拓	□
天“拓	□
天|拓	□
天、拓	□
天《拓	□
天，拓	□
天》拓	□
天。拓	□
天.拓	□
天？拓	□
天/拓	□
疆独	□
天拓	□
藏独	□
火车站砍人	□
全能神	□
麦当劳杀人	□
共产党	□
毛泽东	□
周恩来	□
刘少奇	□
朱德	□
彭德怀	□
林彪	□
刘伯承	□
陈毅	□
贺龙	□
聂荣臻	□
徐向前	□
罗荣桓	□
叶剑英	□
李大钊	□
陈独秀	□
孙中山	□
孙文	□
孙逸仙	□
邓小平	□
陈云	□
江泽民	□
李鹏	□
朱镕基	□
李瑞环	□
尉健行	□
李岚清	□
胡锦涛	□
罗干	□
温家宝	□
吴邦国	□
曾庆红	□
贾庆林	□
黄菊	□
吴官正	□
李长春	□
吴仪	□
回良玉	□
曾培炎	□
周永康	□
曹刚川	□
唐家璇	□
华建敏	□
陈至立	□
陈良宇	□
张德江	□
张立昌	□
俞正声	□
王乐泉	□
刘云山	□
王刚	□
王兆国	□
刘淇	□
贺国强	□
郭伯雄	□
胡耀邦	□
李登辉	□
连战	□
陈水扁	□
宋楚瑜	□
吕秀莲	□
郁慕明	□
蒋介石	□
蒋中正	□
蒋经国	□
马英九	□
习近平	□
李克强	□
吴帮国	□
无帮国	□
无邦国	□
无帮过	□
瘟家宝	□
假庆林	□
甲庆林	□
假青林	□
离长春	□
习远平	□
袭近平	□
李磕墙	□
贺过墙	□
和锅枪	□
粥永康	□
轴永康	□
肘永康	□
周健康	□
粥健康	□
周小康	□
布什	□
布莱尔	□
小泉	□
纯一郎	□
萨马兰奇	□
安南	□
阿拉法特	□
普京	□
默克尔	□
克林顿	□
里根	□
尼克松	□
林肯	□
杜鲁门	□
赫鲁晓夫	□
列宁	□
斯大林	□
马克思	□
恩格斯	□
金正日	□
金日成	□
萨达姆	□
胡志明	□
西哈努克	□
希拉克	□
撒切尔	□
阿罗约	□
曼德拉	□
卡斯特罗	□
富兰克林	□
华盛顿	□
艾森豪威尔	□
拿破仑	□
亚历山大	□
路易	□
拉姆斯菲尔德	□
劳拉	□
鲍威尔	□
奥巴马	□
本拉登	□
奥马尔	□
柴玲	□
达赖喇嘛	□
江青	□
张春桥	□
姚文元	□
王洪文	□
东条英机	□
希特勒	□
墨索里尼	□
冈村秀树	□
冈村宁次	□
高丽朴	□
赵紫阳	□
王丹	□
沃尔开西	□
李洪志	□
李大师	□
赖昌星	□
马加爵	□
班禅	□
额尔德尼	□
山本五十六	□
阿扁	□
阿扁万岁	□
热那亚	□
热比娅	□
一边一国	□
两国论	□
分裂中国	□
革命	□
茉莉花	□
突尼斯	□
国内动态详情	□
回回	□
六四	□
六四运动	□
美国之音	□
密宗	□
民国	□
民进党	□
民运	□
民主	□
民主潮	□
摩门教	□
纳粹	□
南华早报	□
南蛮	□
明慧网	□
起义	□
亲民党	□
瘸腿帮	□
人民报	□
法轮功	□
法轮大法	□
打倒共产党	□
台独万岁	□
圣战	□
示威	□
台独	□
台独分子	□
台联	□
台湾民国	□
台湾岛国	□
台湾国	□
台湾独立	□
太子党	□
天安门事件	□
屠杀	□
新党	□
新疆独立	□
新疆分裂	□
新疆国	□
西藏独立	□
西藏分裂	□
西藏国	□
藏青会	□
藏妇会	□
学潮	□
学运	□
一党专政	□
一中一台	□
两个中国	□
一贯道	□
游行	□
造反	□
真善忍	□
镇压	□
政变	□
政治	□
政治反对派	□
政治犯	□
中共	□
反党	□
反共	□
政府	□
民主党	□
中国之春	□
转法轮	□
自焚	□
共党	□
共匪	□
苏家屯	□
基地组织	□
塔利班	□
东亚病夫	□
支那	□
高治联	□
高自联	□
专政	□
专制	□
世界维吾尔大会	□
核工业基地	□
核武器	□
铀	□
原子弹	□
氢弹	□
导弹	□
核潜艇	□
大参考	□
小参考	□
国内动态清样	□
释迦牟尼	□
阿弥陀佛	□
多维	□
河殇	□
穆罕默德	□
耶和华	□
耶稣	□
伊斯兰	□
真主安拉	□
白莲教	□
天主教	□
基督教	□
东正教	□
法轮	□
真理教	□
走向圆满	□
黄大仙	□
跳大神	□
神汉	□
神婆	□
大卫教	□
阎王	□
黑白无常	□
