rewardIndex	reward
奖励索引	奖励配置(道具coding， 道具数量， 概率， 是否广播（1-广播， 0-不广播）)
1	(25636, 1, 100, 1)
2	(25636, 1, 100, 1)
3	(25636, 1, 100, 1)
4	(25636, 1, 100, 1)
5	(25636, 1, 100, 1)
6	(25636, 1, 100, 1)
7	(25636, 1, 100, 1)
8	(25636, 1, 100, 1)
9	(25636, 1, 100, 1)
10	(25636, 1, 100, 1)
11	(25636, 1, 100, 1)
12	(25636, 1, 100, 1)
13	(25636, 1, 100, 1)
14	(25636, 1, 100, 1)
15	(25636, 1, 100, 1)
16	(25636, 1, 100, 1)
17	(25636, 1, 100, 1)
18	(25636, 1, 100, 1)
19	(25636, 1, 100, 1)
20	(25636, 1, 100, 1)
21	(25636, 1, 100, 1)
22	(25636, 1, 100, 1)
23	(25636, 1, 100, 1)
24	(25636, 1, 100, 1)
25	(25636, 1, 100, 1)
26	(25636, 1, 100, 1)
27	(25636, 1, 100, 1)
28	(25636, 1, 100, 1)
29	(25636, 1, 100, 1)
30	(25636, 1, 100, 1)
31	(25636, 1, 100, 1)
32	(25636, 1, 100, 1)
33	(25636, 1, 100, 1)
34	(25636, 1, 100, 1)
35	(25636, 1, 100, 1)
36	(25636, 1, 100, 1)
37	(25636, 1, 100, 1)
38	(25636, 1, 100, 1)
39	(25636, 1, 100, 1)
40	(25636, 1, 100, 1)
41	(25636, 1, 100, 1)
42	(25636, 1, 100, 1)
