rewardIndex	needLongyinCnt	rewardItem	rewardBindRMB
奖励索引	需要龙印个数	奖励物品	奖励魔晶
1	2	[(25600,10)]	50
2	4	[(25600,15),(26044,1)]	80
3	7	[(25600,20),(26042,1),(26044,1)]	100
4	12	[(25600,30),(26042,1),(26044,2),(26119,1)]	150
5	19	[(25600,40),(25837,10),(26042,1),(26044,2),(26119,1)]	200
6	26	[(25600,50),(25837,15),(26144,5),(26042,2),(26044,2),(26119,2)]	250
7	35	[(25600,60),(25837,20),(26144,10),(26042,2),(26223, 1),(26267,1)]	400
8	50	[(25600,70),(25837,25),(26144,13),(26042,3),(26223, 2),(26267,2)]	600
9	70	[(25600,80),(25837,30),(26144,15),(26042,3),(26224, 1),(26227,1)]	800
10	100	[(25600,90),(25837,35),(26144,18),(26042,3),(26224, 2),(26227,2)]	1000
11	135	[(25600,100),(25837,40),(26144,20),(26042,4),(26224, 3),(26227,3)]	1500
