eventId	eventType	eventShow	eventShow1	eventName	eventDec	eventCD
事件id	事件类型(1-事件 2-小怪)	事件显示	事件小图标显示	事件名字	事件描述	触发CD
1	1	qybf1		情缘宝藏	开启后拥有获得一次宝藏的机会	10
2	2	qybf2		情缘小怪	与小怪进入战斗。触发副本中所有机关并击杀所有小怪才可清除boss身边的障碍	12
3	1	qybf3	qyxiao3	减少30%战斗CD	减少30%战斗CD，持续1分钟	3
4	1	qybf4	qyxiao4	减少30%触发事件CD	减少30%触发事件CD，持续1分钟	3
5	1	qybf5	qyxiao5	减少30%移动CD	减少30%移动CD，持续1分钟	3
6	1	qybf6	qyxiao6	提高10%攻击Buff	提高全体出战成员10%攻击，持续1分钟	3
7	1	qybf7	qyxiao7	提高10%攻击Buff	下一场战斗提高全体出战成员10%攻击	3
8	1	qycs8		随机传送	传送到地图内任意可行走的格子上	3
9	1	qyzd93		障碍物	障碍物不可行走	0
10	1	qyjg10		美人机关	点击可触发机关。触发副本中所有机关并击杀所有小怪才可清除BOSS身边的障碍	5
11	2	qybf2		情缘Boss	与Boss进入战斗。触发副本中所有机关并击杀所有小怪才可清除Boss身边的障碍	0
12	1	qyzd91		高级障碍物	高级障碍物，需触发地牢中所有机关并击杀所有小怪后才可清除	0
