layer	nextlayer	scene0	x0	y0	scenePos	hasFirst	firstItems	firstMoney	firstRMB	yuLan	killYuLan	Monster1	x1	y1	face1	camp1	fight1	reward1	Monster2	x2	y2	face2	camp2	fight2	reward2	Monster3	x3	y3	face3	camp3	fight3	reward3	m1	m2	boss	jumpRound	doornpc	door
层数	下一层	场景	坐标x0	坐标y0	场景和进入坐标	是否有首次通关奖励	首次通关奖励物品	首次通关奖励金币	首次通关奖励魔晶	首次通关奖励（客户端预览）	击杀怪物奖励（客户端预览）	怪物1	坐标x1	坐标y1	朝向1	阵营1	战斗底图1	奖励1	怪物2	坐标x2	坐标y2	朝向2	阵营2	战斗底图2	奖励2	怪物3	坐标x3	坐标y3	朝向3	阵营3	战斗底图3	奖励3	怪物1数据(Npc类型,坐标X,坐标Y,朝向, 战斗ID,战斗类型,奖励ID)	怪物2数据(Npc类型,坐标X,坐标Y,朝向, 战斗ID,战斗类型,奖励ID)	boss数据(Npc类型,坐标X,坐标Y,朝向, 战斗ID,战斗类型,奖励ID)	跳层需要上一关的最小回合数	传送门类型	传送门数据(Npc类型,坐标X,坐标Y,朝向)
1	2	601	395	1126	(601,395,1126)	0					[(28762,5),(28752, 20),(28747, 20),(28757, 20),(26306,1)]	20000	659	991	0	18000	174	1	20001	910	788	0	18001	174	2	20090	1163	658	0	18002	174	3	(20000,659,991,0,18000,174,1)	(20001,910,788,0,18001,174,2)	(20090,1163,658,0,18002,174,3)	0	15000	(15000,1620,432,0)
2	3	602	395	1126	(602,395,1126)	0					[(28762,5),(28752, 20),(28747, 20),(28757, 20),(26306,1)]	20003	659	991	0	18003	174	4	20004	910	788	0	18004	174	5	20091	1163	658	0	18005	174	6	(20003,659,991,0,18003,174,4)	(20004,910,788,0,18004,174,5)	(20091,1163,658,0,18005,174,6)	3	15001	(15001,1620,432,0)
3	4	603	395	1126	(603,395,1126)	0					[(28762,5),(28752, 20),(28747, 20),(28757, 20),(26306,1)]	20006	659	991	0	18006	174	7	20007	910	788	0	18007	174	8	20092	1163	658	0	18008	174	9	(20006,659,991,0,18006,174,7)	(20007,910,788,0,18007,174,8)	(20092,1163,658,0,18008,174,9)	3	15002	(15002,1620,432,0)
4	5	604	395	1126	(604,395,1126)	0					[(28762,5),(28752, 20),(28747, 20),(28757, 20),(26306,1)]	20009	659	991	0	18009	174	10	20010	910	788	0	18010	174	11	20093	1163	658	0	18011	174	12	(20009,659,991,0,18009,174,10)	(20010,910,788,0,18010,174,11)	(20093,1163,658,0,18011,174,12)	3	15003	(15003,1620,432,0)
5	6	605	395	1126	(605,395,1126)	1	[(28762,20),(28752,30),(28747,15)]	10000000		[(25828,10000000),(28762,20),(28752,30),(28747,15)]	[(28762,10),(28752, 25),(28747, 25),(28757, 25),(28775,1)]	20012	659	991	0	18012	174	13	20013	910	788	0	18013	174	14	20094	1163	658	0	18014	174	15			(20094,1163,658,0,18014,174,15)		15004	(15004,1620,432,0)
6	7	606	395	1126	(606,395,1126)	0					[(28762,5),(28752, 20),(28747, 20),(28757, 20),(26306,1)]	20015	659	991	0	18015	174	16	20016	910	788	0	18016	174	17	20095	1163	658	0	18017	174	18	(20015,659,991,0,18015,174,16)	(20016,910,788,0,18016,174,17)	(20095,1163,658,0,18017,174,18)	5	15005	(15005,1620,432,0)
7	8	607	395	1126	(607,395,1126)	0					[(28762,5),(28752, 20),(28747, 20),(28757, 20),(26306,1)]	20018	659	991	0	18018	174	19	20019	910	788	0	18019	174	20	20096	1163	658	0	18020	174	21	(20018,659,991,0,18018,174,19)	(20019,910,788,0,18019,174,20)	(20096,1163,658,0,18020,174,21)	3	15006	(15006,1620,432,0)
8	9	608	395	1126	(608,395,1126)	0					[(28762,5),(28752, 20),(28747, 20),(28757, 20),(26306,1)]	20021	659	991	0	18021	174	22	20022	910	788	0	18022	174	23	20097	1163	658	0	18023	174	24	(20021,659,991,0,18021,174,22)	(20022,910,788,0,18022,174,23)	(20097,1163,658,0,18023,174,24)	3	15007	(15007,1620,432,0)
9	10	609	395	1126	(609,395,1126)	0					[(28762,5),(28752, 20),(28747, 20),(28757, 20),(26306,1)]	20024	659	991	0	18024	174	25	20025	910	788	0	18025	174	26	20098	1163	658	0	18026	174	27	(20024,659,991,0,18024,174,25)	(20025,910,788,0,18025,174,26)	(20098,1163,658,0,18026,174,27)	3	15008	(15008,1620,432,0)
