index	minLevel	maxLevel	need_score	tili	items	bindRMB	money	union_exp	union_contribution	jlb	feastWheelNomalTimes	christmasStockings	holidayWishCnt	newYearFreeTimes	huoYueDaLiSteps
奖励索引	最小等级	最大等级	需要积分	体力	物品	魔晶	银币	公会经验	公会贡献	金龙币	盛宴摩天轮增加普通抽奖次数	圣诞许愿树袜子	元旦金币祈福	新年冲冲冲免费抽奖次数	中秋活跃大礼前进步数
1	32	59	10	5	[(25600,2)]					0	0	0	0	0	0
1	60	89	10	5	[(25600,2)]					0	0	0	0	0	0
1	90	179	10	5	[(25600,2)]					0	0	0	0	0	0
2	32	59	30	10		10				0	0	0	0	0	0
2	60	89	30	10		10				0	0	0	0	0	0
2	90	179	30	10		10				0	0	0	0	0	0
3	32	59	50	15	[(25600,5),(28784,1)]		100000			0	0	0	0	0	0
3	60	89	50	15	[(25600,5),(28784,1)]		100000			0	0	0	0	0	0
3	90	179	50	15	[(25600,5),(28784,1)]		100000			0	0	0	0	0	0
4	32	59	70	30	[(28784,1)]					0	0	0	0	0	0
4	60	89	70	30	[(28784,1)]					0	0	0	0	0	0
4	90	179	70	30	[(28784,1)]					0	0	0	0	0	0
5	32	59	100	30	[(28784,1)]	20		500	500	0	0	0	0	0	1
5	60	89	100	30	[(28784,1)]	20		500	500	0	0	0	0	0	1
5	90	179	100	30	[(28784,1)]	20		500	500	0	0	0	0	0	1
6	32	59	125	0	[(26032,5),(28785,1)]	100				1	1	1	3	1	1
6	60	89	135	0	[(26032,5),(28785,1)]	100				1	1	1	3	1	1
6	90	179	140	0	[(26032,5),(28785,1)]	100				1	1	1	3	1	1
