FBLevel	name	rangeId	levelRange	rewardMoney	rewardItems	previewItems
试炼场等级	物品名字	等级段ID	等级段	金币奖励	奖励物品	奖励预览
1	初级试炼场	1	[30,39]	0	[(25638,10),(25681,20)]	[(25638,10),(25681,20)]
1	初级试炼场	2	[40,59]	0	[(25639,13),(25682,25)]	[(25639,13),(25682,25)]
1	初级试炼场	3	[60,79]	0	[(25640,10),(25683,30)]	[(25640,10),(25683,30)]
1	初级试炼场	4	[80,99]	0	[(25641,10),(25684,35)]	[(25641,10),(25684,35)]
1	初级试炼场	5	[100,119]	0	[(25642,8),(25685,40)]	[(25642,8),(25685,40)]
1	初级试炼场	6	[120,139]	0	[(25642,12),(25686,45)]	[(25642,12),(25686,45)]
1	初级试炼场	7	[140,159]	0	[(25642,13),(26607,50)]	[(25642,13),(26607,50)]
1	初级试炼场	8	[160,179]	0	[(25642,14),(27066,50)]	[(25642,14),(27066,50)]
2	中级试炼场	1	[30,39]	0	[(25638,12),(25681,20)]	[(25638,12),(25681,20)]
2	中级试炼场	2	[40,59]	0	[(25639,14),(25682,25)]	[(25639,14),(25682,25)]
2	中级试炼场	3	[60,79]	0	[(25640,11),(25683,30)]	[(25640,11),(25683,30)]
2	中级试炼场	4	[80,99]	0	[(25641,11),(25684,35)]	[(25641,11),(25684,35)]
2	中级试炼场	5	[100,119]	0	[(25642,9),(25685,40)]	[(25642,9),(25685,40)]
2	中级试炼场	6	[120,139]	0	[(25642,13),(25686,45)]	[(25642,13),(25686,45)]
2	中级试炼场	7	[140,159]	0	[(25642,14),(26607,50)]	[(25642,14),(26607,50)]
2	中级试炼场	8	[160,179]	0	[(25642,15),(27066,50)]	[(25642,15),(27066,50)]
3	高级试炼场	1	[30,39]	0	[(25638,14),(25681,20)]	[(25638,14),(25681,20)]
3	高级试炼场	2	[40,59]	0	[(25639,15),(25682,25)]	[(25639,15),(25682,25)]
3	高级试炼场	3	[60,79]	0	[(25640,12),(25683,30)]	[(25640,12),(25683,30)]
3	高级试炼场	4	[80,99]	0	[(25641,12),(25684,35)]	[(25641,12),(25684,35)]
3	高级试炼场	5	[100,119]	0	[(25642,10),(25685,40)]	[(25642,10),(25685,40)]
3	高级试炼场	6	[120,139]	0	[(25642,14),(25686,45)]	[(25642,14),(25686,45)]
3	高级试炼场	7	[140,159]	0	[(25642,15),(26607,50)]	[(25642,15),(26607,50)]
3	高级试炼场	8	[160,179]	0	[(25642,16),(27066,50)]	[(25642,16),(27066,50)]
