Index	ItemCode	ItemCode1	Type	Cnt	Price	Usually	IsBroadcast	CanSysRMB
交易索引	物品编码	物品编码(客户端用预览1为显示，0为不显示)	1:普通物品，2：命魂，3：天赋卡	数量	神石	原价	是否广播	是否可以是系统神石
1	(26906,1)	0	1	3	95	200	1	0
2	(26907,1)	0	1	5	45	200	1	1
3	(25831,1)	0	1	20	15	50	0	1
4	(26446,1)	0	1	10	2	20	0	1
5	(26033,1)	0	1	10	45	85	0	1
6	(26119,1)	0	1	10	45	85	0	1
7	(26909,1)	0	1	10	45	200	0	1
8	(26920,1)	0	1	5	1995	5000	1	1
9	(25970,1)	0	1	20	15	50	0	1
10	(26910,1)	0	1	10	720	1250	0	1
11	(25767,1)	0	1	3	595	1180	0	1
12	(25772,1)	0	1	3	595	1180	0	1
13	(25915,1)	0	1	3	595	1180	0	1
14	(26918,1)	0	1	5	1995	5000	1	1
15	(25778,1)	0	1	3	895	1960	0	1
16	(25780,1)	0	1	3	995	2360	1	1
17	(25774,1)	0	1	3	995	2360	1	1
18	(25777,1)	0	1	3	895	1960	0	1
19	(25922,1)	0	1	3	995	2360	1	1
20	(26913,1)	0	1	10	55	240	0	1
21	(26911,1)	0	1	5	1995	5000	1	1
22	(26915,1)	0	1	10	65	280	0	1
23	(26914,1)	0	1	5	1995	5000	1	1
24	(25758,1)	0	1	3	295	590	0	1
25	(25763,1)	0	1	3	295	590	0	1
26	(25909,1)	0	1	3	295	590	0	1
27	(26917,1)	0	1	10	75	320	0	1
28	(26916,1)	0	1	5	1995	5000	1	1
29	(26450,1)	0	1	10	20	65	0	1
30	(26032,1)	0	1	20	15	45	0	1
31	(26266,1)	0	1	20	15	45	0	1
32	(26919,1)	0	1	10	35	160	0	1
33	(26912,1)	0	1	5	1995	3995	1	1
34	(26043,1)	0	1	20	15	50	0	1
35	(26447,1)	0	1	5	10	40	0	1
36	(26908,1)	0	1	10	95	200	0	1
37	(26971,1)	0	1	3	6995	9995	1	1
38	(27071,1)	0	1	5	1995	5000	0	1
39	(27072,1)	0	1	5	85	400	0	1
40	(27468,1)	0	1	3	500	800	0	1
41	(26446,1)	0	1	10	8	20	0	1
42	(26447,1)	0	1	5	15	40	0	1
43	(25970,1)	0	1	10	25	50	0	1
44	(25831,1)	0	1	10	25	50	0	1
45	(26043,1)	0	1	10	25	50	0	1
46	(27469,1)	0	1	3	300	500	0	1
47	(37010,1)	0	1	1	2995	5995	1	1
48	(27470,1)	0	1	1	750	1345	1	1
49	(27709,1)	0	1	3	1495	1995	1	1
50	(25757,1)	0	1	3	354	590	1	1
51	(25766,1)	0	1	3	708	1180	1	1
52	(27566,1)	0	1	5	100	125	0	1
53	(27835,1)	0	1	1	10	10	0	1
54	(27894,1)	0	1	1	10	10	1	1
55	(37011,1)	0	1	1	2995	5995	1	1
56	(27903,1)	0	1	3	500	800	1	0
57	(27928,1)	0	1	10	95	480	0	1
58	(27929,1)	0	1	5	1995	5000	1	1
59	(27903,1)	0	1	3	500	800	1	0
60	(28079,1)	0	1	5	45	200	0	1
61	(26908,1)	0	1	3	95	200	0	1
62	(26919,1)	0	1	5	35	160	0	1
63	(25661,40)	0	1	3	15	50	0	1
64	(25666,40)	0	1	3	20	50	0	1
65	(25671,20)	0	1	3	25	50	0	1
66	(25656,1)	0	1	3	250	1000	0	1
67	(25656,5)	0	1	3	2500	10000	1	1
68	(25657,1)	0	1	3	250	1000	0	1
69	(26920,1)	0	1	3	2500	10000	1	1
70	(26910,1)	0	1	5	720	1250	1	1
71	(26344,10)	0	1	3	125	250	0	1
72	(26342,10)	0	1	3	150	250	0	1
73	(26343,10)	0	1	3	150	250	0	1
74	(26450,1)	0	1	10	20	65	0	1
75	(26032,1)	0	1	12	5	45	0	1
76	(26033,1)	0	1	10	36	90	0	1
77	(25758,1)	0	1	3	354	590	0	1
78	(25767,1)	0	1	3	708	1180	1	1
79	(25774,1)	0	1	3	995	2360	1	1
80	(25777,1)	0	1	3	895	1960	1	1
81	(25778,1)	0	1	3	895	1960	1	1
82	(26042,1)	0	1	5	537	895	0	1
83	(26912,1)	0	1	5	2500	4000	1	1
84	(26925,5)	0	1	3	240	300	0	1
85	(26924,5)	0	1	3	240	300	0	1
86	(27468,1)	0	1	3	500	800	1	1
87	(25658,1)	0	1	3	200	1000	0	1
88	(26911,1)	0	1	3	1000	5000	1	1
89	(26228,1)	0	1	3	472	590	1	1
90	(26229,1)	0	1	3	944	1180	1	1
91	(26230,1)	0	1	3	1888	2360	1	1
92	(26971,1)	0	1	3	6995	9995	1	1
93	(27903,1)	0	1	3	500	800	1	0
94	(28079,1)	0	1	5	45	200	0	1
95	(26908,1)	0	1	3	95	200	0	1
96	(26909,1)	0	1	5	45	200	0	1
97	(25662,50)	0	1	3	20	65	0	1
98	(25667,50)	0	1	3	25	65	0	1
99	(25672,25)	0	1	3	25	65	0	1
100	(26910,1)	0	1	5	720	1250	1	1
101	(26344,10)	0	1	3	125	250	0	1
102	(26342,10)	0	1	3	150	250	0	1
103	(26343,10)	0	1	3	150	250	0	1
104	(26450,1)	0	1	10	20	65	0	1
105	(26032,1)	0	1	20	5	45	0	1
106	(26033,1)	0	1	10	36	90	0	1
107	(25758,1)	0	1	3	354	590	1	1
108	(25767,1)	0	1	3	708	1180	1	1
109	(25774,1)	0	1	3	995	2360	1	1
110	(25777,1)	0	1	3	895	1960	1	1
111	(25778,1)	0	1	3	895	1960	1	1
112	(26042,1)	0	1	5	537	895	0	1
113	(26912,1)	0	1	5	2500	4000	1	1
114	(26925,5)	0	1	3	240	300	0	1
115	(26924,5)	0	1	3	240	300	0	1
116	(27468,1)	0	1	3	500	800	1	1
117	(25658,1)	0	1	3	200	1000	0	1
118	(26911,1)	0	1	3	1000	5000	1	1
