Index	ItemCode	ItemCode1	Type	Cnt	Price	Usually	IsBroadcast	CanSysRMB
交易索引	物品编码	物品编码(客户端用预览1为显示，0为不显示)	1:普通物品，2：命魂，3：天赋卡	数量	神石	原价	是否广播	是否可以是系统神石
1	(26906,1)	0	1	3	80	160	1	0
2	(26907,1)	0	1	5	70	160	1	1
3	(25831,1)	0	1	20	1	8	0	1
4	(26446,1)	0	1	10	1	16	0	1
5	(26033,1)	0	1	10	10	25	0	1
6	(26119,1)	0	1	10	15	25	0	1
7	(26909,1)	0	1	10	20	80	0	1
8	(26920,1)	0	1	5	250	1000	1	1
9	(25970,1)	0	1	20	2	8	0	1
10	(26910,1)	0	1	10	250	400	0	1
11	(25767,1)	0	1	3	250	400	0	1
12	(25772,1)	0	1	3	250	400	0	1
13	(25915,1)	0	1	3	320	400	0	1
14	(26918,1)	0	1	5	500	1000	1	1
15	(25778,1)	0	1	3	300	800	0	1
16	(25780,1)	0	1	3	400	800	1	1
17	(25774,1)	0	1	3	400	800	1	1
18	(25777,1)	0	1	3	300	800	0	1
19	(25922,1)	0	1	3	640	800	1	1
20	(26913,1)	0	1	10	30	100	0	1
21	(26911,1)	0	1	5	300	1050	1	1
22	(26915,1)	0	1	10	40	110	0	1
23	(26914,1)	0	1	5	350	1100	1	1
24	(25758,1)	0	1	3	120	200	0	1
25	(25763,1)	0	1	3	120	200	0	1
26	(25909,1)	0	1	3	160	220	0	1
27	(26917,1)	0	1	10	50	1150	0	1
28	(26916,1)	0	1	5	500	1000	1	1
29	(26450,1)	0	1	10	15	20	0	1
30	(26032,1)	0	1	20	2	12	0	1
31	(26266,1)	0	1	20	5	12	0	1
32	(26919,1)	0	1	10	20	67	0	1
33	(26912,1)	0	1	5	300	500	1	1
34	(26043,1)	0	1	20	2	8	0	1
35	(26447,1)	0	1	5	20	30	0	1
36	(26908,1)	0	1	10	30	80	0	1
37	(26971,1)	0	1	3	4000	5000	1	1
38	(27071,1)	0	1	5	550	1000	0	1
39	(27072,1)	0	1	5	60	1200	0	1
40	(27468,1)	0	1	3	200	300	0	1
41	(26446,1)	0	1	10	10	20	0	1
42	(26447,1)	0	1	5	20	30	0	1
43	(25970,1)	0	1	10	4	8	0	1
44	(25831,1)	0	1	10	4	8	0	1
45	(26043,1)	0	1	10	4	8	0	1
46	(27469,1)	0	1	3	100	160	0	1
47	(37010,1)	0	1	1	688	1000	1	1
48	(27470,1)	0	1	1	300	500	1	1
49	(27709,1)	0	1	3	400	500	1	1
50	(25757,1)	0	1	3	144	240	1	1
51	(25766,1)	0	1	3	288	480	1	1
52	(27566,1)	0	1	5	40	50	0	1
53	(27835,1)	0	1	5	72	88	0	1
54	(27894,1)	0	1	1	600	792	1	1
55	(37011,1)	0	1	1	688	1000	1	1
56	(27903,1)	0	1	3	500	800	1	0
57	(27928,1)	0	1	10	24	160	0	1
58	(27929,1)	0	1	5	625	1250	1	1
59	(27903,1)	0	1	3	500	800	1	0
60	(28079,1)	0	1	5	88	200	0	1
61	(26908,1)	0	1	3	20	100	0	1
62	(26919,1)	0	1	5	24	80	0	1
63	(25661,40)	0	1	3	6	20	0	1
64	(25666,40)	0	1	3	8	20	0	1
65	(25671,20)	0	1	3	10	20	0	1
66	(25656,1)	0	1	3	50	250	0	1
67	(25656,5)	0	1	3	200	1250	1	1
68	(25657,1)	0	1	3	50	250	0	1
69	(26920,1)	0	1	3	250	1250	1	1
70	(26910,1)	0	1	5	288	500	1	1
71	(26344,10)	0	1	3	50	100	0	1
72	(26342,10)	0	1	3	80	100	0	1
73	(26343,10)	0	1	3	88	100	0	1
74	(26450,1)	0	1	10	12	20	0	1
75	(26032,1)	0	1	12	2	15	0	1
76	(26033,1)	0	1	10	12	30	0	1
77	(25758,1)	0	1	3	144	240	0	1
78	(25767,1)	0	1	3	288	480	1	1
79	(25774,1)	0	1	3	480	960	1	1
80	(25777,1)	0	1	3	380	960	1	1
81	(25778,1)	0	1	3	380	960	1	1
82	(26042,1)	0	1	5	120	200	0	1
83	(26912,1)	0	1	5	500	900	1	1
84	(26925,5)	0	1	3	100	125	0	1
85	(26924,5)	0	1	3	100	125	0	1
86	(27468,1)	0	1	3	200	300	1	1
87	(25658,1)	0	1	3	50	250	0	1
88	(26911,1)	0	1	3	250	1250	1	1
89	(26228,1)	0	1	3	192	240	1	1
90	(26229,1)	0	1	3	384	480	1	1
91	(26230,1)	0	1	3	768	960	1	1
92	(26971,1)	0	1	3	3888	5888	1	1
93	(27903,1)	0	1	3	500	800	1	0
94	(28079,1)	0	1	5	88	200	0	1
95	(26908,1)	0	1	3	20	100	0	1
96	(26909,1)	0	1	5	24	100	0	1
97	(25662,50)	0	1	3	8	25	0	1
98	(25667,50)	0	1	3	10	25	0	1
99	(25672,25)	0	1	3	12	25	0	1
100	(26910,1)	0	1	5	288	500	1	1
101	(26344,10)	0	1	3	50	100	0	1
102	(26342,10)	0	1	3	80	100	0	1
103	(26343,10)	0	1	3	88	100	0	1
104	(26450,1)	0	1	10	12	20	0	1
105	(26032,1)	0	1	20	2	15	0	1
106	(26033,1)	0	1	10	12	30	0	1
107	(25758,1)	0	1	3	144	240	1	1
108	(25767,1)	0	1	3	288	480	1	1
109	(25774,1)	0	1	3	480	960	1	1
110	(25777,1)	0	1	3	380	960	1	1
111	(25778,1)	0	1	3	380	960	1	1
112	(26042,1)	0	1	5	120	200	0	1
113	(26912,1)	0	1	5	500	900	1	1
114	(26925,5)	0	1	3	100	125	0	1
115	(26924,5)	0	1	3	100	125	0	1
116	(27468,1)	0	1	3	200	300	1	1
117	(25658,1)	0	1	3	50	250	0	1
118	(26911,1)	0	1	3	250	1250	1	1
119	(26228,1)	0	1	3	192	240	0	1
120	(26229,1)	0	1	3	384	480	1	1
121	(26230,1)	0	1	3	768	960	1	1
122	(26971,1)	0	1	3	3888	5888	1	1
123	(25659,1)	0	1	3	50	250	0	1
124	(26914,1)	0	1	3	250	1250	1	1
125	(26933,5)	0	1	3	70	100	0	1
126	(26934,5)	0	1	3	80	100	0	1
127	(27469,1)	0	1	3	128	200	0	1
128	(25970,1)	0	1	10	2	10	0	1
129	(25831,1)	0	1	10	2	10	0	1
130	(26043,1)	0	1	10	2	10	0	1
131	(25970,1)	0	1	10	5	10	0	1
132	(25831,1)	0	1	10	5	10	0	1
133	(26043,1)	0	1	10	5	10	0	1
134	(26446,1)	0	1	5	2	20	0	1
135	(26447,1)	0	1	5	10	40	0	1
136	(26446,1)	0	1	10	8	20	0	1
137	(26447,1)	0	1	5	15	40	0	1
