kfDays	wave	bossCampId	monsterCampId	bossHP	monsterHP
开服天数	波数	boss阵营ID	monster阵营ID	boss血量	monster血量
(0,30)	1	5	6	3000000	1500000
(0,30)	2	5	6	3060000	1530000
(0,30)	3	5	6	3180000	1590000
(0,30)	4	5	6	3300000	1650000
(0,30)	5	5	6	3420000	1710000
(0,30)	6	5	6	3540000	1770000
(0,30)	7	5	6	3660000	1830000
(0,30)	8	5	6	3780000	1890000
(0,30)	9	5	6	3900000	1950000
(0,30)	10	5	6	4020000	2010000
(0,30)	11	5	6	4140000	2070000
(0,30)	12	5	6	4260000	2130000
(0,30)	13	5	6	4380000	2190000
(0,30)	14	5	6	4500000	2250000
(0,30)	15	5	6	4620000	2310000
(0,30)	16	5	6	4740000	2370000
(0,30)	17	5	6	4860000	2430000
(0,30)	18	5	6	4980000	2490000
(0,30)	19	5	6	5100000	2550000
(0,30)	20	5	6	5220000	2610000
(0,30)	21	5	6	5340000	2670000
(0,30)	22	5	6	5460000	2730000
(0,30)	23	5	6	5580000	2790000
(0,30)	24	5	6	5700000	2850000
(0,30)	25	5	6	5820000	2910000
(0,30)	26	5	6	5940000	2970000
(0,30)	27	5	6	6060000	3030000
(0,30)	28	5	6	6180000	3090000
(0,30)	29	5	6	6300000	3150000
(0,30)	30	5	6	6420000	3210000
(0,30)	31	5	6	6540000	3270000
(0,30)	32	5	6	6660000	3330000
(0,30)	33	5	6	6780000	3390000
(0,30)	34	5	6	6900000	3450000
(0,30)	35	5	6	7020000	3510000
(0,30)	36	5	6	7140000	3570000
(0,30)	37	5	6	7260000	3630000
(0,30)	38	5	6	7380000	3690000
(0,30)	39	5	6	7500000	3750000
(0,30)	40	5	6	7620000	3810000
(0,30)	41	5	6	7740000	3870000
(0,30)	42	5	6	7860000	3930000
(0,30)	43	5	6	7980000	3990000
(0,30)	44	5	6	8100000	4050000
(0,30)	45	5	6	8220000	4110000
(0,30)	46	5	6	8340000	4170000
(0,30)	47	5	6	8460000	4230000
(0,30)	48	5	6	8580000	4290000
(0,30)	49	5	6	8700000	4350000
(0,30)	50	5	6	8820000	4410000
(0,30)	51	5	6	8940000	4470000
(0,30)	52	5	6	9060000	4530000
(0,30)	53	5	6	9180000	4590000
(0,30)	54	5	6	9300000	4650000
(0,30)	55	5	6	9420000	4710000
(0,30)	56	5	6	9540000	4770000
(0,30)	57	5	6	9660000	4830000
(0,30)	58	5	6	9780000	4890000
(0,30)	59	5	6	9900000	4950000
(0,30)	60	5	6	10020000	5010000
(0,30)	61	5	6	10140000	5070000
(0,30)	62	5	6	10260000	5130000
(0,30)	63	5	6	10380000	5190000
(0,30)	64	5	6	10500000	5250000
(0,30)	65	5	6	10620000	5310000
(0,30)	66	5	6	10740000	5370000
(0,30)	67	5	6	10860000	5430000
(0,30)	68	5	6	10980000	5490000
(0,30)	69	5	6	11100000	5550000
(0,30)	70	5	6	11220000	5610000
(0,30)	71	5	6	11340000	5670000
(0,30)	72	5	6	11460000	5730000
(0,30)	73	5	6	11580000	5790000
(0,30)	74	5	6	11700000	5850000
(0,30)	75	5	6	11820000	5910000
(0,30)	76	5	6	11940000	5970000
(0,30)	77	5	6	12060000	6030000
(0,30)	78	5	6	12180000	6090000
(0,30)	79	5	6	12300000	6150000
(0,30)	80	5	6	12420000	6210000
(0,30)	81	5	6	12540000	6270000
(0,30)	82	5	6	12660000	6330000
(0,30)	83	5	6	12780000	6390000
(0,30)	84	5	6	12900000	6450000
(0,30)	85	5	6	13020000	6510000
(0,30)	86	5	6	13140000	6570000
(0,30)	87	5	6	13260000	6630000
(0,30)	88	5	6	13380000	6690000
(0,30)	89	5	6	13500000	6750000
(0,30)	90	5	6	13620000	6810000
(0,30)	91	5	6	13740000	6870000
(0,30)	92	5	6	13860000	6930000
(0,30)	93	5	6	13980000	6990000
(0,30)	94	5	6	14100000	7050000
(0,30)	95	5	6	14220000	7110000
(0,30)	96	5	6	14340000	7170000
(0,30)	97	5	6	14460000	7230000
(0,30)	98	5	6	14580000	7290000
(0,30)	99	5	6	14700000	7350000
(0,30)	100	5	6	14820000	7410000
(0,30)	101	5	6	14940000	7470000
(0,30)	102	5	6	15060000	7530000
(0,30)	103	5	6	15180000	7590000
(0,30)	104	5	6	15300000	7650000
(0,30)	105	5	6	15420000	7710000
(0,30)	106	5	6	15540000	7770000
(0,30)	107	5	6	15660000	7830000
(0,30)	108	5	6	15780000	7890000
(0,30)	109	5	6	15900000	7950000
(0,30)	110	5	6	16020000	8010000
(0,30)	111	5	6	16140000	8070000
(0,30)	112	5	6	16260000	8130000
(0,30)	113	5	6	16380000	8190000
(0,30)	114	5	6	16500000	8250000
(0,30)	115	5	6	16620000	8310000
(0,30)	116	5	6	16740000	8370000
(0,30)	117	5	6	16860000	8430000
(0,30)	118	5	6	16980000	8490000
(0,30)	119	5	6	17100000	8550000
(0,30)	120	5	6	17220000	8610000
(0,30)	121	5	6	17340000	8670000
(0,30)	122	5	6	17460000	8730000
(0,30)	123	5	6	17580000	8790000
(0,30)	124	5	6	17700000	8850000
(0,30)	125	5	6	17820000	8910000
(0,30)	126	5	6	17940000	8970000
(0,30)	127	5	6	18060000	9030000
(0,30)	128	5	6	18180000	9090000
(0,30)	129	5	6	18300000	9150000
(0,30)	130	5	6	18420000	9210000
(0,30)	131	5	6	18540000	9270000
(0,30)	132	5	6	18660000	9330000
(0,30)	133	5	6	18780000	9390000
(0,30)	134	5	6	18900000	9450000
(0,30)	135	5	6	19020000	9510000
(0,30)	136	5	6	19140000	9570000
(0,30)	137	5	6	19260000	9630000
(0,30)	138	5	6	19380000	9690000
(0,30)	139	5	6	19500000	9750000
(0,30)	140	5	6	19620000	9810000
(0,30)	141	5	6	19740000	9870000
(0,30)	142	5	6	19860000	9930000
(0,30)	143	5	6	19980000	9990000
(0,30)	144	5	6	20100000	10050000
(0,30)	145	5	6	20220000	10110000
(0,30)	146	5	6	20340000	10170000
(0,30)	147	5	6	20460000	10230000
(0,30)	148	5	6	20580000	10290000
(0,30)	149	5	6	20700000	10350000
(0,30)	150	5	6	20820000	10410000
(0,30)	151	5	6	20940000	10470000
(0,30)	152	5	6	21060000	10530000
(0,30)	153	5	6	21180000	10590000
(0,30)	154	5	6	21300000	10650000
(0,30)	155	5	6	21420000	10710000
(0,30)	156	5	6	21540000	10770000
(0,30)	157	5	6	21660000	10830000
(0,30)	158	5	6	21780000	10890000
(0,30)	159	5	6	21900000	10950000
(0,30)	160	5	6	22020000	11010000
(0,30)	161	5	6	22140000	11070000
(0,30)	162	5	6	22260000	11130000
(0,30)	163	5	6	22380000	11190000
(0,30)	164	5	6	22500000	11250000
(0,30)	165	5	6	22620000	11310000
(0,30)	166	5	6	22740000	11370000
(0,30)	167	5	6	22860000	11430000
(0,30)	168	5	6	22980000	11490000
(0,30)	169	5	6	23100000	11550000
(0,30)	170	5	6	23220000	11610000
(0,30)	171	5	6	23340000	11670000
