killCnt	minLevel	maxLevel	rewardMoney	rewardExp	rewardMoney_fcm	rewardExp_fcm
击杀个数	最小等级	最大等级	金币	经验	金币防沉迷	经验防沉迷
1	30	39	68800	49200	34400	24600
2	30	39	70000	50000	35000	25000
3	30	39	71200	50800	35600	25400
4	30	39	72400	51600	36200	25800
5	30	39	73600	52400	36800	26200
6	30	39	74800	53200	37400	26600
7	30	39	76000	54000	38000	27000
8	30	39	77200	54800	38600	27400
9	30	39	78400	55600	39200	27800
10	30	39	79600	56400	39800	28200
11	30	39	80800	57200	40400	28600
12	30	39	82000	58000	41000	29000
13	30	39	83200	58800	41600	29400
14	30	39	84400	59600	42200	29800
15	30	39	85600	60400	42800	30200
16	30	39	86800	61200	43400	30600
17	30	39	88000	62000	44000	31000
18	30	39	89200	62800	44600	31400
19	30	39	90400	63600	45200	31800
20	30	39	91600	64400	45800	32200
21	30	39	92800	65200	46400	32600
22	30	39	94000	66000	47000	33000
23	30	39	95200	66800	47600	33400
24	30	39	96400	67600	48200	33800
25	30	39	97600	68400	48800	34200
26	30	39	98800	69200	49400	34600
27	30	39	100000	70000	50000	35000
28	30	39	101200	70800	50600	35400
29	30	39	102400	71600	51200	35800
30	30	39	103600	72400	51800	36200
31	30	39	104800	73200	52400	36600
32	30	39	106000	74000	53000	37000
33	30	39	107200	74800	53600	37400
34	30	39	108400	75600	54200	37800
35	30	39	109600	76400	54800	38200
36	30	39	110800	77200	55400	38600
37	30	39	112000	78000	56000	39000
38	30	39	113200	78800	56600	39400
39	30	39	114400	79600	57200	39800
40	30	39	115600	80400	57800	40200
41	30	39	116800	81200	58400	40600
42	30	39	118000	82000	59000	41000
43	30	39	119200	82800	59600	41400
44	30	39	120400	83600	60200	41800
45	30	39	121600	84400	60800	42200
46	30	39	122800	85200	61400	42600
47	30	39	124000	86000	62000	43000
48	30	39	125200	86800	62600	43400
49	30	39	126400	87600	63200	43800
50	30	39	127600	88400	63800	44200
51	30	39	128800	90000	64400	45000
52	30	39	129100	90200	64550	45100
53	30	39	129400	90400	64700	45200
54	30	39	129700	90600	64850	45300
55	30	39	130000	90800	65000	45400
56	30	39	130300	91000	65150	45500
57	30	39	130600	91200	65300	45600
58	30	39	130900	91400	65450	45700
59	30	39	131200	91600	65600	45800
60	30	39	131500	91800	65750	45900
61	30	39	131800	92000	65900	46000
62	30	39	132100	92200	66050	46100
63	30	39	132400	92400	66200	46200
64	30	39	132700	92600	66350	46300
65	30	39	133000	92800	66500	46400
66	30	39	133300	93000	66650	46500
67	30	39	133600	93200	66800	46600
68	30	39	133900	93400	66950	46700
69	30	39	134200	93600	67100	46800
70	30	39	134500	93800	67250	46900
71	30	39	134800	94000	67400	47000
72	30	39	135100	94200	67550	47100
73	30	39	135400	94400	67700	47200
74	30	39	135700	94600	67850	47300
75	30	39	136000	94800	68000	47400
76	30	39	136300	95000	68150	47500
77	30	39	136600	95200	68300	47600
78	30	39	136900	95400	68450	47700
79	30	39	137200	95600	68600	47800
80	30	39	137500	95800	68750	47900
81	30	39	137800	96000	68900	48000
82	30	39	138100	96200	69050	48100
83	30	39	138400	96400	69200	48200
84	30	39	138700	96600	69350	48300
85	30	39	139000	96800	69500	48400
86	30	39	139300	97000	69650	48500
87	30	39	139600	97200	69800	48600
88	30	39	139900	97400	69950	48700
89	30	39	140200	97600	70100	48800
90	30	39	140500	97800	70250	48900
91	30	39	140800	98000	70400	49000
92	30	39	141100	98200	70550	49100
93	30	39	141400	98400	70700	49200
94	30	39	141700	98600	70850	49300
95	30	39	142000	98800	71000	49400
96	30	39	142300	99000	71150	49500
97	30	39	142600	99200	71300	49600
98	30	39	142900	99400	71450	49700
99	30	39	143200	99600	71600	49800
100	30	39	143500	99800	71750	49900
101	30	39	143800	100000	71900	50000
102	30	39	144100	100200	72050	50100
103	30	39	144400	100400	72200	50200
104	30	39	144700	100600	72350	50300
105	30	39	145000	100800	72500	50400
106	30	39	145300	101000	72650	50500
107	30	39	145600	101200	72800	50600
108	30	39	145900	101400	72950	50700
109	30	39	146200	101600	73100	50800
110	30	39	146500	101800	73250	50900
111	30	39	146800	102000	73400	51000
112	30	39	147100	102200	73550	51100
113	30	39	147400	102400	73700	51200
114	30	39	147700	102600	73850	51300
115	30	39	148000	102800	74000	51400
116	30	39	148300	103000	74150	51500
