dayIndex	rewardIndex	needDayBuyRMB	rewardItems
天数索引	奖励索引	领奖需要充值神石数量	奖励道具
1	1	0	[(28942,1),(27516,1),(26450,1)]
1	2	200	[(27850,1),(27517,1),(26031,2)]
1	3	800	[(28483,1),(27519,1),(28970,1)]
2	1	0	[(28942,1),(27516,1),(26450,1)]
2	2	200	[(27850,1),(27566,1),(26031,2)]
2	3	800	[(28483,1),(27566,5),(28970,1)]
3	1	0	[(28942,1),(27516,1),(26450,1)]
3	2	200	[(27850,1),(26925,2),(26031,2)]
3	3	800	[(28483,1),(27622,1),(28970,1)]
4	1	0	[(28942,1),(27516,1),(26450,1)]
4	2	200	[(27850,1),(26924,2),(26031,2)]
4	3	800	[(28483,1),(26676,1),(28970,1)]
5	1	0	[(28942,1),(27516,1),(26450,1)]
5	2	200	[(27850,1),(26267,1),(26031,2)]
5	3	800	[(28483,1),(27709,1),(28970,1)]
6	1	0	[(28942,1),(27516,1),(26450,1)]
6	2	200	[(27850,1),(25837,5),(26031,2)]
6	3	800	[(28483,1),(26298,5),(28970,1)]
7	1	0	[(28942,1),(27516,1),(26450,1)]
7	2	200	[(27850,1),(26144,5),(26031,2)]
7	3	800	[(28483,1),(28031,1),(28970,1)]
