roundIndex	roundType	nextRoundIndex	beginTime	endTime	goodsPool	hongBaoPool
轮次ID	回合类型(1=抢红包,2=狂购,0=中场休息)	下轮次ID(没有下轮填0)	开始时间	结束时间	售卖商品ID	红包池
1	0	2	(2015,11,6,0,0,0)	(2015,11,6,9,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
2	1	3	(2015,11,6,9,0,0)	(2015,11,6,9,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
3	2	4	(2015,11,6,9,30,0)	(2015,11,6,11,30,0)	[1,2,5,8,11,16,23,25,28,30,33,41]	
4	0	5	(2015,11,6,11,30,0)	(2015,11,6,12,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
5	1	6	(2015,11,6,12,0,0)	(2015,11,6,12,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
6	2	7	(2015,11,6,12,30,0)	(2015,11,6,14,30,0)	[1,3,6,9,12,14,17,19,22,24,26,31]	
7	0	8	(2015,11,6,14,30,0)	(2015,11,6,15,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
8	1	9	(2015,11,6,15,0,0)	(2015,11,6,15,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
9	2	10	(2015,11,6,15,30,0)	(2015,11,6,17,30,0)	[2,4,7,8,10,15,18,20,27,29,32,35]	
10	0	11	(2015,11,6,17,30,0)	(2015,11,6,18,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
