index	needRechargeRMB	rewardItems
索引	需要充值神石	奖励道具
1	1000	[(28035,3),(26934,5),(26677,5),(28833,5),(28941,1)]
2	2000	[(28889,3),(26934,5),(26677,5),(28833,5),(28941,1)]
3	3000	[(28035,3),(26934,5),(26677,5),(28833,5),(28941,1)]
4	4000	[(28889,3),(26934,5),(26677,5),(28833,5),(28941,1)]
5	5000	[(28035,3),(26934,5),(26677,5),(28833,5),(28941,1)]
6	6000	[(28889,3),(26934,5),(26677,5),(28833,5),(28941,1)]
7	8000	[(28030,3),(26934,10),(26677,10),(28833,10),(28941,2)]
8	10000	[(28890,3),(26934,10),(26677,10),(28833,10),(28941,2)]
9	12000	[(28030,3),(26934,10),(26677,10),(28833,10),(28941,2)]
10	14000	[(28890,3),(26934,10),(26677,10),(28833,10),(28941,2)]
11	16000	[(28030,3),(26934,10),(26677,10),(28833,10),(28941,2)]
12	18000	[(28890,3),(26934,10),(26677,10),(28833,10),(28941,2)]
13	20000	[(28030,3),(26934,10),(26677,10),(28833,10),(28941,2)]
14	25000	[(28031,3),(26934,15),(26677,15),(28280,5),(28833,25),(28941,5)]
15	30000	[(28891,3),(26934,15),(26677,15),(28280,5),(28833,25),(28941,5)]
16	40000	[(28892,3),(26934,30),(26677,30),(28280,10),(28833,50),(28941,10)]
17	50000	[(28032,3),(26934,30),(26677,30),(28280,10),(28833,50),(28941,10)]
18	60000	[(28892,3),(26934,30),(26677,30),(28280,10),(28833,50),(28941,10)]
19	80000	[(28042,3),(26934,60),(26677,60),(28280,60),(28833,100),(28941,20)]
20	100000	[(26438,1),(28893,3),(26934,60),(26677,60),(28280,60),(26341,500),(28833,100),(28941,20)]
21	150000	[(28043,3),(26934,100),(26677,100),(28280,100),(26341,1000),(28833,250),(28941,50)]
22	200000	[(28254,1),(28954,3),(26934,100),(26677,100),(28280,100),(26341,1000),(28833,250),(28941,50)]
23	250000	[(28043,3),(26934,100),(26677,100),(28280,100),(26341,1000),(28833,250),(28941,50)]
24	300000	[(28969,1),(28954,3),(26934,100),(26677,100),(28280,100),(26341,1000),(28833,250),(28941,50)]
25	350000	[(28043,3),(26934,100),(26677,100),(28280,100),(26341,1000),(28833,250),(28941,50)]
26	400000	[(28254,1),(28954,3),(26934,100),(26677,100),(28280,100),(26341,1000),(28833,250),(28941,50)]
27	450000	[(28043,3),(26934,100),(26677,100),(28280,100),(26341,1000),(28833,250),(28941,50)]
28	500000	[(26439,1),(28954,3),(26934,100),(26677,100),(28280,100),(26341,1000),(28833,250),(28941,50)]
