worldLevel	wave	startDate	endDate	itemData	specialItemPreview
世界等级区间	波数	秒杀开始时间	秒杀结束时间	道具信息	特殊奖励预览
1	1	(2015,8,29,10,30,0)	(2015,8,29,13,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
1	2	(2015,8,29,13,30,0)	(2015,8,29,16,30,0)	(1,4,6,8)	(1,2,3,5,6,7)
1	3	(2015,8,29,16,30,0)	(2015,8,29,18,30,0)	(2,4,9,7)	(1,2,3,5,6,7)
1	4	(2015,8,29,18,30,0)	(2015,8,29,19,00,0)	(1,3,6,7)	(1,2,3,5,6,7)
1	5	(2015,8,29,19,00,0)	(2015,8,29,19,30,0)	(1,3,6,7)	(1,2,3,5,6,7)
1	6	(2015,8,29,19,30,0)	(2015,8,29,19,50,0)	(2,4,9,8)	(1,2,3,5,6,7)
1	7	(2015,8,29,19,50,0)	(2015,8,29,20,30,0)	(1,3,5,7)	(1,2,3,5,6,7)
1	8	(2015,8,29,20,30,0)	(2015,8,29,21,00,0)	(1,3,9,8)	(1,2,3,5,6,7)
1	9	(2015,8,29,21,00,0)	(2015,8,29,22,00,0)	(2,3,5,8)	(1,2,3,5,6,7)
1	10	(2015,8,29,22,00,0)	(2015,8,29,22,30,0)	(2,3,5,7)	(1,2,3,5,6,7)
1	11	(2015,8,29,22,30,0)	(2015,8,29,23,30,0)	(1,4,6,7)	(1,2,3,5,6,7)
1	12	(2015,8,30,10,30,0)	(2015,8,30,13,30,0)	(1,4,5,8)	(1,2,3,5,6,7)
1	13	(2015,8,30,13,30,0)	(2015,8,30,16,30,0)	(1,3,9,8)	(1,2,3,5,6,7)
1	14	(2015,8,30,16,30,0)	(2015,8,30,18,30,0)	(2,4,9,8)	(1,2,3,5,6,7)
1	15	(2015,8,30,18,30,0)	(2015,8,30,19,00,0)	(2,3,9,8)	(1,2,3,5,6,7)
1	16	(2015,8,30,19,00,0)	(2015,8,30,19,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
1	17	(2015,8,30,19,30,0)	(2015,8,30,19,50,0)	(1,3,5,7)	(1,2,3,5,6,7)
1	18	(2015,8,30,19,50,0)	(2015,8,30,20,30,0)	(2,3,5,8)	(1,2,3,5,6,7)
1	19	(2015,8,30,20,30,0)	(2015,8,30,21,00,0)	(1,4,5,7)	(1,2,3,5,6,7)
1	20	(2015,8,30,21,00,0)	(2015,8,30,22,00,0)	(1,4,9,8)	(1,2,3,5,6,7)
1	21	(2015,8,30,22,00,0)	(2015,8,30,22,30,0)	(2,3,9,7)	(1,2,3,5,6,7)
1	22	(2015,8,30,22,30,0)	(2015,8,30,23,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
1	23	(2015,8,31,10,30,0)	(2015,8,31,13,30,0)	(1,4,9,7)	(1,2,3,5,6,7)
1	24	(2015,8,31,13,30,0)	(2015,8,31,16,30,0)	(1,4,5,8)	(1,2,3,5,6,7)
1	25	(2015,8,31,16,30,0)	(2015,8,31,18,30,0)	(1,4,5,8)	(1,2,3,5,6,7)
1	26	(2015,8,31,18,30,0)	(2015,8,31,19,00,0)	(1,4,9,7)	(1,2,3,5,6,7)
1	27	(2015,8,31,19,00,0)	(2015,8,31,19,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
1	28	(2015,8,31,19,30,0)	(2015,8,31,19,50,0)	(2,4,5,8)	(1,2,3,5,6,7)
1	29	(2015,8,31,19,50,0)	(2015,8,31,20,30,0)	(1,4,9,8)	(1,2,3,5,6,7)
1	30	(2015,8,31,20,30,0)	(2015,8,31,21,00,0)	(2,3,5,7)	(1,2,3,5,6,7)
1	31	(2015,8,31,21,00,0)	(2015,8,31,22,00,0)	(2,3,5,7)	(1,2,3,5,6,7)
1	32	(2015,8,31,22,00,0)	(2015,8,31,22,30,0)	(1,3,6,7)	(1,2,3,5,6,7)
1	33	(2015,8,31,22,30,0)	(2015,8,31,23,30,0)	(2,4,6,7)	(1,2,3,5,6,7)
1	34	(2015,9,1,10,30,0)	(2015,9,1,11,30,0)	(1,3,9,7)	(1,2,3,5,6,7)
1	35	(2015,9,1,11,30,0)	(2015,9,1,12,30,0)	(1,3,5,7)	(1,2,3,5,6,7)
1	36	(2015,9,1,12,30,0)	(2015,9,1,13,30,0)	(2,4,5,8)	(1,2,3,5,6,7)
1	37	(2015,9,1,13,30,0)	(2015,9,1,14,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
1	38	(2015,9,1,14,30,0)	(2015,9,1,15,30,0)	(2,4,5,7)	(1,2,3,5,6,7)
1	39	(2015,9,1,15,30,0)	(2015,9,1,16,30,0)	(2,3,5,7)	(1,2,3,5,6,7)
1	40	(2015,9,1,16,30,0)	(2015,9,1,17,30,0)	(1,3,6,7)	(1,2,3,5,6,7)
1	41	(2015,9,1,17,30,0)	(2015,9,1,18,00,0)	(2,4,5,7)	(1,2,3,5,6,7)
1	42	(2015,9,1,18,00,0)	(2015,9,1,18,30,0)	(1,4,5,7)	(1,2,3,5,6,7)
1	43	(2015,9,1,18,30,0)	(2015,9,1,19,00,0)	(1,3,6,7)	(1,2,3,5,6,7)
1	44	(2015,9,1,19,00,0)	(2015,9,1,19,30,0)	(1,4,5,7)	(1,2,3,5,6,7)
1	45	(2015,9,1,19,30,0)	(2015,9,1,19,50,0)	(1,4,5,8)	(1,2,3,5,6,7)
1	46	(2015,9,1,19,50,0)	(2015,9,1,20,30,0)	(2,4,5,8)	(1,2,3,5,6,7)
1	47	(2015,9,1,20,30,0)	(2015,9,1,21,00,0)	(1,3,5,7)	(1,2,3,5,6,7)
1	48	(2015,9,1,21,00,0)	(2015,9,1,22,00,0)	(1,3,9,8)	(1,2,3,5,6,7)
1	49	(2015,9,1,22,00,0)	(2015,9,1,22,30,0)	(2,4,5,7)	(1,2,3,5,6,7)
1	50	(2015,9,1,22,30,0)	(2015,9,1,23,30,0)	(1,4,9,7)	(1,2,3,5,6,7)
1	51	(2015,9,2,10,30,0)	(2015,9,2,11,30,0)	(1,3,6,7)	(1,2,3,5,6,7)
1	52	(2015,9,2,11,30,0)	(2015,9,2,12,30,0)	(2,4,5,7)	(1,2,3,5,6,7)
1	53	(2015,9,2,12,30,0)	(2015,9,2,13,30,0)	(2,3,9,7)	(1,2,3,5,6,7)
1	54	(2015,9,2,13,30,0)	(2015,9,2,14,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
1	55	(2015,9,2,14,30,0)	(2015,9,2,15,30,0)	(2,4,5,7)	(1,2,3,5,6,7)
1	56	(2015,9,2,15,30,0)	(2015,9,2,16,30,0)	(2,4,6,7)	(1,2,3,5,6,7)
1	57	(2015,9,2,16,30,0)	(2015,9,2,17,30,0)	(2,4,6,8)	(1,2,3,5,6,7)
1	58	(2015,9,2,17,30,0)	(2015,9,2,18,00,0)	(2,4,9,8)	(1,2,3,5,6,7)
1	59	(2015,9,2,18,00,0)	(2015,9,2,18,30,0)	(2,3,9,7)	(1,2,3,5,6,7)
1	60	(2015,9,2,18,30,0)	(2015,9,2,19,00,0)	(2,4,5,8)	(1,2,3,5,6,7)
1	61	(2015,9,2,19,00,0)	(2015,9,2,19,30,0)	(2,3,6,7)	(1,2,3,5,6,7)
1	62	(2015,9,2,19,30,0)	(2015,9,2,19,50,0)	(2,4,5,8)	(1,2,3,5,6,7)
1	63	(2015,9,2,19,50,0)	(2015,9,2,20,30,0)	(1,4,9,8)	(1,2,3,5,6,7)
1	64	(2015,9,2,20,30,0)	(2015,9,2,21,00,0)	(1,4,5,8)	(1,2,3,5,6,7)
1	65	(2015,9,2,21,00,0)	(2015,9,2,22,00,0)	(1,3,5,8)	(1,2,3,5,6,7)
1	66	(2015,9,2,22,00,0)	(2015,9,2,22,30,0)	(2,3,5,7)	(1,2,3,5,6,7)
1	67	(2015,9,2,22,30,0)	(2015,9,2,23,30,0)	(2,4,5,8)	(1,2,3,5,6,7)
1	68	(2015,9,3,10,30,0)	(2015,9,3,13,30,0)	(1,4,6,7)	(1,2,3,5,6,7)
1	69	(2015,9,3,13,30,0)	(2015,9,3,16,30,0)	(2,3,6,7)	(1,2,3,5,6,7)
1	70	(2015,9,3,16,30,0)	(2015,9,3,18,30,0)	(2,3,9,8)	(1,2,3,5,6,7)
1	71	(2015,9,3,18,30,0)	(2015,9,3,19,00,0)	(2,3,9,7)	(1,2,3,5,6,7)
1	72	(2015,9,3,19,00,0)	(2015,9,3,19,30,0)	(1,4,5,8)	(1,2,3,5,6,7)
1	73	(2015,9,3,19,30,0)	(2015,9,3,19,50,0)	(2,4,6,7)	(1,2,3,5,6,7)
1	74	(2015,9,3,19,50,0)	(2015,9,3,20,30,0)	(1,3,5,7)	(1,2,3,5,6,7)
1	75	(2015,9,3,20,30,0)	(2015,9,3,21,00,0)	(2,4,5,7)	(1,2,3,5,6,7)
1	76	(2015,9,3,21,00,0)	(2015,9,3,22,00,0)	(1,3,5,7)	(1,2,3,5,6,7)
1	77	(2015,9,3,22,00,0)	(2015,9,3,22,30,0)	(2,3,5,7)	(1,2,3,5,6,7)
1	78	(2015,9,3,22,30,0)	(2015,9,3,23,30,0)	(1,3,6,8)	(1,2,3,5,6,7)
1	79	(2015,9,4,10,30,0)	(2015,9,4,13,30,0)	(1,3,6,7)	(1,2,3,5,6,7)
1	80	(2015,9,4,13,30,0)	(2015,9,4,16,30,0)	(2,4,9,7)	(1,2,3,5,6,7)
1	81	(2015,9,4,16,30,0)	(2015,9,4,18,30,0)	(2,3,9,7)	(1,2,3,5,6,7)
1	82	(2015,9,4,18,30,0)	(2015,9,4,19,00,0)	(1,4,6,8)	(1,2,3,5,6,7)
1	83	(2015,9,4,19,00,0)	(2015,9,4,19,30,0)	(1,3,6,8)	(1,2,3,5,6,7)
1	84	(2015,9,4,19,30,0)	(2015,9,4,19,50,0)	(2,3,9,8)	(1,2,3,5,6,7)
1	85	(2015,9,4,19,50,0)	(2015,9,4,20,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
1	86	(2015,9,4,20,30,0)	(2015,9,4,21,00,0)	(2,4,9,8)	(1,2,3,5,6,7)
1	87	(2015,9,4,21,00,0)	(2015,9,4,22,00,0)	(2,4,6,8)	(1,2,3,5,6,7)
1	88	(2015,9,4,22,00,0)	(2015,9,4,22,30,0)	(2,4,9,8)	(1,2,3,5,6,7)
1	89	(2015,9,4,22,30,0)	(2015,9,4,23,30,0)	(1,4,9,8)	(1,2,3,5,6,7)
2	1	(2015,8,29,10,30,0)	(2015,8,29,13,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
2	2	(2015,8,29,13,30,0)	(2015,8,29,16,30,0)	(1,4,6,8)	(1,2,3,5,6,7)
2	3	(2015,8,29,16,30,0)	(2015,8,29,18,30,0)	(2,4,9,7)	(1,2,3,5,6,7)
2	4	(2015,8,29,18,30,0)	(2015,8,29,19,00,0)	(1,3,6,7)	(1,2,3,5,6,7)
2	5	(2015,8,29,19,00,0)	(2015,8,29,19,30,0)	(1,3,6,7)	(1,2,3,5,6,7)
2	6	(2015,8,29,19,30,0)	(2015,8,29,19,50,0)	(2,4,9,8)	(1,2,3,5,6,7)
2	7	(2015,8,29,19,50,0)	(2015,8,29,20,30,0)	(1,3,5,7)	(1,2,3,5,6,7)
2	8	(2015,8,29,20,30,0)	(2015,8,29,21,00,0)	(1,3,9,8)	(1,2,3,5,6,7)
2	9	(2015,8,29,21,00,0)	(2015,8,29,22,00,0)	(2,3,5,8)	(1,2,3,5,6,7)
2	10	(2015,8,29,22,00,0)	(2015,8,29,22,30,0)	(2,3,5,7)	(1,2,3,5,6,7)
