itemDataId	itemCoding	itemCnt	isLimitCnt	limitCnt	isLimitTime	limitTime	isNeedUnbindRMB_Q	originalPrice	currentPrice
物品信息ID	物品coding	物品数量	是否限制购买数量	限购数量	是否限制购买时间	限购时间(秒)	是否需要充值神石	原价	现价
1	27137	1	1	3	0	0	1	1888	1111
2	27138	1	1	3	0	0	1	200	100
3	27139	1	1	3	0	0	1	1111	488
4	26907	1	1	5	0	0	1	200	50
5	27141	1	1	5	0	0	0	1000	288
6	27142	1	1	5	0	0	0	1000	488
7	27143	1	1	5	0	0	1	400	240
8	27144	1	1	10	0	0	0	1000	288
9	27145	1	1	5	0	0	0	1000	588
10	27137	1	1	3	0	0	1	1888	1111
11	27138	1	1	3	0	0	1	200	100
12	27139	1	1	3	0	0	1	1111	488
13	26907	1	1	5	0	0	1	200	50
14	27141	1	1	5	0	0	0	1000	288
15	27142	1	1	5	0	0	0	1000	488
16	27143	1	1	5	0	0	1	400	240
17	27145	1	1	5	0	0	0	1000	588
18	27146	1	1	5	0	0	0	2000	999
19	26033	1	1	20	0	0	1	30	11
20	25774	1	1	3	0	0	0	960	472
21	25775	1	1	3	0	0	0	960	472
22	25776	1	1	3	0	0	0	960	472
23	25792	1	1	2	0	0	0	3840	2222
24	27147	1	1	10	0	0	0	1000	488
25	27137	1	1	3	0	0	1	1888	1111
26	27138	1	1	3	0	0	1	200	100
27	27139	1	1	3	0	0	1	1111	488
28	26907	1	1	5	0	0	1	200	50
29	27141	1	1	5	0	0	0	1000	288
30	27142	1	1	5	0	0	0	1000	488
31	27143	1	1	5	0	0	1	400	240
32	27145	1	1	5	0	0	0	1000	588
33	27146	1	1	5	0	0	0	2000	999
34	26033	1	1	20	0	0	1	30	11
35	25774	1	1	1	0	0	0	960	472
36	25782	1	1	1	0	0	0	960	472
37	25781	1	1	1	0	0	0	960	472
38	25793	1	1	1	0	0	0	3840	2222
39	27147	1	1	10	0	0	0	1000	488
40	27148	1	1	5	0	0	0	1000	588
41	27149	1	1	5	0	0	0	1000	588
42	37012	1	0	0	1	1200	1	1000	588
43	37013	1	0	0	1	1200	1	1000	588
44	37005	1	0	0	1	1200	1	488	298
45	37006	1	0	0	1	1200	1	488	298
46	37008	1	0	0	1	1200	1	388	258
47	27150	1	1	5	0	0	0	1000	588
48	26119	1	1	20	0	0	1	30	15
49	25933	1	1	1	0	0	0	960	736
50	25928	1	1	1	0	0	0	960	736
51	25924	1	1	1	0	0	0	960	736
52	25951	1	1	1	0	0	0	3840	2558
53	27151	1	1	3	0	0	0	1000	588
54	27152	1	1	3	0	0	0	1000	588
55	27137	1	1	3	0	0	1	1888	1111
56	27138	1	1	3	0	0	1	200	100
57	27139	1	1	3	0	0	1	1111	488
58	26907	1	1	5	0	0	1	200	50
59	27141	1	1	5	0	0	0	1000	288
60	27142	1	1	5	0	0	0	1000	488
61	27143	1	1	5	0	0	1	400	240
62	27145	1	1	5	0	0	0	1000	588
63	27146	1	1	5	0	0	0	2000	999
64	26033	1	1	20	0	0	1	30	11
65	25774	1	1	1	0	0	0	960	472
66	25782	1	1	1	0	0	0	960	472
67	25781	1	1	1	0	0	0	960	472
68	25793	1	1	1	0	0	0	3840	2222
69	27147	1	1	10	0	0	0	1000	488
70	27148	1	1	5	0	0	0	1000	588
71	27149	1	1	5	0	0	0	1000	588
72	37012	1	0	0	1	1200	1	1000	588
73	37013	1	0	0	1	1200	1	1000	588
74	37005	1	0	0	1	1200	1	488	298
75	37006	1	0	0	1	1200	1	488	298
76	37008	1	0	0	1	1200	1	388	258
77	27150	1	1	5	0	0	0	1000	588
78	26119	1	1	20	0	0	1	30	15
79	25932	1	1	1	0	0	0	960	736
80	25926	1	1	1	0	0	0	960	736
81	25923	1	1	1	0	0	0	960	736
82	25948	1	1	1	0	0	0	3840	2558
83	27151	1	1	3	0	0	0	1000	588
84	27152	1	1	3	0	0	0	1000	588
85	26676	1	1	3	0	0	0	388	258
