itemDataId	itemCoding	itemCnt	isLimitCnt	limitCnt	isLimitTime	limitTime	isNeedUnbindRMB_Q	originalPrice	currentPrice
物品信息ID	物品coding	物品数量	是否限制购买数量	限购数量	是否限制购买时间	限购时间(秒)	是否需要充值神石	原价	现价
1	27137	1	1	3	0	0	1	1888	944
2	27138	1	1	3	0	0	1	200	100
3	27139	1	1	3	0	0	1	1111	275
4	26907	1	1	5	0	0	1	200	50
5	27141	1	1	5	0	0	0	1000	299
6	27142	1	1	5	0	0	0	1000	499
7	27143	1	1	5	0	0	1	400	199
8	27144	1	1	10	0	0	0	200	99
9	27145	1	1	5	0	0	0	1000	499
10	27137	1	1	3	0	0	1	1888	944
11	27138	1	1	3	0	0	1	200	100
12	27139	1	1	3	0	0	1	1111	275
13	26907	1	1	5	0	0	1	200	50
14	27141	1	1	5	0	0	0	1000	299
15	27142	1	1	5	0	0	0	1000	499
16	27143	1	1	5	0	0	1	400	199
17	27145	1	1	5	0	0	0	1000	499
18	27146	1	1	5	0	0	0	1000	799
19	26033	1	1	20	0	0	1	20	10
20	25774	1	1	3	0	0	0	665	499
21	25775	1	1	3	0	0	0	665	499
22	25776	1	1	3	0	0	0	665	499
23	25792	1	1	2	0	0	0	2620	1965
24	27147	1	1	10	0	0	0	800	699
25	27137	1	1	3	0	0	1	1888	944
26	27138	1	1	3	0	0	1	200	100
27	27139	1	1	3	0	0	1	1111	275
28	26907	1	1	5	0	0	1	200	50
29	27141	1	1	5	0	0	0	1000	299
30	27142	1	1	5	0	0	0	1000	499
31	27143	1	1	5	0	0	1	400	199
32	27145	1	1	5	0	0	0	1000	499
33	27146	1	1	5	0	0	0	1000	799
34	26033	1	1	20	0	0	1	20	10
35	25774	1	1	1	0	0	0	665	499
36	25782	1	1	1	0	0	0	665	499
37	25781	1	1	1	0	0	0	665	499
38	25793	1	1	1	0	0	0	2620	1965
39	27147	1	1	10	0	0	0	800	699
40	27148	1	1	5	0	0	0	1000	799
41	27149	1	1	5	0	0	0	1000	799
42	37012	1	0	0	1	1200	1	799	599
43	37013	1	0	0	1	1200	1	799	599
44	37005	1	0	0	1	1200	1	325	279
45	37006	1	0	0	1	1200	1	325	279
46	37008	1	0	0	1	1200	1	260	219
47	27150	1	1	5	0	0	0	750	599
48	26119	1	1	20	0	0	1	30	15
49	25933	1	1	1	0	0	0	1000	750
50	25928	1	1	1	0	0	0	1000	750
51	25924	1	1	1	0	0	0	1000	750
52	25951	1	1	1	0	0	0	3920	2940
53	27151	1	1	3	0	0	0	500	399
54	27152	1	1	3	0	0	0	1000	799
55	27137	1	1	3	0	0	1	1888	944
56	27138	1	1	3	0	0	1	200	100
57	27139	1	1	3	0	0	1	1111	275
58	26907	1	1	5	0	0	1	200	50
59	27141	1	1	5	0	0	0	1000	299
60	27142	1	1	5	0	0	0	1000	499
61	27143	1	1	5	0	0	1	400	199
62	27145	1	1	5	0	0	0	1000	499
63	27146	1	1	5	0	0	0	1000	799
64	26033	1	1	20	0	0	1	20	10
65	25774	1	1	1	0	0	0	665	499
66	25782	1	1	1	0	0	0	665	499
67	25781	1	1	1	0	0	0	665	499
68	25793	1	1	1	0	0	0	2620	1965
69	27147	1	1	10	0	0	0	800	699
70	27148	1	1	5	0	0	0	1000	799
71	27149	1	1	5	0	0	0	1000	799
72	37012	1	0	0	1	1200	1	799	599
73	37013	1	0	0	1	1200	1	799	599
74	37005	1	0	0	1	1200	1	325	279
75	37006	1	0	0	1	1200	1	325	279
76	37008	1	0	0	1	1200	1	260	219
77	27150	1	1	5	0	0	0	750	599
78	26119	1	1	20	0	0	1	30	15
79	25932	1	1	1	0	0	0	1000	750
80	25926	1	1	1	0	0	0	1000	750
81	25923	1	1	1	0	0	0	1000	750
82	25948	1	1	1	0	0	0	3920	2940
83	27151	1	1	3	0	0	0	500	399
84	27152	1	1	3	0	0	0	1000	799
85	26676	1	1	3	0	0	0	250	199
