dayIndex	rangeId	levelRange	itemIndex	item	originalRMB	needRMB
天数索引	等级区段ID	等级区段	物品索引	商品（coding,cnt）	原价	现价
1	1	[30,39]	1	(27508,1)	120	18
1	2	[40,59]	1	(27509,1)	70	18
1	3	[60,79]	1	(27509,1)	70	18
1	4	[80,179]	1	(27509,1)	70	18
1	1	[30,39]	2	(27504,1)	3400	998
1	2	[40,59]	2	(27505,1)	1960	998
1	3	[60,79]	2	(27506,1)	1960	998
1	4	[80,179]	2	(27507,1)	2360	998
2	1	[30,39]	1	(27508,1)	120	18
2	2	[40,59]	1	(27509,1)	70	18
2	3	[60,79]	1	(27509,1)	70	18
2	4	[80,179]	1	(27509,1)	70	18
2	1	[30,39]	2	(27504,1)	3400	998
2	2	[40,59]	2	(27505,1)	1960	998
2	3	[60,79]	2	(27506,1)	1960	998
2	4	[80,179]	2	(27507,1)	2360	998
3	1	[30,39]	1	(27508,1)	120	18
3	2	[40,59]	1	(27509,1)	70	18
3	3	[60,79]	1	(27509,1)	70	18
3	4	[80,179]	1	(27509,1)	70	18
3	1	[30,39]	2	(27504,1)	3400	998
3	2	[40,59]	2	(27505,1)	1960	998
3	3	[60,79]	2	(27506,1)	1960	998
3	4	[80,179]	2	(27507,1)	2360	998
4	1	[30,39]	1	(27508,1)	120	18
4	2	[40,59]	1	(27509,1)	70	18
4	3	[60,79]	1	(27509,1)	70	18
4	4	[80,179]	1	(27509,1)	70	18
4	1	[30,39]	2	(27504,1)	3400	998
4	2	[40,59]	2	(27505,1)	1960	998
4	3	[60,79]	2	(27506,1)	1960	998
4	4	[80,179]	2	(27507,1)	2360	998
5	1	[30,39]	1	(27508,1)	120	18
5	2	[40,59]	1	(27509,1)	70	18
5	3	[60,79]	1	(27509,1)	70	18
5	4	[80,179]	1	(27509,1)	70	18
5	1	[30,39]	2	(27504,1)	3400	998
5	2	[40,59]	2	(27505,1)	1960	998
5	3	[60,79]	2	(27506,1)	1960	998
5	4	[80,179]	2	(27507,1)	2360	998
6	1	[30,39]	1	(27508,1)	120	18
6	2	[40,59]	1	(27509,1)	70	18
6	3	[60,79]	1	(27509,1)	70	18
6	4	[80,179]	1	(27509,1)	70	18
6	1	[30,39]	2	(27504,1)	3400	998
6	2	[40,59]	2	(27505,1)	1960	998
6	3	[60,79]	2	(27506,1)	1960	998
6	4	[80,179]	2	(27507,1)	2360	998
7	1	[30,39]	1	(27508,1)	120	18
7	2	[40,59]	1	(27509,1)	70	18
7	3	[60,79]	1	(27509,1)	70	18
7	4	[80,179]	1	(27509,1)	70	18
7	1	[30,39]	2	(27504,1)	3400	998
7	2	[40,59]	2	(27505,1)	1960	998
7	3	[60,79]	2	(27506,1)	1960	998
7	4	[80,179]	2	(27507,1)	2360	998
