rewardId	rangeId	levelRange	rewardIndex	rewardItem	isPrecious	rateValue
奖励ID	等级区段ID	等级区段[levelDown,levelUp]	奖励索引(转盘上1-12位置)	奖励物品(coding,cnt)	是否珍贵物品(0-否 1-是)	随机概率
1	1	[30,59]	1	(27566,1)	0	10000
2	1	[30,59]	12	(27489,1)	0	10000
3	1	[30,59]	8	(26924,2)	0	10000
4	1	[30,59]	11	(26925,2)	0	10000
5	1	[30,59]	3	(27566,2)	0	2000
6	1	[30,59]	10	(25748,1)	0	2000
7	1	[30,59]	4	(26224,1)	1	1600
8	1	[30,59]	9	(27490,1)	1	1200
9	1	[30,59]	5	(27370,1)	1	1200
10	1	[30,59]	6	(26341,200)	1	1000
11	1	[30,59]	7	(27371,1)	1	100
12	1	[30,59]	2	(26928,1)	1	1
13	2	[60,159]	1	(27566,1)	0	10000
14	2	[60,159]	12	(27489,1)	0	10000
15	2	[60,159]	8	(26677,3)	0	10000
16	2	[60,159]	11	(26450,3)	0	10000
17	2	[60,159]	3	(26450,5)	0	2000
18	2	[60,159]	10	(27167,1)	0	2000
19	2	[60,159]	4	(26341,50)	1	1600
20	2	[60,159]	9	(27490,1)	1	1200
21	2	[60,159]	5	(27370,1)	1	1200
22	2	[60,159]	6	(26341,200)	1	1000
23	2	[60,159]	7	(27371,1)	1	100
24	2	[60,159]	2	(27705,1)	1	1
