rewardId	targetRMB	rewardMoney	rewardRMB	rewardItem	previewItem
奖励ID	累计消费目标	奖励金币	奖励魔晶	奖励物品	奖励预览
1	500	0	100	[(27368,1),(25970,5),(26344,5),(26450,1),(26044,1)]	[(25829,100),(27368,1),(25970,5),(26344,5),(26450,1),(26044,1)]
2	1000	0	200	[(27368,1),(25970,5),(26344,5),(26450,1),(26044,1)]	[(25829,200),(27368,1),(25970,5),(26344,5),(26450,1),(26044,1)]
3	3000	0	300	[(27368,1),(25970,20),(26344,20),(26450,2),(26223,1)]	[(25829,300),(27368,1),(25970,20),(26344,20),(26450,2),(26223,1)]
4	5000	0	400	[(27369,1),(25970,20),(26344,20),(26450,2),(26223,1)]	[(25829,400),(27369,1),(25970,20),(26344,20),(26450,2),(26223,1)]
5	10000	0	500	[(27369,1),(25970,50),(26344,50),(26450,5),(26224,1)]	[(25829,500),(27369,1),(25970,50),(26344,50),(26450,5),(26224,1)]
6	30000	0	1000	[(27370,1),(25970,100),(26344,100),(26450,20),(26224,1)]	[(25829,1000),(27370,1),(25970,100),(26344,100),(26450,20),(26224,1)]
7	50000	0	1500	[(27370,1),(25970,200),(26344,200),(26450,25),(26225,1)]	[(25829,1500),(27370,1),(25970,200),(26344,200),(26450,25),(26225,1)]
8	80000	0	2000	[(27370,1),(25970,250),(26344,250),(26450,50),(26225,1)]	[(25829,2000),(27370,1),(25970,250),(26344,250),(26450,50),(26225,1)]
9	100000	0	2500	[(27371,1),(25970,250),(26344,250),(26450,50),(25774,1),(27492,1)]	[(25829,2500),(27371,1),(25970,250),(26344,250),(26450,50),(25774,1),(27492,1)]
10	120000	0	3000	[(27371,1),(25970,300),(26344,300),(26450,70),(25776,1),(26341,500)]	[(25829,3000),(27371,1),(25970,300),(26344,300),(26450,70),(25776,1),(26341,500)]
11	150000	0	4000	[(27371,1),(25970,400),(26344,400),(26450,80),(25775,1),(26341,500)]	[(25829,4000),(27371,1),(25970,400),(26344,400),(26450,80),(25775,1),(26341,500)]
12	200000	0	5000	[(27371,1),(25970,500),(26344,500),(26450,120),(25790,1),(27492,1)]	[(25829,5000),(27371,1),(25970,500),(26344,500),(26450,120),(25790,1),(27492,1)]
