rank	rewardMoney	rewardRMB	rewardItem	rewardTitleId
排名	奖励金币	奖励魔晶	奖励物品	奖励称号ID
1	0	0	[(26450,600),(25948,1),(25809,1),(26439,2),(27493,1),(27707,1)]	16
2	0	0	[(26450,450),(25936,1),(25800,1),(26439,1),(27492,1),(27707,1)]	17
3	0	0	[(26450,360),(25924,1),(25791,1),(26439,1),(27492,1),(27707,1)]	18
4	0	0	[(26450,180),(25912,1),(25782,1),(26438,1),(27492,1),(27107,1)]	15
5	0	0	[(26450,180),(25912,1),(25782,1),(26438,1),(27492,1),(27107,1)]	15
6	0	0	[(26450,180),(25912,1),(25782,1),(26438,1),(27492,1),(27107,1)]	15
7	0	0	[(26450,180),(25912,1),(25782,1),(26438,1),(27492,1),(27107,1)]	15
8	0	0	[(26450,180),(25912,1),(25782,1),(26438,1),(27492,1),(27107,1)]	15
9	0	0	[(26450,180),(25912,1),(25782,1),(26438,1),(27492,1),(27107,1)]	15
10	0	0	[(26450,180),(25912,1),(25782,1),(26438,1),(27492,1),(27107,1)]	15
11	0	0	[(26450,120),(25912,1),(25773,1),(26438,1),(27492,1),(27708,1)]	14
12	0	0	[(26450,120),(25912,1),(25773,1),(26438,1),(27492,1),(27708,1)]	14
13	0	0	[(26450,120),(25912,1),(25773,1),(26438,1),(27492,1),(27708,1)]	14
14	0	0	[(26450,120),(25912,1),(25773,1),(26438,1),(27492,1),(27708,1)]	14
15	0	0	[(26450,120),(25912,1),(25773,1),(26438,1),(27492,1),(27708,1)]	14
16	0	0	[(26450,120),(25912,1),(25773,1),(26438,1),(27492,1),(27708,1)]	14
17	0	0	[(26450,120),(25912,1),(25773,1),(26438,1),(27492,1),(27708,1)]	14
18	0	0	[(26450,120),(25912,1),(25773,1),(26438,1),(27492,1),(27708,1)]	14
19	0	0	[(26450,120),(25912,1),(25773,1),(26438,1),(27492,1),(27708,1)]	14
20	0	0	[(26450,120),(25912,1),(25773,1),(26438,1),(27492,1),(27708,1)]	14
21	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
22	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
23	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
24	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
25	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
26	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
27	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
28	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
29	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
30	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
31	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
32	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
33	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
34	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
35	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
36	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
37	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
38	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
39	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
40	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
41	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
42	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
43	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
44	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
45	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
46	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
47	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
48	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
49	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
50	0	0	[(26450,60),(25900,1),(25764,1),(26438,1),(27035,1)]	12
51	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
52	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
53	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
54	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
55	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
56	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
57	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
58	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
59	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
60	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
61	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
62	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
63	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
