level	grade	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
等级	阶级	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
1	1	15	0	0	5	0	5	0	0	0	0	0	0	0	0	0
2	1	30	0	0	10	0	10	0	0	0	0	0	0	0	0	0
3	1	45	0	0	15	0	15	0	0	0	0	0	0	0	0	0
4	1	60	0	0	20	0	20	0	0	0	0	0	0	0	0	0
5	1	75	0	0	25	0	25	0	0	0	0	0	0	0	0	0
6	1	90	0	0	30	0	30	0	0	0	0	0	0	0	0	0
7	1	105	0	0	35	0	35	0	0	0	0	0	0	0	0	0
8	1	120	0	0	40	0	40	0	0	0	0	0	0	0	0	0
9	1	135	0	0	45	0	45	0	0	0	0	0	0	0	0	0
10	1	150	0	0	50	0	50	0	0	0	0	0	0	0	0	0
11	1	180	0	0	60	0	60	0	0	0	0	0	0	0	0	0
12	1	210	0	0	70	0	70	0	0	0	0	0	0	0	0	0
13	1	240	0	0	80	0	80	0	0	0	0	0	0	0	0	0
14	1	270	0	0	90	0	90	0	0	0	0	0	0	0	0	0
15	1	300	0	0	100	0	100	0	0	0	0	0	0	0	0	0
16	1	330	0	0	110	0	110	0	0	0	0	0	0	0	0	0
17	1	360	0	0	120	0	120	0	0	0	0	0	0	0	0	0
18	1	390	0	0	130	0	130	0	0	0	0	0	0	0	0	0
19	1	420	0	0	140	0	140	0	0	0	0	0	0	0	0	0
20	1	450	0	0	150	0	150	0	0	0	0	0	0	0	0	0
20	2	600	0	0	200	0	200	0	0	0	0	0	0	0	0	0
21	2	645	0	0	215	0	215	0	0	0	0	0	0	0	0	0
22	2	690	0	0	230	0	230	0	0	0	0	0	0	0	0	0
23	2	735	0	0	245	0	245	0	0	0	0	0	0	0	0	0
24	2	780	0	0	260	0	260	0	0	0	0	0	0	0	0	0
25	2	825	0	0	275	0	275	0	0	0	0	0	0	0	0	0
26	2	870	0	0	290	0	290	0	0	0	0	0	0	0	0	0
27	2	915	0	0	305	0	305	0	0	0	0	0	0	0	0	0
28	2	960	0	0	320	0	320	0	0	0	0	0	0	0	0	0
29	2	1005	0	0	335	0	335	0	0	0	0	0	0	0	0	0
30	2	1050	0	0	350	0	350	0	0	0	0	0	0	0	0	0
31	2	1110	0	0	370	0	370	0	0	0	0	0	0	0	0	0
32	2	1170	0	0	390	0	390	0	0	0	0	0	0	0	0	0
33	2	1230	0	0	410	0	410	0	0	0	0	0	0	0	0	0
34	2	1290	0	0	430	0	430	0	0	0	0	0	0	0	0	0
35	2	1350	0	0	450	0	450	0	0	0	0	0	0	0	0	0
36	2	1410	0	0	470	0	470	0	0	0	0	0	0	0	0	0
37	2	1470	0	0	490	0	490	0	0	0	0	0	0	0	0	0
38	2	1530	0	0	510	0	510	0	0	0	0	0	0	0	0	0
39	2	1590	0	0	530	0	530	0	0	0	0	0	0	0	0	0
40	2	1650	0	0	550	0	550	0	0	0	0	0	0	0	0	0
40	3	1950	0	0	650	0	650	0	0	0	0	0	0	0	0	0
41	3	2025	0	0	675	0	675	0	0	0	0	0	0	0	0	0
42	3	2100	0	0	700	0	700	0	0	0	0	0	0	0	0	0
43	3	2175	0	0	725	0	725	0	0	0	0	0	0	0	0	0
44	3	2250	0	0	750	0	750	0	0	0	0	0	0	0	0	0
45	3	2325	0	0	775	0	775	0	0	0	0	0	0	0	0	0
46	3	2400	0	0	800	0	800	0	0	0	0	0	0	0	0	0
47	3	2475	0	0	825	0	825	0	0	0	0	0	0	0	0	0
48	3	2550	0	0	850	0	850	0	0	0	0	0	0	0	0	0
49	3	2625	0	0	875	0	875	0	0	0	0	0	0	0	0	0
50	3	2700	0	0	900	0	900	0	0	0	0	0	0	0	0	0
51	3	2790	0	0	930	0	930	0	0	0	0	0	0	0	0	0
52	3	2880	0	0	960	0	960	0	0	0	0	0	0	0	0	0
53	3	2970	0	0	990	0	990	0	0	0	0	0	0	0	0	0
54	3	3060	0	0	1020	0	1020	0	0	0	0	0	0	0	0	0
55	3	3150	0	0	1050	0	1050	0	0	0	0	0	0	0	0	0
56	3	3240	0	0	1080	0	1080	0	0	0	0	0	0	0	0	0
57	3	3330	0	0	1110	0	1110	0	0	0	0	0	0	0	0	0
58	3	3420	0	0	1140	0	1140	0	0	0	0	0	0	0	0	0
59	3	3510	0	0	1170	0	1170	0	0	0	0	0	0	0	0	0
60	3	3600	0	0	1200	0	1200	0	0	0	0	0	0	0	0	0
60	4	4050	0	0	1350	0	1350	0	0	0	0	0	0	0	0	0
61	4	4155	0	0	1385	0	1385	0	0	0	0	0	0	0	0	0
62	4	4260	0	0	1420	0	1420	0	0	0	0	0	0	0	0	0
63	4	4365	0	0	1455	0	1455	0	0	0	0	0	0	0	0	0
64	4	4470	0	0	1490	0	1490	0	0	0	0	0	0	0	0	0
65	4	4575	0	0	1525	0	1525	0	0	0	0	0	0	0	0	0
66	4	4680	0	0	1560	0	1560	0	0	0	0	0	0	0	0	0
67	4	4785	0	0	1595	0	1595	0	0	0	0	0	0	0	0	0
68	4	4890	0	0	1630	0	1630	0	0	0	0	0	0	0	0	0
69	4	4995	0	0	1665	0	1665	0	0	0	0	0	0	0	0	0
70	4	5100	0	0	1700	0	1700	0	0	0	0	0	0	0	0	0
71	4	5220	0	0	1740	0	1740	0	0	0	0	0	0	0	0	0
72	4	5340	0	0	1780	0	1780	0	0	0	0	0	0	0	0	0
73	4	5460	0	0	1820	0	1820	0	0	0	0	0	0	0	0	0
74	4	5580	0	0	1860	0	1860	0	0	0	0	0	0	0	0	0
75	4	5700	0	0	1900	0	1900	0	0	0	0	0	0	0	0	0
76	4	5820	0	0	1940	0	1940	0	0	0	0	0	0	0	0	0
77	4	5940	0	0	1980	0	1980	0	0	0	0	0	0	0	0	0
78	4	6060	0	0	2020	0	2020	0	0	0	0	0	0	0	0	0
79	4	6180	0	0	2060	0	2060	0	0	0	0	0	0	0	0	0
80	4	6300	0	0	2100	0	2100	0	0	0	0	0	0	0	0	0
80	5	6900	0	0	2300	0	2300	0	0	0	0	0	0	0	0	0
81	5	7035	0	0	2345	0	2345	0	0	0	0	0	0	0	0	0
82	5	7170	0	0	2390	0	2390	0	0	0	0	0	0	0	0	0
83	5	7305	0	0	2435	0	2435	0	0	0	0	0	0	0	0	0
84	5	7440	0	0	2480	0	2480	0	0	0	0	0	0	0	0	0
85	5	7575	0	0	2525	0	2525	0	0	0	0	0	0	0	0	0
86	5	7710	0	0	2570	0	2570	0	0	0	0	0	0	0	0	0
87	5	7845	0	0	2615	0	2615	0	0	0	0	0	0	0	0	0
88	5	7980	0	0	2660	0	2660	0	0	0	0	0	0	0	0	0
89	5	8115	0	0	2705	0	2705	0	0	0	0	0	0	0	0	0
90	5	8250	0	0	2750	0	2750	0	0	0	0	0	0	0	0	0
91	5	8400	0	0	2800	0	2800	0	0	0	0	0	0	0	0	0
92	5	8550	0	0	2850	0	2850	0	0	0	0	0	0	0	0	0
93	5	8700	0	0	2900	0	2900	0	0	0	0	0	0	0	0	0
94	5	8850	0	0	2950	0	2950	0	0	0	0	0	0	0	0	0
95	5	9000	0	0	3000	0	3000	0	0	0	0	0	0	0	0	0
96	5	9150	0	0	3050	0	3050	0	0	0	0	0	0	0	0	0
97	5	9300	0	0	3100	0	3100	0	0	0	0	0	0	0	0	0
98	5	9450	0	0	3150	0	3150	0	0	0	0	0	0	0	0	0
99	5	9600	0	0	3200	0	3200	0	0	0	0	0	0	0	0	0
100	5	9750	0	0	3250	0	3250	0	0	0	0	0	0	0	0	0
100	6	10500	0	0	3500	0	3500	0	0	0	0	0	0	0	0	0
101	6	10665	0	0	3555	0	3555	0	0	0	0	0	0	0	0	0
102	6	10830	0	0	3610	0	3610	0	0	0	0	0	0	0	0	0
103	6	10995	0	0	3665	0	3665	0	0	0	0	0	0	0	0	0
104	6	11160	0	0	3720	0	3720	0	0	0	0	0	0	0	0	0
105	6	11325	0	0	3775	0	3775	0	0	0	0	0	0	0	0	0
106	6	11490	0	0	3830	0	3830	0	0	0	0	0	0	0	0	0
107	6	11655	0	0	3885	0	3885	0	0	0	0	0	0	0	0	0
108	6	11820	0	0	3940	0	3940	0	0	0	0	0	0	0	0	0
109	6	11985	0	0	3995	0	3995	0	0	0	0	0	0	0	0	0
110	6	12150	0	0	4050	0	4050	0	0	0	0	0	0	0	0	0
111	6	12330	0	0	4110	0	4110	0	0	0	0	0	0	0	0	0
112	6	12510	0	0	4170	0	4170	0	0	0	0	0	0	0	0	0
113	6	12690	0	0	4230	0	4230	0	0	0	0	0	0	0	0	0
114	6	12870	0	0	4290	0	4290	0	0	0	0	0	0	0	0	0
115	6	13050	0	0	4350	0	4350	0	0	0	0	0	0	0	0	0
116	6	13230	0	0	4410	0	4410	0	0	0	0	0	0	0	0	0
117	6	13410	0	0	4470	0	4470	0	0	0	0	0	0	0	0	0
118	6	13590	0	0	4530	0	4530	0	0	0	0	0	0	0	0	0
119	6	13770	0	0	4590	0	4590	0	0	0	0	0	0	0	0	0
120	6	13950	0	0	4650	0	4650	0	0	0	0	0	0	0	0	0
120	7	14850	0	0	4950	0	4950	0	0	0	0	0	0	0	0	0
121	7	15045	0	0	5015	0	5015	0	0	0	0	0	0	0	0	0
122	7	15240	0	0	5080	0	5080	0	0	0	0	0	0	0	0	0
123	7	15435	0	0	5145	0	5145	0	0	0	0	0	0	0	0	0
124	7	15630	0	0	5210	0	5210	0	0	0	0	0	0	0	0	0
125	7	15825	0	0	5275	0	5275	0	0	0	0	0	0	0	0	0
126	7	16020	0	0	5340	0	5340	0	0	0	0	0	0	0	0	0
127	7	16215	0	0	5405	0	5405	0	0	0	0	0	0	0	0	0
128	7	16410	0	0	5470	0	5470	0	0	0	0	0	0	0	0	0
129	7	16605	0	0	5535	0	5535	0	0	0	0	0	0	0	0	0
130	7	16800	0	0	5600	0	5600	0	0	0	0	0	0	0	0	0
131	7	17010	0	0	5670	0	5670	0	0	0	0	0	0	0	0	0
132	7	17220	0	0	5740	0	5740	0	0	0	0	0	0	0	0	0
133	7	17430	0	0	5810	0	5810	0	0	0	0	0	0	0	0	0
134	7	17640	0	0	5880	0	5880	0	0	0	0	0	0	0	0	0
135	7	17850	0	0	5950	0	5950	0	0	0	0	0	0	0	0	0
136	7	18060	0	0	6020	0	6020	0	0	0	0	0	0	0	0	0
137	7	18270	0	0	6090	0	6090	0	0	0	0	0	0	0	0	0
138	7	18480	0	0	6160	0	6160	0	0	0	0	0	0	0	0	0
139	7	18690	0	0	6230	0	6230	0	0	0	0	0	0	0	0	0
140	7	18900	0	0	6300	0	6300	0	0	0	0	0	0	0	0	0
140	8	19950	0	0	6650	0	6650	0	0	0	0	0	0	0	0	0
141	8	20175	0	0	6725	0	6725	0	0	0	0	0	0	0	0	0
142	8	20400	0	0	6800	0	6800	0	0	0	0	0	0	0	0	0
143	8	20625	0	0	6875	0	6875	0	0	0	0	0	0	0	0	0
144	8	20850	0	0	6950	0	6950	0	0	0	0	0	0	0	0	0
145	8	21075	0	0	7025	0	7025	0	0	0	0	0	0	0	0	0
146	8	21300	0	0	7100	0	7100	0	0	0	0	0	0	0	0	0
147	8	21525	0	0	7175	0	7175	0	0	0	0	0	0	0	0	0
148	8	21750	0	0	7250	0	7250	0	0	0	0	0	0	0	0	0
149	8	21975	0	0	7325	0	7325	0	0	0	0	0	0	0	0	0
150	8	22200	0	0	7400	0	7400	0	0	0	0	0	0	0	0	0
151	8	22440	0	0	7480	0	7480	0	0	0	0	0	0	0	0	0
152	8	22680	0	0	7560	0	7560	0	0	0	0	0	0	0	0	0
153	8	22920	0	0	7640	0	7640	0	0	0	0	0	0	0	0	0
154	8	23160	0	0	7720	0	7720	0	0	0	0	0	0	0	0	0
155	8	23400	0	0	7800	0	7800	0	0	0	0	0	0	0	0	0
156	8	23640	0	0	7880	0	7880	0	0	0	0	0	0	0	0	0
157	8	23880	0	0	7960	0	7960	0	0	0	0	0	0	0	0	0
