level	needSkillPoint	maxLevel	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
当前属性等级	累计技能点	属性最大等级	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
1	10	9	300	0	0	100	0	100	0	0	0	0	0	0	0	0	0
2	20	9	900	0	0	300	0	300	0	0	0	0	0	0	0	0	0
3	40	9	2100	0	0	700	0	700	0	0	0	0	0	0	0	0	0
4	60	9	3900	0	0	1300	0	1300	0	0	0	0	0	0	0	0	0
5	90	9	6300	0	0	2100	0	2100	0	0	0	0	0	0	0	0	0
6	120	9	9000	0	0	3000	0	3000	0	0	0	0	0	0	0	0	0
7	150	9	12000	0	0	4000	0	4000	0	0	0	0	0	0	0	0	0
8	250	9	15000	0	0	5000	0	5000	0	0	0	0	0	0	0	0	0
9	350	9	18600	0	0	6200	0	6200	0	0	0	0	0	0	0	0	0
