cnt	needRMB
砸金龙蛋次数	消耗的RMB
1	20
2	40
3	88
4	88
5	88
6	88
7	88
8	88
9	88
10	88
11	88
12	88
13	88
14	88
15	88
16	88
17	88
18	88
19	88
20	88
21	88
22	88
23	88
24	88
25	88
26	88
27	88
28	88
29	88
30	88
31	88
32	88
33	88
34	88
35	88
36	88
37	88
38	88
39	88
40	88
41	88
42	88
43	88
44	88
45	88
46	88
47	88
48	88
49	88
50	88
51	88
52	88
53	88
54	88
55	88
56	88
57	88
58	88
59	88
60	88
61	88
62	88
63	88
64	88
65	88
66	88
67	88
68	88
69	88
70	88
71	88
72	88
73	88
74	88
75	88
76	88
77	88
78	88
79	88
80	88
81	88
82	88
83	88
84	88
85	88
86	88
87	88
88	88
89	88
90	88
91	88
92	88
93	88
94	88
95	88
96	88
97	88
98	88
99	88
100	88
101	88
102	88
103	88
104	88
105	88
106	88
107	88
108	88
109	88
110	88
111	88
112	88
113	88
114	88
115	88
116	88
117	88
118	88
119	88
120	88
121	88
122	88
123	88
124	88
125	88
126	88
127	88
128	88
129	88
130	88
131	88
132	88
133	88
134	88
135	88
136	88
137	88
138	88
139	88
140	88
141	88
142	88
143	88
144	88
145	88
146	88
147	88
148	88
149	88
150	88
151	88
152	88
153	88
154	88
155	88
156	88
157	88
158	88
159	88
160	88
161	88
162	88
163	88
164	88
165	88
166	88
167	88
168	88
169	88
170	88
171	88
172	88
173	88
174	88
175	88
176	88
177	88
178	88
179	88
180	88
181	88
182	88
183	88
184	88
185	88
186	88
187	88
188	88
189	88
190	88
191	88
192	88
193	88
194	88
195	88
196	88
197	88
198	88
199	88
200	88
201	88
202	88
203	88
204	88
205	88
206	88
207	88
208	88
209	88
210	88
211	88
212	88
213	88
214	88
215	88
216	88
217	88
218	88
219	88
220	88
221	88
222	88
223	88
224	88
225	88
226	88
227	88
228	88
229	88
230	88
231	88
232	88
233	88
234	88
235	88
236	88
237	88
238	88
239	88
240	88
241	88
242	88
243	88
244	88
245	88
246	88
247	88
248	88
249	88
250	88
251	88
252	88
253	88
254	88
255	88
256	88
257	88
258	88
259	88
260	88
261	88
262	88
263	88
264	88
265	88
266	88
267	88
268	88
269	88
270	88
271	88
272	88
