roleLevel	maxExp	addExp	campId	fightType
玩家等级	当前等级最大获取经验上限	每次战斗增加的经验	阵营	战斗类型
30	116100	215	14107	148
31	141480	262	14107	148
32	141480	262	14107	148
33	205740	381	14107	148
34	206280	382	14107	148
35	206280	382	14107	148
36	206280	382	14107	148
37	206820	383	14107	148
38	206820	383	14107	148
39	206820	383	14107	148
40	238680	442	14108	148
41	255420	473	14108	148
42	284580	527	14108	148
43	308340	571	14108	148
44	308340	571	14108	148
45	308880	572	14108	148
46	308880	572	14108	148
47	309420	573	14108	148
48	309420	573	14108	148
49	309420	573	14108	148
50	309960	574	14108	148
51	309960	574	14108	148
52	309960	574	14108	148
53	310500	575	14108	148
54	310500	575	14108	148
55	311040	576	14108	148
56	311040	576	14108	148
57	311040	576	14108	148
58	311580	577	14108	148
59	311580	577	14108	148
60	395280	732	14109	148
61	415800	770	14109	148
62	449280	832	14109	148
63	476280	882	14109	148
64	476280	882	14109	148
65	476280	882	14109	148
66	476820	883	14109	148
67	476820	883	14109	148
68	476820	883	14109	148
69	477360	884	14109	148
70	477360	884	14109	148
71	477900	885	14109	148
72	477900	885	14109	148
73	477900	885	14109	148
74	478440	886	14109	148
75	478440	886	14109	148
76	478440	886	14109	148
77	478980	887	14109	148
78	478980	887	14109	148
79	479520	888	14109	148
80	536220	993	14110	148
81	556740	1031	14110	148
82	590220	1093	14110	148
83	617220	1143	14110	148
84	617220	1143	14110	148
85	617220	1143	14110	148
86	617760	1144	14110	148
87	617760	1144	14110	148
88	617760	1144	14110	148
89	618300	1145	14110	148
90	618300	1145	14110	148
91	618300	1145	14110	148
92	618840	1146	14110	148
93	618840	1146	14110	148
94	619380	1147	14110	148
95	619380	1147	14110	148
96	619380	1147	14110	148
97	619920	1148	14110	148
98	619920	1148	14110	148
99	619920	1148	14110	148
100	705240	1306	14111	148
101	755460	1399	14111	148
102	805680	1492	14111	148
103	855900	1585	14111	148
104	856440	1586	14111	148
105	856440	1586	14111	148
106	856440	1586	14111	148
107	856980	1587	14111	148
108	856980	1587	14111	148
109	856980	1587	14111	148
110	857520	1588	14111	148
111	857520	1588	14111	148
112	857520	1588	14111	148
113	858060	1589	14111	148
114	858060	1589	14111	148
115	858600	1590	14111	148
116	858600	1590	14111	148
117	858600	1590	14111	148
118	859140	1591	14111	148
119	859140	1591	14111	148
120	975780	1807	14112	148
121	982800	1820	14112	148
122	989280	1832	14112	148
123	996300	1845	14112	148
124	996840	1846	14112	148
125	996840	1846	14112	148
126	996840	1846	14112	148
127	997380	1847	14112	148
128	997380	1847	14112	148
129	997380	1847	14112	148
130	997920	1848	14112	148
131	997920	1848	14112	148
132	997920	1848	14112	148
133	998460	1849	14112	148
134	998460	1849	14112	148
135	999000	1850	14112	148
136	999000	1850	14112	148
137	999000	1850	14112	148
138	999540	1851	14112	148
139	999540	1851	14112	148
140	1105380	2047	14112	148
141	1135620	2103	14112	148
142	1165860	2159	14112	148
143	1196100	2215	14112	148
144	1196100	2215	14112	148
145	1196640	2216	14112	148
146	1196640	2216	14112	148
147	1196640	2216	14112	148
148	1197180	2217	14112	148
149	1197180	2217	14112	148
150	1197180	2217	14112	148
151	1197720	2218	14112	148
152	1197720	2218	14112	148
153	1198260	2219	14112	148
154	1198260	2219	14112	148
155	1198260	2219	14112	148
156	1198800	2220	14112	148
157	1198800	2220	14112	148
158	1198800	2220	14112	148
159	1199340	2221	14112	148
