DKCLevel	levelName	campId	fightType	rewardItem	rewardTitle	titleName	npcRes	npcHead
挑战关卡等级	关卡名称	战斗阵营	战斗类型	通关奖励道具	通关奖励称号	称号名称	npc资源	怪物头像
1	绿龙瑟拉	17020	171	[(27709,1),(27669,30),(28234,10)]	19	绿龙骑士	lvlong	30031
2	冰龙雷姆	17021	171	[(27709,1),(27669,30),(28234,10)]	20	冰龙骑士	binglong	30032
3	蓝龙修雷	17022	171	[(27709,1),(27669,30),(28234,10)]	21	蓝龙骑士	lanlong	30034
4	黑龙莉亚	17023	171	[(27709,1),(27669,30),(28234,10)]	22	黑龙骑士	heilong	30036
5	红龙卡莎	17024	171	[(27709,1),(27669,30),(28234,10)]	23	红龙骑士	honglong	30033
6	金龙苟达	17025	171	[(27709,1),(27669,30),(28234,10)]	24	金龙骑士	jinlong	30035
7	白金龙怀特	17026	171	[(27709,1),(27669,30),(28234,10)]	25	白金龙骑士	baijinlong	30038
8	双足飞龙弗特	17027	171	[(27709,1),(27669,30),(28234,10)]	26	双足飞龙骑士	shuangzufeilong	30004
9	彩虹龙安娜	17028	171	[(27709,1),(27669,30),(28234,10)]	27	彩虹龙骑士	caihonglong	30037
10	骨龙邦恩	17029	171	[(27709,1),(27669,30),(28234,10)]	28	骨龙骑士	gulong	30008
11	龙巫妖里奇	17030	171	[(27709,1),(27669,30),(28234,10)]	77	龙巫妖骑士	longwuyao	30040
12	龙骑兵科赞	17031	171	[(27709,1),(27669,30),(28234,10)]	78	龙骑兵勇士	longqibing	30006
13	龙骑将肯特	17032	171	[(27709,1),(27669,30),(28234,10)]	95	龙骑将勇士	longqijiang	30007
