DKCLevel	rewardPoolId	rateValue	rewardItems
挑战关卡等级	奖励池ID	奖励池概率	奖励道具(idx,coding,cnt)
1	1	8000	[(1,29175,1),(2,29175,1),(3,28591,1),(4,28592,1),(5,28593,1),(6,29175,1),(7,27669,5),(8,27669,3),(9,27669,2)]
1	2	1600	[(1,28234,1),(2,28234,2),(3,27041,3),(4,27042,2),(5,25831,5),(6,25970,5),(7,27818,5),(8,27669,4),(9,27669,5),(10,27669,6),(11,27669,8),(12,29175,1)]
1	3	320	[(1,28234,4),(2,28234,5),(3,27041,5),(4,27042,4),(5,25831,10),(6,25970,10),(7,27818,10),(8,27669,10),(9,27669,12),(10,27669,15),(11,27669,20),(12,29176,1)]
1	4	80	[(1,28234,8),(2,28234,10),(3,27041,8),(4,27042,6),(5,28577,1),(6,27709,1),(7,27669,20),(8,27669,24),(9,27669,25),(10,27669,30),(11,29177,1)]
2	1	8000	[(1,29180,1),(2,29180,1),(3,28591,1),(4,28592,1),(5,28593,1),(6,29180,1),(7,27669,5),(8,27669,3),(9,27669,2)]
2	2	1600	[(1,28234,1),(2,28234,2),(3,27041,3),(4,27042,2),(5,25831,5),(6,25970,5),(7,27818,5),(8,27669,4),(9,27669,5),(10,27669,6),(11,27669,8),(12,29180,1)]
2	3	320	[(1,28234,4),(2,28234,5),(3,27041,5),(4,27042,4),(5,25831,10),(6,25970,10),(7,27818,10),(8,27669,10),(9,27669,12),(10,27669,15),(11,27669,20),(12,29181,1)]
2	4	80	[(1,28234,8),(2,28234,10),(3,27041,8),(4,27042,6),(5,28578,1),(6,27709,1),(7,27669,20),(8,27669,24),(9,27669,25),(10,27669,30),(11,29182,1)]
3	1	8000	[(1,29185,1),(2,29185,1),(3,28591,1),(4,28592,1),(5,28593,1),(6,29185,1),(7,27669,5),(8,27669,3),(9,27669,2)]
3	2	1600	[(1,28234,1),(2,28234,2),(3,27041,3),(4,27042,2),(5,25831,5),(6,25970,5),(7,27818,5),(8,27669,4),(9,27669,5),(10,27669,6),(11,27669,8),(12,29185,1)]
3	3	320	[(1,28234,4),(2,28234,5),(3,27041,5),(4,27042,4),(5,25831,10),(6,25970,10),(7,27818,10),(8,27669,10),(9,27669,12),(10,27669,15),(11,27669,20),(12,29186,1)]
3	4	80	[(1,28234,8),(2,28234,10),(3,27041,8),(4,27042,6),(5,28579,1),(6,27709,1),(7,27669,20),(8,27669,24),(9,27669,25),(10,27669,30),(11,29187,1)]
4	1	8000	[(1,29190,1),(2,29190,1),(3,28591,1),(4,28592,1),(5,28593,1),(6,29190,1),(7,27669,5),(8,27669,3),(9,27669,2)]
4	2	1600	[(1,28234,1),(2,28234,2),(3,27041,3),(4,27042,2),(5,25831,5),(6,25970,5),(7,27818,5),(8,27669,4),(9,27669,5),(10,27669,6),(11,27669,8),(12,29190,1)]
4	3	320	[(1,28234,4),(2,28234,5),(3,27041,5),(4,27042,4),(5,25831,10),(6,25970,10),(7,27818,10),(8,27669,10),(9,27669,12),(10,27669,15),(11,27669,20),(12,29191,1)]
4	4	80	[(1,28234,8),(2,28234,10),(3,27041,8),(4,27042,6),(5,28580,1),(6,27709,1),(7,27669,20),(8,27669,24),(9,27669,25),(10,27669,30),(11,29192,1)]
5	1	8000	[(1,29195,1),(2,29195,1),(3,28591,1),(4,28592,1),(5,28593,1),(6,29195,1),(7,27669,5),(8,27669,3),(9,27669,2)]
5	2	1600	[(1,28234,1),(2,28234,2),(3,27041,3),(4,27042,2),(5,25831,5),(6,25970,5),(7,27818,5),(8,27669,4),(9,27669,5),(10,27669,6),(11,27669,8),(12,29195,1)]
5	3	320	[(1,28234,4),(2,28234,5),(3,27041,5),(4,27042,4),(5,25831,10),(6,25970,10),(7,27818,10),(8,27669,10),(9,27669,12),(10,27669,15),(11,27669,20),(12,29196,1)]
5	4	80	[(1,28234,8),(2,28234,10),(3,27041,8),(4,27042,6),(5,28581,1),(6,27709,1),(7,27669,20),(8,27669,24),(9,27669,25),(10,27669,30),(11,29197,1)]
6	1	8000	[(1,29200,1),(2,29200,1),(3,28591,1),(4,28592,1),(5,28593,1),(6,29200,1),(7,27669,5),(8,27669,3),(9,27669,2)]
6	2	1600	[(1,28234,1),(2,28234,2),(3,27041,3),(4,27042,2),(5,25831,5),(6,25970,5),(7,27818,5),(8,27669,4),(9,27669,5),(10,27669,6),(11,27669,8),(12,29200,1)]
6	3	320	[(1,28234,4),(2,28234,5),(3,27041,5),(4,27042,4),(5,25831,10),(6,25970,10),(7,27818,10),(8,27669,10),(9,27669,12),(10,27669,15),(11,27669,20),(12,29201,1)]
6	4	80	[(1,28234,8),(2,28234,10),(3,27041,8),(4,27042,6),(5,28582,1),(6,27709,1),(7,27669,20),(8,27669,24),(9,27669,25),(10,27669,30),(11,29202,1)]
7	1	8000	[(1,29205,1),(2,29205,1),(3,28591,1),(4,28592,1),(5,28593,1),(6,29205,1),(7,27669,5),(8,27669,3),(9,27669,2)]
7	2	1600	[(1,28234,1),(2,28234,2),(3,27041,3),(4,27042,2),(5,25831,5),(6,25970,5),(7,27818,5),(8,27669,4),(9,27669,5),(10,27669,6),(11,27669,8),(12,29205,1)]
7	3	320	[(1,28234,4),(2,28234,5),(3,27041,5),(4,27042,4),(5,25831,10),(6,25970,10),(7,27818,10),(8,27669,10),(9,27669,12),(10,27669,15),(11,27669,20),(12,29206,1)]
7	4	80	[(1,28234,8),(2,28234,10),(3,27041,8),(4,27042,6),(5,28583,1),(6,27709,1),(7,27669,20),(8,27669,24),(9,27669,25),(10,27669,30),(11,29207,1)]
8	1	8000	[(1,29210,1),(2,29210,1),(3,28591,1),(4,28592,1),(5,28593,1),(6,29210,1),(7,27669,5),(8,27669,3),(9,27669,2)]
8	2	1600	[(1,28234,1),(2,28234,2),(3,27041,3),(4,27042,2),(5,25831,5),(6,25970,5),(7,27818,5),(8,27669,4),(9,27669,5),(10,27669,6),(11,27669,8),(12,29210,1)]
8	3	320	[(1,28234,4),(2,28234,5),(3,27041,5),(4,27042,4),(5,25831,10),(6,25970,10),(7,27818,10),(8,27669,10),(9,27669,12),(10,27669,15),(11,27669,20),(12,29211,1)]
8	4	80	[(1,28234,8),(2,28234,10),(3,27041,8),(4,27042,6),(5,28584,1),(6,27709,1),(7,27669,20),(8,27669,24),(9,27669,25),(10,27669,30),(11,29212,1)]
9	1	8000	[(1,28589,1),(2,28590,1),(3,28591,1),(4,28592,1),(5,28593,1),(6,25642,5),(7,27669,5),(8,27669,3),(9,27669,2)]
