rewardId	rewardType	rangeId	levelRange	item	rate	isPrecious	items
奖励ID	奖励类型(1:普通祈祷,2:高级祈祷,3:百次额外奖励)	等级区段ID	 等级区段	物品(coding,cnt,itemType 1-普通道具 2-命魂)	随机概率	1-珍稀 0-不珍稀	道具预览(客户端显示用)
1	2	1	[45,49]	(27169,1,1)	1000	0	[(27169,1),(25776,1),(25775,1),(25774,1),(26925,5),(26924,5),(27171,1),(26344,20),(26224,1)]
2	2	1	[45,49]	(26925,5,1)	1050	0	[(27169,1),(25776,1),(25775,1),(25774,1),(26925,5),(26924,5),(27171,1),(26344,20),(26224,1)]
3	2	1	[45,49]	(26924,5,1)	1050	0	[(27169,1),(25776,1),(25775,1),(25774,1),(26925,5),(26924,5),(27171,1),(26344,20),(26224,1)]
4	2	1	[45,49]	(25776,1,1)	25	1	[(27169,1),(25776,1),(25775,1),(25774,1),(26925,5),(26924,5),(27171,1),(26344,20),(26224,1)]
5	2	1	[45,49]	(25775,1,1)	25	1	[(27169,1),(25776,1),(25775,1),(25774,1),(26925,5),(26924,5),(27171,1),(26344,20),(26224,1)]
6	2	1	[45,49]	(25774,1,1)	25	1	[(27169,1),(25776,1),(25775,1),(25774,1),(26925,5),(26924,5),(27171,1),(26344,20),(26224,1)]
7	2	1	[45,49]	(27171,1,1)	1000	0	[(27169,1),(25776,1),(25775,1),(25774,1),(26925,5),(26924,5),(27171,1),(26344,20),(26224,1)]
8	2	1	[45,49]	(27170,1,1)	1200	0	[(27169,1),(25776,1),(25775,1),(25774,1),(26925,5),(26924,5),(27171,1),(26344,20),(26224,1)]
9	2	1	[45,49]	(26223,1,1)	1000	0	[(27169,1),(25776,1),(25775,1),(25774,1),(26925,5),(26924,5),(27171,1),(26344,20),(26224,1)]
10	2	1	[45,49]	(26224,1,1)	625	0	[(27169,1),(25776,1),(25775,1),(25774,1),(26925,5),(26924,5),(27171,1),(26344,20),(26224,1)]
11	2	1	[45,49]	(25600,25,1)	1000	0	[(27169,1),(25776,1),(25775,1),(25774,1),(26925,5),(26924,5),(27171,1),(26344,20),(26224,1)]
12	2	1	[45,49]	(26344,20,1)	1000	0	[(27169,1),(25776,1),(25775,1),(25774,1),(26925,5),(26924,5),(27171,1),(26344,20),(26224,1)]
13	2	1	[45,49]	(27108,1,1)	1000	0	[(27169,1),(25776,1),(25775,1),(25774,1),(26925,5),(26924,5),(27171,1),(26344,20),(26224,1)]
14	2	2	[50,59]	(27169,1,1)	1000	1	[(27169,1),(39,1),(25776,1),(25775,1),(27171,1),(26925,5),(26924,5),(26344,20),(26224,1)]
15	2	2	[50,59]	(39,1,2)	25	1	[(27169,1),(39,1),(25776,1),(25775,1),(27171,1),(26925,5),(26924,5),(26344,20),(26224,1)]
16	2	2	[50,59]	(25775,1,1)	25	1	[(27169,1),(39,1),(25776,1),(25775,1),(27171,1),(26925,5),(26924,5),(26344,20),(26224,1)]
17	2	2	[50,59]	(25776,1,1)	25	1	[(27169,1),(39,1),(25776,1),(25775,1),(27171,1),(26925,5),(26924,5),(26344,20),(26224,1)]
18	2	2	[50,59]	(26925,5,1)	1050	0	[(27169,1),(39,1),(25776,1),(25775,1),(27171,1),(26925,5),(26924,5),(26344,20),(26224,1)]
19	2	2	[50,59]	(26924,5,1)	1050	0	[(27169,1),(39,1),(25776,1),(25775,1),(27171,1),(26925,5),(26924,5),(26344,20),(26224,1)]
20	2	2	[50,59]	(27171,1,1)	1000	0	[(27169,1),(39,1),(25776,1),(25775,1),(27171,1),(26925,5),(26924,5),(26344,20),(26224,1)]
21	2	2	[50,59]	(27170,1,1)	1200	0	[(27169,1),(39,1),(25776,1),(25775,1),(27171,1),(26925,5),(26924,5),(26344,20),(26224,1)]
22	2	2	[50,59]	(26223,1,1)	1000	0	[(27169,1),(39,1),(25776,1),(25775,1),(27171,1),(26925,5),(26924,5),(26344,20),(26224,1)]
23	2	2	[50,59]	(26224,1,1)	625	0	[(27169,1),(39,1),(25776,1),(25775,1),(27171,1),(26925,5),(26924,5),(26344,20),(26224,1)]
24	2	2	[50,59]	(25600,25,1)	1000	0	[(27169,1),(39,1),(25776,1),(25775,1),(27171,1),(26925,5),(26924,5),(26344,20),(26224,1)]
25	2	2	[50,59]	(26344,20,1)	1000	0	[(27169,1),(39,1),(25776,1),(25775,1),(27171,1),(26925,5),(26924,5),(26344,20),(26224,1)]
26	2	2	[50,59]	(26042,1,1)	625	0	[(27169,1),(39,1),(25776,1),(25775,1),(27171,1),(26925,5),(26924,5),(26344,20),(26224,1)]
27	2	3	[60,79]	(27169,1,1)	1000	1	[(27169,1),(46,1),(25789,1),(25791,1),(26925,5),(26924,5),(27171,1),(26227,1),(26224,1)]
28	2	3	[60,79]	(46,1,2)	25	1	[(27169,1),(46,1),(25789,1),(25791,1),(26925,5),(26924,5),(27171,1),(26227,1),(26224,1)]
