cnt	needRMB	rewardSoul	critOdds	critTimes
聚灵次数	消耗神石	奖励的龙灵	暴击概率（万分比）	暴击倍数
1	2	2840	2500	5
2	4	2840	2500	5
3	6	2840	2500	5
4	8	2840	2500	5
5	10	2840	2500	5
6	12	2840	2500	5
7	14	2840	2500	5
8	16	2840	2500	5
9	18	2840	2500	5
10	20	2840	2500	5
11	20	2840	2500	5
12	20	2840	2500	5
13	20	2840	2500	5
14	20	2840	2500	5
15	20	2840	2500	5
16	20	2840	2500	5
17	20	2840	2500	5
18	20	2840	2500	5
19	20	2840	2500	5
20	20	2840	2500	5
21	20	2840	2500	5
22	20	2840	2500	5
23	20	2840	2500	5
24	20	2840	2500	5
25	20	2840	2500	5
26	20	2840	2500	5
27	20	2840	2500	5
28	20	2840	2500	5
29	20	2840	2500	5
30	20	2840	2500	5
31	20	2840	2500	5
32	20	2840	2500	5
33	20	2840	2500	5
34	20	2840	2500	5
35	20	2840	2500	5
36	20	2840	2500	5
37	20	2840	2500	5
38	20	2840	2500	5
39	20	2840	2500	5
40	20	2840	2500	5
41	20	2840	2500	5
42	20	2840	2500	5
43	20	2840	2500	5
44	20	2840	2500	5
45	20	2840	2500	5
46	20	2840	2500	5
47	20	2840	2500	5
48	20	2840	2500	5
49	20	2840	2500	5
50	20	2840	2500	5
51	20	2840	2500	5
52	20	2840	2500	5
53	20	2840	2500	5
54	20	2840	2500	5
55	20	2840	2500	5
56	20	2840	2500	5
57	20	2840	2500	5
58	20	2840	2500	5
59	20	2840	2500	5
60	20	2840	2500	5
61	20	2840	2500	5
62	20	2840	2500	5
63	20	2840	2500	5
64	20	2840	2500	5
65	20	2840	2500	5
66	20	2840	2500	5
67	20	2840	2500	5
68	20	2840	2500	5
69	20	2840	2500	5
70	20	2840	2500	5
71	20	2840	2500	5
72	20	2840	2500	5
73	20	2840	2500	5
74	20	2840	2500	5
75	20	2840	2500	5
76	20	2840	2500	5
77	20	2840	2500	5
78	20	2840	2500	5
79	20	2840	2500	5
80	20	2840	2500	5
81	20	2840	2500	5
82	20	2840	2500	5
83	20	2840	2500	5
84	20	2840	2500	5
85	20	2840	2500	5
86	20	2840	2500	5
87	20	2840	2500	5
88	20	2840	2500	5
89	20	2840	2500	5
90	20	2840	2500	5
91	20	2840	2500	5
92	20	2840	2500	5
93	20	2840	2500	5
94	20	2840	2500	5
95	20	2840	2500	5
96	20	2840	2500	5
97	20	2840	2500	5
98	20	2840	2500	5
99	20	2840	2500	5
100	20	2840	2500	5
