srcType	desType	des	needLevel	itemType1	cnt1	itemType2	cnt2	itemType3	cnt3
旧龙骸类型	新龙骸类型	备注	需要角色等级	需要材料1	数量1	需要材料2	数量2	需要材料3	数量3
26681	26687	雷·绿龙角	1	27197	1	27191	300	27194	600
26682	26688	雷·绿龙甲	1	27198	1	27191	300	27194	600
26683	26689	雷·绿龙骨	1	27199	1	27191	300	27194	600
26684	26690	雷·绿龙尾	1	27200	1	27191	300	27194	600
26685	26691	雷·绿龙牙	1	27201	1	27191	300	27194	600
26686	26692	雷·绿龙爪	1	27202	1	27191	300	27194	600
26705	26711	雷·白龙角	1	27215	1	27191	300	27194	600
26706	26712	雷·白龙甲	1	27216	1	27191	300	27194	600
26707	26713	雷·白龙骨	1	27217	1	27191	300	27194	600
26708	26714	雷·白龙尾	1	27218	1	27191	300	27194	600
26709	26715	雷·白龙牙	1	27219	1	27191	300	27194	600
26710	26716	雷·白龙爪	1	27220	1	27191	300	27194	600
26729	26735	雷·红龙角	1	27233	1	27191	300	27194	600
26730	26736	雷·红龙甲	1	27234	1	27191	300	27194	600
26731	26737	雷·红龙骨	1	27235	1	27191	300	27194	600
26732	26738	雷·红龙尾	1	27236	1	27191	300	27194	600
26733	26739	雷·红龙牙	1	27237	1	27191	300	27194	600
26734	26740	雷·红龙爪	1	27238	1	27191	300	27194	600
26753	26759	雷·蓝龙角	1	27251	1	27191	300	27194	600
26754	26760	雷·蓝龙甲	1	27252	1	27191	300	27194	600
26755	26761	雷·蓝龙骨	1	27253	1	27191	300	27194	600
26756	26762	雷·蓝龙尾	1	27254	1	27191	300	27194	600
26757	26763	雷·蓝龙牙	1	27255	1	27191	300	27194	600
26758	26764	雷·蓝龙爪	1	27256	1	27191	300	27194	600
26777	26783	雷·金龙角	1	27269	1	27191	300	27194	600
26778	26784	雷·金龙甲	1	27270	1	27191	300	27194	600
26779	26785	雷·金龙骨	1	27271	1	27191	300	27194	600
26780	26786	雷·金龙尾	1	27272	1	27191	300	27194	600
26781	26787	雷·金龙牙	1	27273	1	27191	300	27194	600
26782	26788	雷·金龙爪	1	27274	1	27191	300	27194	600
26801	26807	雷·黑龙角	1	27287	1	27191	300	27194	600
26802	26808	雷·黑龙甲	1	27288	1	27191	300	27194	600
26803	26809	雷·黑龙骨	1	27289	1	27191	300	27194	600
26804	26810	雷·黑龙尾	1	27290	1	27191	300	27194	600
26805	26811	雷·黑龙牙	1	27291	1	27191	300	27194	600
26806	26812	雷·黑龙爪	1	27292	1	27191	300	27194	600
26825	26831	雷·彩虹龙角	1	27305	1	27191	300	27194	600
26826	26832	雷·彩虹龙甲	1	27306	1	27191	300	27194	600
26827	26833	雷·彩虹龙骨	1	27307	1	27191	300	27194	600
26828	26834	雷·彩虹龙尾	1	27308	1	27191	300	27194	600
26829	26835	雷·彩虹龙牙	1	27309	1	27191	300	27194	600
26830	26836	雷·彩虹龙爪	1	27310	1	27191	300	27194	600
26849	26855	雷·白金龙角	1	27323	1	27191	300	27194	600
26850	26856	雷·白金龙甲	1	27324	1	27191	300	27194	600
26851	26857	雷·白金龙骨	1	27325	1	27191	300	27194	600
26852	26858	雷·白金龙尾	1	27326	1	27191	300	27194	600
26853	26859	雷·白金龙牙	1	27327	1	27191	300	27194	600
26854	26860	雷·白金龙爪	1	27328	1	27191	300	27194	600
26873	26879	雷·巫妖龙角	1	27341	1	27191	300	27194	600
26874	26880	雷·巫妖龙甲	1	27342	1	27191	300	27194	600
26875	26881	雷·巫妖龙骨	1	27343	1	27191	300	27194	600
26876	26882	雷·巫妖龙尾	1	27344	1	27191	300	27194	600
26877	26883	雷·巫妖龙牙	1	27345	1	27191	300	27194	600
26878	26884	雷·巫妖龙爪	1	27346	1	27191	300	27194	600
26687	26693	地·绿龙角	1	27203	1	27192	400	27195	800
26688	26694	地·绿龙甲	1	27204	1	27192	400	27195	800
26689	26695	地·绿龙骨	1	27205	1	27192	400	27195	800
26690	26696	地·绿龙尾	1	27206	1	27192	400	27195	800
26691	26697	地·绿龙牙	1	27207	1	27192	400	27195	800
26692	26698	地·绿龙爪	1	27208	1	27192	400	27195	800
26711	26717	地·白龙角	1	27221	1	27192	400	27195	800
26712	26718	地·白龙甲	1	27222	1	27192	400	27195	800
26713	26719	地·白龙骨	1	27223	1	27192	400	27195	800
26714	26720	地·白龙尾	1	27224	1	27192	400	27195	800
26715	26721	地·白龙牙	1	27225	1	27192	400	27195	800
26716	26722	地·白龙爪	1	27226	1	27192	400	27195	800
26735	26741	地·红龙角	1	27239	1	27192	400	27195	800
26736	26742	地·红龙甲	1	27240	1	27192	400	27195	800
26737	26743	地·红龙骨	1	27241	1	27192	400	27195	800
26738	26744	地·红龙尾	1	27242	1	27192	400	27195	800
26739	26745	地·红龙牙	1	27243	1	27192	400	27195	800
26740	26746	地·红龙爪	1	27244	1	27192	400	27195	800
26759	26765	地·蓝龙角	1	27257	1	27192	400	27195	800
26760	26766	地·蓝龙甲	1	27258	1	27192	400	27195	800
26761	26767	地·蓝龙骨	1	27259	1	27192	400	27195	800
26762	26768	地·蓝龙尾	1	27260	1	27192	400	27195	800
26763	26769	地·蓝龙牙	1	27261	1	27192	400	27195	800
26764	26770	地·蓝龙爪	1	27262	1	27192	400	27195	800
26783	26789	地·金龙角	1	27275	1	27192	400	27195	800
26784	26790	地·金龙甲	1	27276	1	27192	400	27195	800
26785	26791	地·金龙骨	1	27277	1	27192	400	27195	800
26786	26792	地·金龙尾	1	27278	1	27192	400	27195	800
26787	26793	地·金龙牙	1	27279	1	27192	400	27195	800
26788	26794	地·金龙爪	1	27280	1	27192	400	27195	800
26807	26813	地·黑龙角	1	27293	1	27192	400	27195	800
26808	26814	地·黑龙甲	1	27294	1	27192	400	27195	800
26809	26815	地·黑龙骨	1	27295	1	27192	400	27195	800
26810	26816	地·黑龙尾	1	27296	1	27192	400	27195	800
26811	26817	地·黑龙牙	1	27297	1	27192	400	27195	800
26812	26818	地·黑龙爪	1	27298	1	27192	400	27195	800
26831	26837	地·彩虹龙角	1	27311	1	27192	400	27195	800
26832	26838	地·彩虹龙甲	1	27312	1	27192	400	27195	800
26833	26839	地·彩虹龙骨	1	27313	1	27192	400	27195	800
26834	26840	地·彩虹龙尾	1	27314	1	27192	400	27195	800
26835	26841	地·彩虹龙牙	1	27315	1	27192	400	27195	800
26836	26842	地·彩虹龙爪	1	27316	1	27192	400	27195	800
26855	26861	地·白金龙角	1	27329	1	27192	400	27195	800
26856	26862	地·白金龙甲	1	27330	1	27192	400	27195	800
26857	26863	地·白金龙骨	1	27331	1	27192	400	27195	800
26858	26864	地·白金龙尾	1	27332	1	27192	400	27195	800
26859	26865	地·白金龙牙	1	27333	1	27192	400	27195	800
26860	26866	地·白金龙爪	1	27334	1	27192	400	27195	800
