idx	grade	oddsBase	maxEvolveLucky	perLuckyAddOdds	successNeedMinLucky	failAddLuckyRange	evolveNeedItem	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
龙脉索引	阶级	进阶基础成功率（十万分比）	进阶祝福值上限	每点祝福值增加的成功率(十万分比)	成功需要的最小祝福值	增加祝福值区间	升级需要消耗的道具	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
1	1	0	41	300	9	[1,1]	(27042,1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	0	176	15	36	[1,1]	(27042,1)	1560	0	0	520	520	0	520	520	520	0	0	520	520	0	0
1	3	0	221	9	45	[1,1]	(27042,2)	3900	0	0	1300	1300	0	1300	1300	1300	0	0	1300	1300	0	0
1	4	20	455	2	91	[1,1]	(27042,2)	7020	0	0	2340	2340	0	2340	2340	2340	0	0	2340	2340	0	0
1	5	40	588	1	118	[1,1]	(27042,3)	10920	0	0	3640	3640	0	3640	3640	3640	0	0	3640	3640	0	0
1	6	113	1527	0	306	[1,1]	(27042,3)	15600	0	0	5200	5200	0	5200	5200	5200	0	0	5200	5200	0	0
1	7	0	0	0	0			23400	0	0	7800	7800	0	7800	7800	7800	0	0	7800	7800	0	0
2	1	0	73	85	15	[1,1]	(27042,1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2	20	262	6	53	[1,1]	(27042,1)	1560	0	0	520	520	0	520	520	520	0	0	520	520	0	0
2	3	0	248	7	50	[1,1]	(27042,2)	3900	0	0	1300	1300	0	1300	1300	1300	0	0	1300	1300	0	0
2	4	120	517	1	104	[1,1]	(27042,2)	7020	0	0	2340	2340	0	2340	2340	2340	0	0	2340	2340	0	0
2	5	5	675	1	135	[1,1]	(27042,3)	10920	0	0	3640	3640	0	3640	3640	3640	0	0	3640	3640	0	0
2	6	95	1706	0	342	[1,1]	(27042,3)	15600	0	0	5200	5200	0	5200	5200	5200	0	0	5200	5200	0	0
2	7	0	0	0	0			23400	0	0	7800	7800	0	7800	7800	7800	0	0	7800	7800	0	0
3	1	0	89	58	18	[1,1]	(27042,1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2	0	296	5	60	[1,1]	(27042,1)	1560	0	0	520	520	0	520	520	520	0	0	520	520	0	0
3	3	0	263	6	53	[1,1]	(27042,2)	3900	0	0	1300	1300	0	1300	1300	1300	0	0	1300	1300	0	0
3	4	75	562	1	113	[1,1]	(27042,2)	7020	0	0	2340	2340	0	2340	2340	2340	0	0	2340	2340	0	0
3	5	225	717	0	144	[1,1]	(27042,3)	10920	0	0	3640	3640	0	3640	3640	3640	0	0	3640	3640	0	0
3	6	90	2018	0	404	[1,1]	(27042,3)	15600	0	0	5200	5200	0	5200	5200	5200	0	0	5200	5200	0	0
3	7	0	0	0	0			23400	0	0	7800	7800	0	7800	7800	7800	0	0	7800	7800	0	0
4	1	0	89	58	18	[1,1]	(27042,1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2	0	296	5	60	[1,1]	(27042,1)	1560	0	0	520	520	0	520	520	520	0	0	520	520	0	0
4	3	0	263	6	53	[1,1]	(27042,2)	3900	0	0	1300	1300	0	1300	1300	1300	0	0	1300	1300	0	0
4	4	75	562	1	113	[1,1]	(27042,2)	7020	0	0	2340	2340	0	2340	2340	2340	0	0	2340	2340	0	0
4	5	225	717	0	144	[1,1]	(27042,3)	10920	0	0	3640	3640	0	3640	3640	3640	0	0	3640	3640	0	0
4	6	90	2018	0	404	[1,1]	(27042,3)	15600	0	0	5200	5200	0	5200	5200	5200	0	0	5200	5200	0	0
4	7	0	0	0	0			23400	0	0	7800	7800	0	7800	7800	7800	0	0	7800	7800	0	0
5	1	0	89	58	18	[1,1]	(27042,1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2	0	296	5	60	[1,1]	(27042,1)	1560	0	0	520	520	0	520	520	520	0	0	520	520	0	0
