index	levelRange	rate	precious
索引	角色等级段	概率	贵重物品索引
1	1	[(8,200),(3,400),(2,1000),(1,3000),(6,1500),(5,1500),(4,1500),(7,1000)]	8
1	2	[(8,200),(3,400),(2,1000),(1,3000),(10,1000),(9,1000),(6,1500),(5,1500),(4,1500)]	8
1	3	[(21,80),(22,200),(19,500),(18,1500),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	21
1	4	[(26,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	26
1	5	[(26,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	26
1	6	[(26,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	26
1	7	[(26,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	26
1	8	[(26,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	26
2	1	[(8,200),(3,400),(2,1000),(1,3000),(6,1500),(5,1500),(4,1500),(7,1000)]	8
2	2	[(11,50),(3,400),(2,1000),(1,3000),(10,1000),(9,1000),(6,1500),(5,1500),(4,1500)]	11
2	3	[(11,45),(22,200),(19,500),(18,1500),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	11
2	4	[(27,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	27
2	5	[(27,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	27
2	6	[(27,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	27
2	7	[(27,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	27
2	8	[(27,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	27
3	1	[(8,200),(3,400),(2,1000),(1,3000),(6,1500),(5,1500),(4,1500),(7,1000)]	8
3	2	[(8,200),(3,400),(2,1000),(1,3000),(10,1000),(9,1000),(6,1500),(5,1500),(4,1500)]	8
3	3	[(23,80),(22,200),(19,500),(18,1500),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	23
3	4	[(28,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	28
3	5	[(28,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	28
3	6	[(28,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	28
3	7	[(28,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	28
3	8	[(28,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	28
4	1	[(8,200),(3,400),(2,1000),(1,3000),(6,1500),(5,1500),(4,1500),(7,1000)]	8
4	2	[(11,50),(3,400),(2,1000),(1,3000),(10,1000),(9,1000),(6,1500),(5,1500),(4,1500)]	11
4	3	[(11,45),(22,200),(19,500),(18,1500),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	11
4	4	[(11,45),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	11
4	5	[(11,45),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	11
4	6	[(11,45),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	11
4	7	[(11,45),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	11
4	8	[(11,45),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	11
5	1	[(8,200),(3,400),(2,1000),(1,3000),(6,1500),(5,1500),(4,1500),(7,1000)]	8
5	2	[(8,200),(3,400),(2,1000),(1,3000),(10,1000),(9,1000),(6,1500),(5,1500),(4,1500)]	8
5	3	[(21,80),(22,200),(19,500),(18,1500),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	21
5	4	[(29,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	29
5	5	[(29,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	29
5	6	[(29,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	29
5	7	[(29,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	29
5	8	[(29,50),(22,200),(19,500),(25,250),(24,600),(3,200),(2,500),(1,1500),(16,1000),(17,1000),(18,1500),(20,1000),(15,1000),(12,1000),(13,1000),(14,1000)]	29
