rewardID	ItemCode	Cnt	Type	IsBroadcast
奖励索引	物品编码	数量	1:普通物品，2：命魂，3：天赋卡	是否广播
1	27518	1	1	0
2	27519	1	1	0
3	27520	1	1	0
4	25600	15	1	0
5	25600	18	1	0
6	25600	20	1	1
7	25656	1	1	0
8	27521	1	1	1
9	25657	1	1	0
10	26042	1	1	0
11	28253	1	1	1
12	25831	20	1	0
13	25970	20	1	0
14	26043	20	1	0
15	26934	5	1	0
16	26144	15	1	0
17	25837	15	1	0
18	27621	1	1	0
19	27622	1	1	0
20	26485	2	1	0
21	27618	1	1	1
22	27623	1	1	0
23	27625	1	1	1
24	28030	1	1	0
25	28031	1	1	0
26	27619	1	1	1
27	27705	1	1	1
28	27626	1	1	1
29	28043	1	1	1
30	25671	5	1	0
31	25681	20	1	0
32	25661	10	1	0
33	25666	10	1	0
34	26032	1	1	0
35	26033	1	1	0
36	26044	1	1	0
37	26144	2	1	0
38	25682	20	1	0
39	25672	5	1	0
40	25683	20	1	0
41	25662	10	1	0
42	25667	10	1	0
43	25837	2	1	0
44	26266	1	1	0
45	26119	1	1	0
46	26267	1	1	0
47	25673	5	1	0
48	25684	20	1	0
49	25663	10	1	0
50	25668	10	1	0
51	25674	5	1	0
52	25685	20	1	0
53	25664	10	1	0
54	25669	10	1	0
55	25970	1	1	0
56	25831	1	1	0
57	25675	5	1	0
58	25686	20	1	0
59	25665	10	1	0
60	25670	10	1	0
61	27050	5	1	0
62	26607	20	1	0
63	27048	10	1	0
64	27049	10	1	0
65	27906	5	1	0
66	27066	20	1	0
67	27904	10	1	0
68	27905	10	1	0
