elementSpiritId	gradeLevel	starLevel	canFollow	canBreak	nextId	elementCreamRange	breakNeedItem	skillLevel	attack_pt	attack_mt	maxhp_t	crit_t	critpress_t	parry_t	puncture_t	antibroken_t	notbroken_t	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
元素之灵ID	阶级	星级	是否可以跟随	是否突破	下一个元素之灵ID	元素精华数量区段[a,b]闭区间	突破道具	技能等级(类型和等级决定技能ID)	物攻万分比属性	法攻万分比属性	生命万分比属性	暴击万分比属性	免暴万分比属性	格挡万分比属性	破挡万分比属性	破防万分比属性	免破万分比属性	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
0	0	0	0	0	1	[0,719]		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	0	0	2	[720,1559]		0	0	0	0	0	0	0	0	0	0	576	0	0	144	144	144	144	144	144	0	0	144	144	0	0
2	0	2	0	0	3	[1560,2559]		0	0	0	0	0	0	0	0	0	0	864	0	0	216	216	216	216	216	216	0	0	216	216	0	0
3	0	3	0	0	4	[2560,3709]		0	0	0	0	0	0	0	0	0	0	1152	0	0	288	288	288	288	288	288	0	0	288	288	0	0
4	0	4	0	0	5	[3710,5029]		0	0	0	0	0	0	0	0	0	0	1440	0	0	360	360	360	360	360	360	0	0	360	360	0	0
5	0	5	0	1	6	[5030,5030]	(29220,5)	0	0	0	0	0	0	0	0	0	0	1728	0	0	432	432	432	432	432	432	0	0	432	432	0	0
6	1	0	1	0	7	[5031,6480]		1	0	0	0	0	0	0	0	0	0	1728	0	0	432	432	432	432	432	432	0	0	432	432	0	0
7	1	1	1	0	8	[6481,8200]		1	0	0	0	0	0	0	0	0	0	2112	0	0	528	528	528	528	528	528	0	0	528	528	0	0
8	1	2	1	0	9	[8201,10200]		1	0	0	0	0	0	0	0	0	0	2496	0	0	624	624	624	624	624	624	0	0	624	624	0	0
9	1	3	1	0	10	[10201,12530]		1	0	0	0	0	0	0	0	0	0	2880	0	0	720	720	720	720	720	720	0	0	720	720	0	0
10	1	4	1	0	11	[12531,15210]		1	0	0	0	0	0	0	0	0	0	3264	0	0	816	816	816	816	816	816	0	0	816	816	0	0
11	1	5	1	1	12	[15211,15211]	(29220,10)	1	0	0	0	0	0	0	0	0	0	3648	0	0	912	912	912	912	912	912	0	0	912	912	0	0
12	2	0	1	0	13	[15212,17711]		2	0	0	0	0	0	0	0	0	0	3648	0	0	912	912	912	912	912	912	0	0	912	912	0	0
13	2	1	1	0	14	[17712,20671]		2	0	0	0	0	0	0	0	0	0	4128	0	0	1032	1032	1032	1032	1032	1032	0	0	1032	1032	0	0
14	2	2	1	0	15	[20672,24131]		2	0	0	0	0	0	0	0	0	0	4608	0	0	1152	1152	1152	1152	1152	1152	0	0	1152	1152	0	0
15	2	3	1	0	16	[24132,28131]		2	0	0	0	0	0	0	0	0	0	5088	0	0	1272	1272	1272	1272	1272	1272	0	0	1272	1272	0	0
16	2	4	1	0	17	[28132,32731]		2	0	0	0	0	0	0	0	0	0	5568	0	0	1392	1392	1392	1392	1392	1392	0	0	1392	1392	0	0
17	2	5	1	1	18	[32732,32732]	(29220,15)	2	0	0	0	0	0	0	0	0	0	6048	0	0	1512	1512	1512	1512	1512	1512	0	0	1512	1512	0	0
18	3	0	1	0	19	[32733,36632]		3	0	0	0	0	0	0	0	0	0	6048	0	0	1512	1512	1512	1512	1512	1512	0	0	1512	1512	0	0
19	3	1	1	0	20	[36633,41232]		3	0	0	0	0	0	0	0	0	0	6624	0	0	1656	1656	1656	1656	1656	1656	0	0	1656	1656	0	0
20	3	2	1	0	21	[41233,46632]		3	0	0	0	0	0	0	0	0	0	7200	0	0	1800	1800	1800	1800	1800	1800	0	0	1800	1800	0	0
21	3	3	1	0	22	[46633,52832]		3	0	0	0	0	0	0	0	0	0	7776	0	0	1944	1944	1944	1944	1944	1944	0	0	1944	1944	0	0
22	3	4	1	0	23	[52833,60032]		3	0	0	0	0	0	0	0	0	0	8352	0	0	2088	2088	2088	2088	2088	2088	0	0	2088	2088	0	0
23	3	5	1	1	24	[60033,60033]	(29220,30)	3	0	0	0	0	0	0	0	0	0	8928	0	0	2232	2232	2232	2232	2232	2232	0	0	2232	2232	0	0
24	4	0	1	0	25	[60034,65713]		4	0	0	0	0	0	0	0	0	0	8928	0	0	2232	2232	2232	2232	2232	2232	0	0	2232	2232	0	0
25	4	1	1	0	26	[65714,72433]		4	0	0	0	0	0	0	0	0	0	9600	0	0	2400	2400	2400	2400	2400	2400	0	0	2400	2400	0	0
26	4	2	1	0	27	[72434,80293]		4	0	0	0	0	0	0	0	0	0	10272	0	0	2568	2568	2568	2568	2568	2568	0	0	2568	2568	0	0
27	4	3	1	0	28	[80294,89393]		4	0	0	0	0	0	0	0	0	0	10944	0	0	2736	2736	2736	2736	2736	2736	0	0	2736	2736	0	0
28	4	4	1	0	29	[89394,99393]		4	0	0	0	0	0	0	0	0	0	11616	0	0	2904	2904	2904	2904	2904	2904	0	0	2904	2904	0	0
29	4	5	1	1	30	[99394,99394]	(29220,40)	4	0	0	0	0	0	0	0	0	0	12288	0	0	3072	3072	3072	3072	3072	3072	0	0	3072	3072	0	0
30	5	0	1	0	0	[99395,999999]		5	0	0	0	0	0	0	0	0	0	12288	0	0	3072	3072	3072	3072	3072	3072	0	0	3072	3072	0	0
