reward_Id	big_type	toll_gate_level	little_type	ifboss	money		rate1	itemcoding1	cnt1	rate2	itemcoding2	cnt2	rate3	itemcoding3	cnt3	rate4	itemcoding4	cnt4	rate5	itemcoding5	cnt5	rate6	itemcoding6	cnt6
奖励ID	大类	关卡级别	小类	(纯拉表用）是否BOSS	奖励金币		奖励物品概率	物品类型	物品数量	奖励物品概率	物品类型	物品数量	奖励物品概率	物品类型	物品数量	奖励物品概率	物品类型	物品数量	奖励物品概率	物品类型	物品数量	奖励物品概率	物品类型	物品数量
11	1	1	第一场战斗	0	0		9900	25681	1	100	35607	1	0	0	0	0	0	0	0	0	0	0	0	0
12	1	1	第二场战斗	0	0		9900	25681	1	100	35607	1	0	0	0	0	0	0	0	0	0	0	0	0
13	1	1	boss战斗	1	9375		9900	25681	1	100	35607	1	0	0	0	0	0	0	0	0	0	0	0	0
14	1	1	翻牌	0	0		6500	25681	1	2000	25681	2	1000	25681	4	250	35607	1	250	25676	1	500	25681	3
15	1	2	第一场战斗	0	0		9900	25681	1	100	35608	1	0	0	0	0	0	0	0	0	0	0	0	0
16	1	2	第二场战斗	0	0		9900	25681	1	100	35608	1	0	0	0	0	0	0	0	0	0	0	0	0
17	1	2	boss战斗	1	9375		9900	25681	1	100	35608	1	0	0	0	0	0	0	0	0	0	0	0	0
18	1	2	翻牌	0	0		6500	25681	1	2000	25681	2	1000	25681	4	250	35608	1	250	25676	1	500	25681	3
19	1	3	第一场战斗	0	0		9900	25681	2	100	35607	1	0	0	0	0	0	0	0	0	0	0	0	0
20	1	3	第二场战斗	0	0		9900	25681	2	100	35607	1	0	0	0	0	0	0	0	0	0	0	0	0
21	1	3	boss战斗	1	13125		9900	25681	2	100	35607	1	0	0	0	0	0	0	0	0	0	0	0	0
22	1	3	翻牌	0	0		6500	25681	2	2000	25681	4	1000	25681	8	250	35607	1	250	25676	2	500	25681	6
23	1	4	第一场战斗	0	0		9900	25681	2	100	35608	1	0	0	0	0	0	0	0	0	0	0	0	0
24	1	4	第二场战斗	0	0		9900	25681	2	100	35608	1	0	0	0	0	0	0	0	0	0	0	0	0
25	1	4	boss战斗	1	13125		9900	25681	2	100	35608	1	0	0	0	0	0	0	0	0	0	0	0	0
26	1	4	翻牌	0	0		6500	25681	2	2000	25681	4	1000	25681	8	250	35608	1	250	25676	2	500	25681	6
27	1	5	第一场战斗	0	0		9900	25681	2	100	35609	1	0	0	0	0	0	0	0	0	0	0	0	0
28	1	5	第二场战斗	0	0		9900	25681	2	100	35609	1	0	0	0	0	0	0	0	0	0	0	0	0
29	1	5	boss战斗	1	14250		9900	25681	2	100	35609	1	0	0	0	0	0	0	0	0	0	0	0	0
30	1	5	翻牌	0	0		6500	25681	2	2000	25681	4	1000	25681	8	250	35609	1	250	25676	2	500	25681	6
31	1	6	第一场战斗	0	0		9900	25681	2	100	35610	1	0	0	0	0	0	0	0	0	0	0	0	0
32	1	6	第二场战斗	0	0		9900	25681	2	100	35610	1	0	0	0	0	0	0	0	0	0	0	0	0
33	1	6	boss战斗	1	14250		9900	25681	2	100	35610	1	0	0	0	0	0	0	0	0	0	0	0	0
34	1	6	翻牌	0	0		6500	25681	2	2000	25681	4	1000	25681	8	250	35610	1	250	25676	2	500	25681	6
35	1	7	第一场战斗	0	0		9900	25681	2	100	35611	1	0	0	0	0	0	0	0	0	0	0	0	0
36	1	7	第二场战斗	0	0		9900	25681	2	100	35611	1	0	0	0	0	0	0	0	0	0	0	0	0
37	1	7	boss战斗	1	15375		9900	25681	2	100	35611	1	0	0	0	0	0	0	0	0	0	0	0	0
38	1	7	翻牌	0	0		6500	25681	2	2000	25681	4	1000	25681	8	250	35611	1	250	25676	2	500	25681	6
39	1	8	第一场战斗	0	0		9900	25681	2	100	35606	1	0	0	0	0	0	0	0	0	0	0	0	0
40	1	8	第二场战斗	0	0		9900	25681	2	100	35606	1	0	0	0	0	0	0	0	0	0	0	0	0
41	1	8	boss战斗	1	15375		9900	25681	2	100	35606	1	0	0	0	0	0	0	0	0	0	0	0	0
42	1	8	翻牌	0	0		6500	25681	2	2000	25681	4	1000	25681	8	250	35606	1	250	25676	2	500	25681	6
43	1	9	第一场战斗	0	0		9900	25681	2	100	35606	1	0	0	0	0	0	0	0	0	0	0	0	0
