holeLevel	nextLevel	needexp	needCoding	addexp	addpro1	addpro2	addpro3	addpro4	addpro5
光环等级	光环下一等级	升级需要的经验	需要消耗的道具	没错升级加的经验	普通品质加成	精良品质加成	史诗品质加成	传说品质加成	传奇品质加成
0	1	10	27570	1	0	0	0	0	0
1	2	50	27570	1	0	15	20	25	30
2	3	100	27570	1	0	20	25	30	35
3	4	200	27570	1	0	25	30	35	40
4	5	500	27570	1	0	30	35	40	45
5	6	800	27570	1	0	35	40	45	50
6	7	1000	27570	1	0	40	45	50	55
7	8	1500	27570	1	0	45	50	55	60
8	9	2000	27570	1	0	50	55	60	65
9	10	3000	27570	1	0	55	60	65	70
10	11	5000	27570	1	0	60	65	70	75
11	12	8000	27570	1	0	65	70	75	80
12	13	10000	27570	1	0	70	75	80	85
13	14	15000	27570	1	0	75	80	85	90
14	15	20000	27570	1	0	80	85	90	95
15	0	0	27570	1	0	85	90	95	100
