posType	order	backItem
部件	阶数	返回道具
1	0	[26676,1]
1	1	[26676,1]
1	2	[26676,1]
1	3	[26676,1]
1	4	[26676,1]
2	0	[26676,1]
2	1	[26676,1]
2	2	[26676,1]
2	3	[26676,1]
2	4	[26676,1]
3	0	[26676,1]
3	1	[26676,1]
3	2	[26676,1]
3	3	[26676,1]
3	4	[26676,1]
4	0	[26676,1]
4	1	[26676,1]
4	2	[26676,1]
4	3	[26676,1]
4	4	[26676,1]
37055	0	[28699,1]
37055	1	[28699,1]
37055	2	[28699,1]
37055	3	[28699,1]
37055	4	[28699,1]
37056	0	[28699,1]
37056	1	[28699,1]
37056	2	[28699,1]
37056	3	[28699,1]
37056	4	[28699,1]
37057	0	[28699,1]
37057	1	[28699,1]
37057	2	[28699,1]
37057	3	[28699,1]
37057	4	[28699,1]
37058	0	[28699,1]
37058	1	[28699,1]
37058	2	[28699,1]
37058	3	[28699,1]
37058	4	[28699,1]
37059	0	[26676,1]
37059	1	[26676,1]
37059	2	[26676,1]
37059	3	[26676,1]
37059	4	[26676,1]
37060	0	[26676,1]
37060	1	[26676,1]
37060	2	[26676,1]
37060	3	[26676,1]
37060	4	[26676,1]
37061	0	[26676,1]
37061	1	[26676,1]
37061	2	[26676,1]
37061	3	[26676,1]
37061	4	[26676,1]
37062	0	[26676,1]
37062	1	[26676,1]
37062	2	[26676,1]
37062	3	[26676,1]
37062	4	[26676,1]
