suitId	name	partCoding	needCnt	pt1	pv1	pt2	pv2
套装ID	套装名字	部件coding	需要的件数	属性类型1	属性值1	属性类型2	属性值2
1	天使套装	[37001,37002,37003,37004]	4	1	1000	4	500
2	恶魔套装	[37005,37006,37007,37008]	4	8	500	4	500
3	万圣节套装	[37018,37019,37020]	3	10	500	13	500
4	贵族套装	[37021,37022,37023]	3	1	3000	12	500
5	卡牌套装	[37024,37025,37026]	3	10	500	11	500
7	情人套装	[37031,37032,37033,37034]	4	1	3000	9	1000
8	春节套装	[37035,37036,37037,37038]	4	1	3000	12	1000
9	黑龙套装	[37039,37040,37041,37042]	4	4	1000	12	1000
6	圣诞套装	[37027,37028,37029]	3	1	3000	4	800
10	怒火精灵套装	[37043,37044,37045,37046]	4	1	100	0	0
11	黄金铠甲套装	[37047,37048,37049,37050]	4	1	100	0	0
12	七夕套装	[37051,37052,37053,37054]	4	1	100	0	0
15	海盗套装	[37063,37064,37065,37066]	4	1	100	0	0
13	圣光套装	[37055,37056,37057,37058]	4	1	100	0	0
